date,open,high,low,close,volume
2017-01-04,603444,77.76,77.76,77.76,77.76
2017-01-05,603444,85.54,85.54,85.54,85.54
2017-01-06,603444,94.09,94.09,94.09,94.09
2017-01-09,603444,103.5,103.5,103.5,103.5
2017-01-10,603444,113.85,113.85,113.85,113.85
2017-01-11,603444,125.24,125.24,125.24,125.24
2017-01-12,603444,137.76,137.76,137.76,137.76
2017-01-13,603444,151.54,151.54,151.54,151.54
2017-01-16,603444,166.69,166.69,166.69,166.69
2017-01-17,603444,183.36,183.36,183.36,183.36
2017-01-18,603444,201.7,201.7,201.7,201.7
2017-01-19,603444,200.62,221.87,221.87,185.1
2017-01-20,603444,220.68,220.68,196.3,193.0
2017-01-23,603444,242.75,242.75,223.86,222.01
2017-01-24,603444,242.97,266.5,265.8,242.01
2017-01-25,603444,267.27,267.27,243.03,243.0
2017-01-26,603444,285.42,293.0,278.09,268.86
2017-02-03,603444,288.07,297.96,283.0,280.05
2017-02-06,603444,279.96,288.97,283.5,271.09
2017-02-07,603444,279.63,289.66,278.25,276.0
2017-02-08,603444,278.31,279.0,275.9,268.5
2017-02-09,603444,281.23,284.66,277.0,273.68
2017-02-10,603444,277.64,288.88,281.6,277.0
2017-02-13,603444,274.51,281.0,274.95,267.5
2017-02-14,603444,280.4,282.8,275.1,271.7
2017-02-15,603444,253.49,281.49,280.0,252.36
2017-02-16,603444,245.53,253.4,250.0,240.02
2017-02-17,603444,245.92,249.76,243.54,238.94
2017-02-20,603444,241.81,248.0,245.0,235.22
2017-02-21,603444,255.64,262.26,241.0,240.21
2017-02-22,603444,256.66,261.48,254.04,250.02
2017-02-23,603444,259.89,266.58,254.55,253.8
2017-02-24,603444,272.0,276.0,259.13,259.13
2017-02-27,603444,269.21,273.88,269.5,266.0
2017-02-28,603444,296.13,296.13,268.88,268.88
2017-03-01,603444,301.17,312.0,302.5,300.1
2017-03-02,603444,313.83,327.77,297.0,296.27
2017-03-03,603444,317.62,318.33,311.77,303.15
2017-03-06,603444,324.94,332.78,317.7,313.51
2017-03-07,603444,315.85,327.56,325.02,315.03
2017-03-08,603444,312.75,325.2,315.01,311.0
2017-03-09,603444,329.12,329.87,311.16,306.12
2017-03-10,603444,325.94,336.3,327.74,325.19
2017-03-13,603444,358.53,358.53,327.21,323.5
2017-03-14,603444,365.52,375.18,367.0,357.0
2017-03-15,603444,354.26,365.41,358.2,345.98
2017-03-16,603444,360.97,371.8,356.0,354.0
2017-03-17,603444,342.85,376.0,362.0,338.55
2017-03-20,603444,350.36,351.89,340.1,340.0
2017-03-21,603444,352.27,355.64,350.12,346.25
2017-03-22,603444,353.04,354.88,349.3,340.0
2017-03-23,603444,345.73,359.87,354.94,340.5
2017-03-24,603444,348.39,349.26,347.0,334.36
2017-03-27,603444,372.31,375.82,347.0,346.0
2017-03-28,603444,342.57,358.88,352.16,338.94
2017-03-29,603444,319.14,344.0,344.0,318.2
2017-03-30,603444,315.08,324.7,315.1,308.88
2017-03-31,603444,319.47,325.4,318.0,315.12
2017-04-05,603444,314.44,320.0,313.0,302.8
2017-04-06,603444,315.13,324.89,311.25,311.2
2017-04-07,603444,297.18,316.0,316.0,296.8
