股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中鼎股份,000887,2025-02-24 09:31,20.52,20.6,20.9,20.4,154526,318869785.0,2.53,4.25,0.84,1.18
中鼎股份,000887,2025-02-24 09:32,20.61,20.53,20.63,20.5,51893,106767172.0,0.63,-0.34,-0.07,0.39
中鼎股份,000887,2025-02-24 09:33,20.53,20.56,20.71,20.51,41307,85260018.0,0.97,0.15,0.03,0.31
中鼎股份,000887,2025-02-24 09:34,20.56,20.64,20.65,20.51,31683,65130236.0,0.68,0.39,0.08,0.24
中鼎股份,000887,2025-02-24 09:35,20.64,20.54,20.77,20.51,34344,70948595.0,1.26,-0.48,-0.1,0.26
中鼎股份,000887,2025-02-24 09:36,20.55,20.41,20.55,20.2,31901,64928443.0,1.7,-0.63,-0.13,0.24
中鼎股份,000887,2025-02-24 09:37,20.44,20.57,20.63,20.41,21150,43464149.0,1.08,0.78,0.16,0.16
中鼎股份,000887,2025-02-24 09:38,20.58,20.59,20.61,20.56,25145,51733072.0,0.24,0.1,0.02,0.19
中鼎股份,000887,2025-02-24 09:39,20.58,20.61,20.68,20.58,20270,41788188.0,0.49,0.1,0.02,0.15
中鼎股份,000887,2025-02-24 09:40,20.61,20.53,20.65,20.53,18739,38614860.0,0.58,-0.39,-0.08,0.14
中鼎股份,000887,2025-02-24 09:41,20.53,20.55,20.59,20.51,20138,41359167.0,0.39,0.1,0.02,0.15
中鼎股份,000887,2025-02-24 09:42,20.52,20.69,20.69,20.52,17594,36196411.0,0.83,0.68,0.14,0.13
中鼎股份,000887,2025-02-24 09:43,20.72,20.86,20.86,20.72,21499,44651185.0,0.68,0.82,0.17,0.16
中鼎股份,000887,2025-02-24 09:44,20.9,21.07,21.08,20.87,50958,106753929.0,1.01,1.01,0.21,0.39
中鼎股份,000887,2025-02-24 09:45,21.07,21.07,21.11,20.95,28861,60682827.0,0.76,0.0,0.0,0.22
中鼎股份,000887,2025-02-24 09:46,21.09,20.99,21.13,20.92,20641,43461898.0,1.0,-0.38,-0.08,0.16
中鼎股份,000887,2025-02-24 09:47,20.99,20.99,21.08,20.96,18241,38329689.0,0.57,0.0,0.0,0.14
中鼎股份,000887,2025-02-24 09:48,20.98,21.14,21.14,20.98,11884,24996880.0,0.76,0.71,0.15,0.09
中鼎股份,000887,2025-02-24 09:49,21.17,21.22,21.31,21.15,27852,59058438.0,0.76,0.38,0.08,0.21
中鼎股份,000887,2025-02-24 09:50,21.23,21.25,21.28,21.22,16705,35488293.0,0.28,0.14,0.03,0.13
中鼎股份,000887,2025-02-24 09:51,21.26,21.31,21.34,21.26,13498,28741118.0,0.38,0.28,0.06,0.1
中鼎股份,000887,2025-02-24 09:52,21.32,21.2,21.32,21.2,9864,20953757.0,0.56,-0.52,-0.11,0.08
中鼎股份,000887,2025-02-24 09:53,21.19,20.9,21.19,20.9,9741,20479496.0,1.37,-1.42,-0.3,0.07
中鼎股份,000887,2025-02-24 09:54,20.94,20.94,20.96,20.9,13094,27396908.0,0.29,0.19,0.04,0.1
中鼎股份,000887,2025-02-24 09:55,20.95,20.88,20.99,20.88,9538,19973506.0,0.53,-0.29,-0.06,0.07
中鼎股份,000887,2025-02-24 09:56,20.88,20.81,20.9,20.81,11258,23493108.0,0.43,-0.34,-0.07,0.09
中鼎股份,000887,2025-02-24 09:57,20.81,20.65,20.81,20.65,12205,25316147.0,0.77,-0.77,-0.16,0.09
中鼎股份,000887,2025-02-24 09:58,20.64,20.69,20.72,20.63,10800,22335815.0,0.44,0.19,0.04,0.08
中鼎股份,000887,2025-02-24 09:59,20.69,20.65,20.72,20.65,7942,16438850.0,0.34,-0.19,-0.04,0.06
中鼎股份,000887,2025-02-24 10:00,20.64,20.6,20.67,20.6,10263,21180390.0,0.34,-0.24,-0.05,0.08
中鼎股份,000887,2025-02-24 10:01,20.59,20.72,20.74,20.58,11425,23596225.0,0.78,0.58,0.12,0.09
中鼎股份,000887,2025-02-24 10:02,20.72,20.89,20.89,20.72,8611,17913196.0,0.82,0.82,0.17,0.07
中鼎股份,000887,2025-02-24 10:03,20.9,20.9,20.97,20.88,10157,21251524.0,0.43,0.05,0.01,0.08
中鼎股份,000887,2025-02-24 10:04,20.9,20.76,20.9,20.76,8155,16999028.0,0.67,-0.67,-0.14,0.06
中鼎股份,000887,2025-02-24 10:05,20.78,20.95,20.98,20.78,9151,19106049.0,0.96,0.92,0.19,0.07
中鼎股份,000887,2025-02-24 10:06,20.91,20.89,20.95,20.87,4513,9433812.0,0.38,-0.29,-0.06,0.03
中鼎股份,000887,2025-02-24 10:07,20.91,20.96,20.98,20.9,7566,15847166.0,0.38,0.34,0.07,0.06
中鼎股份,000887,2025-02-24 10:08,20.96,21.05,21.05,20.96,7700,16175809.0,0.43,0.43,0.09,0.06
中鼎股份,000887,2025-02-24 10:09,21.06,21.02,21.1,21.0,4868,10251062.0,0.48,-0.14,-0.03,0.04
中鼎股份,000887,2025-02-24 10:10,21.02,21.05,21.08,21.02,4152,8740293.0,0.29,0.14,0.03,0.03
中鼎股份,000887,2025-02-24 10:11,21.06,21.14,21.14,21.0,6243,13139851.0,0.67,0.43,0.09,0.05
中鼎股份,000887,2025-02-24 10:12,21.1,21.06,21.14,21.03,3207,6767715.0,0.52,-0.38,-0.08,0.02
中鼎股份,000887,2025-02-24 10:13,21.06,20.94,21.06,20.93,4233,8891325.0,0.62,-0.57,-0.12,0.03
中鼎股份,000887,2025-02-24 10:14,20.93,21.02,21.07,20.93,5181,10886061.0,0.67,0.38,0.08,0.04
中鼎股份,000887,2025-02-24 10:15,21.02,21.03,21.05,21.0,2725,5729924.0,0.24,0.05,0.01,0.02
中鼎股份,000887,2025-02-24 10:16,21.03,21.02,21.05,21.0,2866,6025574.0,0.24,-0.05,-0.01,0.02
中鼎股份,000887,2025-02-24 10:17,21.01,21.2,21.2,21.01,8005,16893184.0,0.9,0.86,0.18,0.06
中鼎股份,000887,2025-02-24 10:18,21.21,21.2,21.25,21.15,6220,13183210.0,0.47,0.0,0.0,0.05
中鼎股份,000887,2025-02-24 10:19,21.18,21.18,21.2,21.15,3818,8084825.0,0.24,-0.09,-0.02,0.03
中鼎股份,000887,2025-02-24 10:20,21.18,21.21,21.21,21.16,3283,6954980.0,0.24,0.14,0.03,0.02
中鼎股份,000887,2025-02-24 10:21,21.24,21.39,21.39,21.23,10182,21698063.0,0.75,0.85,0.18,0.08
中鼎股份,000887,2025-02-24 10:22,21.44,21.74,21.74,21.36,67313,145812290.0,1.78,1.64,0.35,0.51
中鼎股份,000887,2025-02-24 10:23,21.74,21.74,21.74,21.62,36173,78588243.0,0.55,0.0,0.0,0.28
中鼎股份,000887,2025-02-24 10:24,21.74,21.65,21.74,21.64,14932,32410875.0,0.46,-0.41,-0.09,0.11
中鼎股份,000887,2025-02-24 10:25,21.64,21.57,21.64,21.5,7519,16192810.0,0.65,-0.37,-0.08,0.06
中鼎股份,000887,2025-02-24 10:26,21.59,21.56,21.64,21.55,5232,11294456.0,0.42,-0.05,-0.01,0.04
中鼎股份,000887,2025-02-24 10:27,21.56,21.47,21.56,21.44,6367,13689497.0,0.56,-0.42,-0.09,0.05
中鼎股份,000887,2025-02-24 10:28,21.47,21.47,21.52,21.46,5063,10881307.0,0.28,0.0,0.0,0.04
中鼎股份,000887,2025-02-24 10:29,21.5,21.45,21.5,21.45,4292,9218105.0,0.23,-0.09,-0.02,0.03
中鼎股份,000887,2025-02-24 10:30,21.43,21.35,21.45,21.35,4686,10028804.0,0.47,-0.47,-0.1,0.04
中鼎股份,000887,2025-02-24 10:31,21.33,21.38,21.38,21.33,5469,11677086.0,0.23,0.14,0.03,0.04
中鼎股份,000887,2025-02-24 10:32,21.37,21.31,21.38,21.31,3100,6617103.0,0.33,-0.33,-0.07,0.02
中鼎股份,000887,2025-02-24 10:33,21.3,21.26,21.3,21.24,4470,9513088.0,0.28,-0.23,-0.05,0.03
中鼎股份,000887,2025-02-24 10:34,21.26,21.24,21.26,21.21,4002,8497858.0,0.24,-0.09,-0.02,0.03
中鼎股份,000887,2025-02-24 10:35,21.22,21.28,21.28,21.22,3037,6454968.0,0.28,0.19,0.04,0.02
中鼎股份,000887,2025-02-24 10:36,21.27,21.28,21.29,21.27,1743,3709232.0,0.09,0.0,0.0,0.01
中鼎股份,000887,2025-02-24 10:37,21.29,21.27,21.29,21.25,3140,6680903.0,0.19,-0.05,-0.01,0.02
中鼎股份,000887,2025-02-24 10:38,21.26,21.16,21.27,21.15,4715,9992901.0,0.56,-0.52,-0.11,0.04
中鼎股份,000887,2025-02-24 10:39,21.15,21.16,21.2,21.13,4825,10207211.0,0.33,0.0,0.0,0.04
