股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
水星家纺,603365,2024-02-20 09:31,16.01,15.92,16.02,15.91,1191,1901792.0,0.68,-1.85,-0.3,0.05
水星家纺,603365,2024-02-20 09:32,15.91,16.01,16.01,15.91,409,653095.0,0.63,0.57,0.09,0.02
水星家纺,603365,2024-02-20 09:33,16.0,15.93,16.01,15.93,550,878164.0,0.5,-0.5,-0.08,0.02
水星家纺,603365,2024-02-20 09:34,15.96,15.91,15.98,15.91,778,1240269.0,0.44,-0.13,-0.02,0.03
水星家纺,603365,2024-02-20 09:35,15.9,15.84,15.92,15.83,1053,1670994.0,0.57,-0.44,-0.07,0.04
水星家纺,603365,2024-02-20 09:36,15.88,15.96,15.96,15.86,188,298839.0,0.63,0.76,0.12,0.01
水星家纺,603365,2024-02-20 09:37,15.91,15.92,15.96,15.91,286,455379.0,0.31,-0.25,-0.04,0.01
水星家纺,603365,2024-02-20 09:38,15.92,15.91,15.96,15.91,529,842168.0,0.31,-0.06,-0.01,0.02
水星家纺,603365,2024-02-20 09:39,15.9,15.95,15.95,15.9,234,372472.0,0.31,0.25,0.04,0.01
水星家纺,603365,2024-02-20 09:40,15.96,15.98,16.0,15.95,573,914500.0,0.31,0.19,0.03,0.02
水星家纺,603365,2024-02-20 09:41,15.95,15.96,15.96,15.95,75,119694.0,0.06,-0.13,-0.02,0.0
水星家纺,603365,2024-02-20 09:42,15.95,15.96,15.97,15.95,282,449985.0,0.13,0.0,0.0,0.01
水星家纺,603365,2024-02-20 09:43,15.95,15.95,15.96,15.95,142,226535.0,0.06,-0.06,-0.01,0.01
水星家纺,603365,2024-02-20 09:44,15.95,15.96,15.96,15.94,356,567709.0,0.13,0.06,0.01,0.01
水星家纺,603365,2024-02-20 09:45,15.94,15.98,15.98,15.94,120,191573.0,0.25,0.13,0.02,0.0
水星家纺,603365,2024-02-20 09:46,15.99,16.0,16.01,15.99,393,628680.0,0.13,0.13,0.02,0.01
水星家纺,603365,2024-02-20 09:47,16.01,16.09,16.11,16.01,318,510874.0,0.63,0.56,0.09,0.01
水星家纺,603365,2024-02-20 09:48,16.07,16.05,16.08,16.05,193,310032.0,0.19,-0.25,-0.04,0.01
水星家纺,603365,2024-02-20 09:49,16.02,16.02,16.05,16.02,54,86512.0,0.19,-0.19,-0.03,0.0
水星家纺,603365,2024-02-20 09:50,16.02,15.96,16.02,15.96,310,495945.0,0.37,-0.37,-0.06,0.01
水星家纺,603365,2024-02-20 09:51,15.96,15.96,15.98,15.95,213,340027.0,0.19,0.0,0.0,0.01
水星家纺,603365,2024-02-20 09:52,15.98,16.01,16.01,15.98,42,67203.0,0.19,0.31,0.05,0.0
水星家纺,603365,2024-02-20 09:53,16.01,15.98,16.02,15.98,279,446196.0,0.25,-0.19,-0.03,0.01
水星家纺,603365,2024-02-20 09:54,15.98,15.98,16.03,15.97,380,608318.0,0.38,0.0,0.0,0.01
水星家纺,603365,2024-02-20 09:55,16.02,16.05,16.05,16.02,91,145904.0,0.19,0.44,0.07,0.0
水星家纺,603365,2024-02-20 09:56,16.05,16.05,16.06,16.02,173,277664.0,0.25,0.0,0.0,0.01
水星家纺,603365,2024-02-20 09:57,16.02,16.01,16.02,16.01,63,100879.0,0.06,-0.25,-0.04,0.0
水星家纺,603365,2024-02-20 09:58,16.01,16.02,16.02,16.01,56,89699.0,0.06,0.06,0.01,0.0
水星家纺,603365,2024-02-20 09:59,16.02,15.99,16.02,15.98,242,387052.0,0.25,-0.19,-0.03,0.01
水星家纺,603365,2024-02-20 10:00,15.99,16.0,16.0,15.99,74,118385.0,0.06,0.06,0.01,0.0
水星家纺,603365,2024-02-20 10:01,16.01,15.98,16.01,15.98,132,211080.0,0.19,-0.13,-0.02,0.01
水星家纺,603365,2024-02-20 10:02,15.98,15.96,15.98,15.95,390,622786.0,0.19,-0.13,-0.02,0.01
水星家纺,603365,2024-02-20 10:03,15.96,15.96,15.97,15.96,187,298447.0,0.06,0.0,0.0,0.01
水星家纺,603365,2024-02-20 10:04,15.96,15.95,15.97,15.95,135,215422.0,0.13,-0.06,-0.01,0.01
水星家纺,603365,2024-02-20 10:05,15.95,15.93,15.95,15.93,310,494127.0,0.13,-0.13,-0.02,0.01
水星家纺,603365,2024-02-20 10:06,15.93,15.94,15.96,15.93,299,476778.0,0.19,0.06,0.01,0.01
水星家纺,603365,2024-02-20 10:07,15.96,15.97,15.97,15.96,50,79826.0,0.06,0.19,0.03,0.0
水星家纺,603365,2024-02-20 10:08,15.98,15.98,15.98,15.98,58,92644.0,0.0,0.06,0.01,0.0
水星家纺,603365,2024-02-20 10:09,15.98,16.01,16.01,15.98,155,247953.0,0.19,0.19,0.03,0.01
水星家纺,603365,2024-02-20 10:10,16.02,15.99,16.02,15.99,60,95996.0,0.19,-0.12,-0.02,0.0
水星家纺,603365,2024-02-20 10:11,15.99,15.99,15.99,15.99,92,147108.0,0.0,0.0,0.0,0.0
水星家纺,603365,2024-02-20 10:12,15.99,15.98,15.99,15.98,184,294116.0,0.06,-0.06,-0.01,0.01
水星家纺,603365,2024-02-20 10:13,15.98,15.99,15.99,15.98,94,150263.0,0.06,0.06,0.01,0.0
水星家纺,603365,2024-02-20 10:14,15.98,15.97,15.99,15.97,147,234872.0,0.13,-0.13,-0.02,0.01
水星家纺,603365,2024-02-20 10:15,15.98,16.0,16.0,15.98,98,156616.0,0.13,0.19,0.03,0.0
水星家纺,603365,2024-02-20 10:16,15.98,15.98,15.98,15.98,46,73508.0,0.0,-0.13,-0.02,0.0
水星家纺,603365,2024-02-20 10:17,15.98,15.98,15.98,15.98,14,22372.0,0.0,0.0,0.0,0.0
