股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
钱江摩托,000913,2024-02-20 09:31,10.81,10.66,10.83,10.61,2284,2446209.0,2.01,-2.38,-0.26,0.05
钱江摩托,000913,2024-02-20 09:32,10.64,10.67,10.69,10.64,1591,1696181.0,0.47,0.09,0.01,0.03
钱江摩托,000913,2024-02-20 09:33,10.68,10.75,10.75,10.68,511,547665.0,0.66,0.75,0.08,0.01
钱江摩托,000913,2024-02-20 09:34,10.75,10.72,10.76,10.7,1413,1516031.0,0.56,-0.28,-0.03,0.03
钱江摩托,000913,2024-02-20 09:35,10.7,10.7,10.71,10.69,577,617408.0,0.19,-0.19,-0.02,0.01
钱江摩托,000913,2024-02-20 09:36,10.69,10.72,10.75,10.69,634,679665.0,0.56,0.19,0.02,0.01
钱江摩托,000913,2024-02-20 09:37,10.72,10.69,10.74,10.67,670,716257.0,0.65,-0.28,-0.03,0.01
钱江摩托,000913,2024-02-20 09:38,10.71,10.72,10.73,10.7,722,773962.0,0.28,0.28,0.03,0.02
钱江摩托,000913,2024-02-20 09:39,10.71,10.77,10.77,10.71,272,292328.0,0.56,0.47,0.05,0.01
钱江摩托,000913,2024-02-20 09:40,10.76,10.72,10.76,10.72,712,765332.0,0.37,-0.46,-0.05,0.02
钱江摩托,000913,2024-02-20 09:41,10.72,10.71,10.73,10.71,421,451418.0,0.19,-0.09,-0.01,0.01
钱江摩托,000913,2024-02-20 09:42,10.71,10.69,10.71,10.69,504,539603.0,0.19,-0.19,-0.02,0.01
钱江摩托,000913,2024-02-20 09:43,10.69,10.71,10.71,10.68,268,286671.0,0.28,0.19,0.02,0.01
钱江摩托,000913,2024-02-20 09:44,10.71,10.73,10.74,10.7,250,268185.0,0.37,0.19,0.02,0.01
钱江摩托,000913,2024-02-20 09:45,10.74,10.76,10.77,10.74,409,439759.0,0.28,0.28,0.03,0.01
钱江摩托,000913,2024-02-20 09:46,10.77,10.77,10.77,10.75,250,269076.0,0.19,0.09,0.01,0.01
钱江摩托,000913,2024-02-20 09:47,10.78,10.78,10.8,10.77,545,587602.0,0.28,0.09,0.01,0.01
钱江摩托,000913,2024-02-20 09:48,10.77,10.76,10.77,10.76,374,402597.0,0.09,-0.19,-0.02,0.01
钱江摩托,000913,2024-02-20 09:49,10.77,10.76,10.78,10.76,813,875196.0,0.19,0.0,0.0,0.02
钱江摩托,000913,2024-02-20 09:50,10.76,10.73,10.76,10.73,298,320231.0,0.28,-0.28,-0.03,0.01
钱江摩托,000913,2024-02-20 09:51,10.72,10.72,10.72,10.7,351,375922.0,0.19,-0.09,-0.01,0.01
钱江摩托,000913,2024-02-20 09:52,10.7,10.72,10.72,10.7,59,63212.0,0.19,0.0,0.0,0.0
钱江摩托,000913,2024-02-20 09:53,10.72,10.73,10.73,10.72,194,208153.0,0.09,0.09,0.01,0.0
钱江摩托,000913,2024-02-20 09:54,10.73,10.72,10.74,10.72,223,239190.0,0.19,-0.09,-0.01,0.0
钱江摩托,000913,2024-02-20 09:55,10.73,10.74,10.74,10.72,346,371157.0,0.19,0.19,0.02,0.01
钱江摩托,000913,2024-02-20 09:56,10.74,10.74,10.75,10.73,376,404049.0,0.19,0.0,0.0,0.01
钱江摩托,000913,2024-02-20 09:57,10.74,10.72,10.74,10.72,233,250128.0,0.19,-0.19,-0.02,0.01
钱江摩托,000913,2024-02-20 09:58,10.72,10.76,10.76,10.72,377,404484.0,0.37,0.37,0.04,0.01
钱江摩托,000913,2024-02-20 09:59,10.75,10.76,10.78,10.74,485,521624.0,0.37,0.0,0.0,0.01
钱江摩托,000913,2024-02-20 10:00,10.78,10.79,10.79,10.78,213,229695.0,0.09,0.28,0.03,0.0
钱江摩托,000913,2024-02-20 10:01,10.8,10.79,10.81,10.79,277,299141.0,0.19,0.0,0.0,0.01
钱江摩托,000913,2024-02-20 10:02,10.79,10.77,10.8,10.77,421,454042.0,0.28,-0.19,-0.02,0.01
钱江摩托,000913,2024-02-20 10:03,10.77,10.73,10.77,10.73,190,204343.0,0.37,-0.37,-0.04,0.0
钱江摩托,000913,2024-02-20 10:04,10.74,10.74,10.76,10.73,423,454511.0,0.28,0.09,0.01,0.01
钱江摩托,000913,2024-02-20 10:05,10.74,10.76,10.76,10.74,237,254917.0,0.19,0.19,0.02,0.01
钱江摩托,000913,2024-02-20 10:06,10.75,10.74,10.76,10.74,541,581599.0,0.19,-0.19,-0.02,0.01
钱江摩托,000913,2024-02-20 10:07,10.74,10.75,10.75,10.74,177,190191.0,0.09,0.09,0.01,0.0
钱江摩托,000913,2024-02-20 10:08,10.75,10.78,10.78,10.75,658,707973.0,0.28,0.28,0.03,0.01
钱江摩托,000913,2024-02-20 10:09,10.78,10.76,10.78,10.76,149,160483.0,0.19,-0.19,-0.02,0.0
钱江摩托,000913,2024-02-20 10:10,10.76,10.79,10.81,10.76,273,294306.0,0.46,0.28,0.03,0.01
钱江摩托,000913,2024-02-20 10:11,10.81,10.81,10.81,10.79,190,205207.0,0.19,0.19,0.02,0.0
钱江摩托,000913,2024-02-20 10:12,10.81,10.82,10.82,10.8,337,364322.0,0.19,0.09,0.01,0.01
钱江摩托,000913,2024-02-20 10:13,10.8,10.79,10.82,10.79,67,72369.0,0.28,-0.28,-0.03,0.0
钱江摩托,000913,2024-02-20 10:14,10.8,10.8,10.8,10.78,94,101477.0,0.19,0.09,0.01,0.0
钱江摩托,000913,2024-02-20 10:15,10.8,10.79,10.8,10.79,137,147912.0,0.09,-0.09,-0.01,0.0
钱江摩托,000913,2024-02-20 10:16,10.78,10.78,10.79,10.78,74,79779.0,0.09,-0.09,-0.01,0.0
钱江摩托,000913,2024-02-20 10:17,10.78,10.77,10.78,10.76,255,274881.0,0.19,-0.09,-0.01,0.01
钱江摩托,000913,2024-02-20 10:18,10.76,10.78,10.78,10.76,65,70021.0,0.19,0.09,0.01,0.0
钱江摩托,000913,2024-02-20 10:19,10.78,10.79,10.79,10.78,49,52841.0,0.09,0.09,0.01,0.0
钱江摩托,000913,2024-02-20 10:20,10.79,10.8,10.8,10.79,167,180228.0,0.09,0.09,0.01,0.0
钱江摩托,000913,2024-02-20 10:21,10.8,10.82,10.82,10.8,162,175218.0,0.19,0.19,0.02,0.0
钱江摩托,000913,2024-02-20 10:22,10.8,10.78,10.8,10.78,169,182591.0,0.18,-0.37,-0.04,0.0
