数据日期,新增投资者-数量,新增投资者-环比,新增投资者-同比,期末投资者-总量,期末投资者-A股账户,期末投资者-B股账户,沪深总市值,沪深户均市值,上证指数-收盘,上证指数-涨跌幅
2023-08,99.59,0.094,-0.2007,22141.58,22082.23,238.81,808664.768312443,36.6206,3119.8764,-5.2009
2023-07,91.03,-0.0724,-0.1959,22042.0,21982.61,238.86,850616.505464203,38.695,3291.0398,2.7788
2023-06,98.13,0.0089,-0.2623,21950.97,21891.53,238.91,832614.73965432,38.0336,3202.0623,-0.0781
2023-05,97.26,-0.0292,-0.1913,21852.84,21793.33,238.96,825176.131819949,37.8637,3204.5644,-3.5721
2023-04,100.19,-0.4716,-0.2028,21755.58,21696.01,238.99,849540.136221947,39.1565,3323.2746,1.5404
2023-03,189.62,0.1308,-0.1763,21655.4,21595.78,239.04,848854.898984678,39.3065,3272.8602,-0.2057
2023-02,167.68,0.9848,0.1854,21465.78,21406.12,239.07,849617.172151431,39.6904,3279.6053,0.7352
2023-01,84.48,0.1859,-0.3621,21298.1,21238.4,239.07,842840.846480075,39.6848,3255.6692,5.3868
2022-12,71.24,-0.268,-0.4814,21213.62,21153.91,239.0,788005.907840896,37.2511,3089.2579,-1.9699
2022-11,97.32,0.2121,-0.2724,21142.38,21082.64,239.03,800975.947539693,37.9922,3151.3353,8.9115
2022-10,80.29,-0.2209,-0.1813,21045.06,20985.28,239.08,740288.848580985,35.2766,2893.4829,-4.3284
2022-09,103.05,-0.173,-0.3632,20964.77,20904.96,239.13,759842.33497355,36.3475,3024.3905,-5.5509
2022-08,124.6,0.1006,-0.3353,20861.72,20801.88,239.18,811626.038670377,39.017,3202.1378,-1.5708
2022-07,113.21,-0.149,-0.2964,20737.12,20677.23,239.22,825898.516940513,39.9424,3253.2382,-4.2776
2022-06,133.03,0.1062,-0.1446,20623.91,20563.95,239.25,848265.993158868,41.2501,3398.6161,6.6592
2022-05,120.26,-0.043,-0.1484,20490.87,20430.86,239.28,780858.070194167,38.2195,3186.4271,4.5737
2022-04,125.67,-0.4541,-0.257,20370.61,20310.56,239.31,738998.967219108,36.385,3047.0624,-6.3077
2022-03,230.2,0.6273,-0.0708,20244.94,20184.86,239.33,805106.854668745,39.8867,3252.2029,-6.0683
2022-02,141.46,0.0682,-0.121,20014.73,19954.6,239.35,864560.067024138,43.3264,3462.3064,3.0007
2022-01,132.43,-0.036,-0.3677,19873.28,19813.1,239.35,838634.003678531,42.3272,3361.4397,-7.6471
2021-12,137.38,0.0271,-0.1529,19740.85,19680.61,239.38,915896.243152999,46.538,3639.7754,2.1294
2021-11,133.75,0.3638,-0.1242,19603.47,19543.17,239.42,897565.002493284,45.9273,3563.8872,0.4666
2021-10,98.07,-0.394,-0.1245,19469.72,19409.36,239.47,867256.491700178,44.6824,3547.3361,-0.5838
2021-09,161.82,-0.1368,0.0499,19371.65,19311.26,239.5,866926.071042683,44.8923,3568.1668,0.6836
2021-08,187.46,0.1651,0.0443,19209.84,19149.37,239.53,867317.407925426,45.2922,3543.9402,4.3146
2021-07,160.89,0.0345,-0.3369,19022.38,18961.31,239.57,830435.490389178,43.7963,3397.3574,-5.3976
2021-06,155.52,0.1013,0.004,18861.48,18800.31,239.58,863734.44593455,45.9426,3591.197,-0.6716
2021-05,141.22,-0.1651,0.1632,18705.97,18644.67,239.61,850519.098812407,45.6173,3615.4773,4.892
2021-04,169.14,-0.3173,0.0311,18564.75,18503.39,239.63,803272.014209577,43.4122,3446.8564,0.1437
2021-03,247.74,0.5393,0.31,18395.61,18334.14,239.67,783730.062687314,42.747,3441.9115,-1.9141
2021-02,160.94,-0.2315,0.7974,18147.87,18086.26,239.71,800790.483138773,44.2762,3509.0804,0.7468
2021-01,209.43,0.2913,1.6156,17986.92,17925.22,239.7,801629.407633782,44.7208,3483.0692,0.2879
2020-12,162.18,0.062,1.004,17777.49,17715.72,239.71,797238.169518806,45.0017,3473.0693,2.3974
2020-11,152.71,0.3634,0.8477,17615.31,17553.45,239.72,769522.839111253,43.8388,3391.7551,5.1859
2020-10,112.01,-0.2733,0.4111,17462.6,17400.3,239.78,735808.401722212,42.2871,3224.5325,0.2014
2020-09,154.13,-0.1414,0.6009,17350.59,17288.19,239.8,721687.155294774,41.7445,3218.0521,-5.2309
2020-08,179.51,-0.2601,0.8202,17196.46,17133.96,239.83,759475.326898321,44.3257,3395.6775,2.5882
2020-07,242.63,0.5664,1.2364,17016.95,16954.33,239.82,738174.534967463,43.539,3310.0065,10.9001
2020-06,154.9,0.2758,0.4671,16774.32,16711.52,239.85,648774.395000386,38.822,2984.6741,4.6391
2020-05,121.41,-0.2599,0.0534,16619.42,16556.51,239.87,600109.908016388,36.2462,2852.3512,-0.2703
2020-04,164.04,-0.1326,0.0714,16498.0,16435.02,239.87,593993.745677342,36.142,2860.0822,3.9918
2020-03,189.12,1.1121,-0.066,16333.96,16270.85,239.9,562853.639026756,34.5928,2750.2962,-4.5137
2020-02,89.54,0.1183,-0.1015,16144.84,16081.57,239.91,596640.151880948,37.1009,2880.3038,-3.2328
2020-01,80.07,-0.0106,-0.2178,16055.3,15991.8,239.95,597179.562285729,37.3429,2976.5281,-2.4129
2019-12,80.93,-0.0208,-0.0517,15975.24,15910.66,240.18,592934.570014009,37.2665,3050.124,6.2028
2019-11,82.65,0.0412,-0.2126,15894.31,15828.32,240.52,546886.762049658,34.5512,2871.9813,-1.9486
2019-10,79.38,-0.1755,-0.1261,15811.65,15745.1,240.68,552694.059974263,35.1026,2929.0561,0.8215
2019-09,96.28,-0.0237,0.0581,15732.27,15665.63,240.72,545836.111839543,34.8429,2905.1892,0.6567
2019-08,98.62,-0.091,-0.0788,15636.0,15569.26,240.78,539709.595383168,34.6651,2886.2365,-1.5778
2019-07,108.49,0.0276,-0.0121,15537.38,15470.56,240.82,540503.319527934,34.9375,2932.5058,-1.5567
2019-06,105.58,-0.084,0.0243,15428.88,15361.9,240.95,536296.498166541,34.9108,2978.8784,2.7662
2019-05,115.26,-0.2472,0.0449,15323.31,15256.18,240.99,522965.935300423,34.279,2898.6961,-5.8357
2019-04,153.11,-0.2438,0.5802,15208.05,15140.74,241.06,555258.10035514,36.6731,3078.338,-0.4018
2019-03,202.48,1.0319,0.2997,15054.94,14987.51,241.07,562855.910129755,37.555,3090.758,5.0937
2019-02,99.65,-0.0266,0.3423,14852.46,14784.89,241.09,524862.132268454,35.4999,2940.9538,13.7888
2019-01,102.37,0.1996,-0.1665,14752.81,14685.17,241.08,448885.738052552,30.5673,2584.5724,3.6359
2018-12,85.34,-0.187,-0.1223,14650.44,14582.73,241.1,434924.027272179,29.8246,2493.8962,-3.6431
2018-11,104.97,0.1557,-0.1397,14565.1,14497.34,241.13,453623.047569965,31.2901,2588.1875,-0.5608
