trade_date,ts_code,name,ope_inv,lent_qnt,cls_inv,end_bal
20241106,688039.SH,当虹科技,4.48,,4.48,125.89
20241106,688070.SH,纵横股份,8.0,,8.0,359.6
20241106,688096.SH,京源环保,37.8,,37.8,346.63
20241106,688105.SH,诺唯赞,5.5,,5.5,132.83
20241106,688106.SH,金宏气体,3.0,,3.0,57.75
20241106,688198.SH,佰仁医疗,1.6,,1.6,194.59
20241106,688219.SH,会通股份,35.3,,35.3,326.17
20241106,688246.SH,嘉和美康,13.14,,13.14,358.59
20241106,688350.SH,富淼科技,8.1,,8.1,104.65
20241106,688355.SH,明志科技,16.0,,16.0,304.62
20241106,688588.SH,凌志软件,66.0,,66.0,1032.9
20241106,688600.SH,皖仪科技,16.0,,16.0,247.36
20241106,688619.SH,罗普特,20.0,,20.0,182.4
20241106,688711.SH,宏微科技,7.0,,7.0,130.97
