trade_date,ts_code,name,tenor,fee_rate,lent_qnt
20240710,689009.SH,九号公司,14,1.4,2.74
20240710,689009.SH,九号公司,12,1.4,1.96
20240710,688981.SH,中芯国际,14,2.2,0.58
20240710,688800.SH,瑞可达,14,2.58,0.2
20240710,688798.SH,艾为电子,14,2.58,0.1
20240710,688798.SH,艾为电子,12,1.4,0.37
20240710,688789.SH,宏华数科,14,2.58,0.1
20240710,688789.SH,宏华数科,12,1.4,0.24
20240710,688779.SH,长远锂科,14,2.0,3.25
20240710,688779.SH,长远锂科,12,1.4,3.78
20240710,688778.SH,厦钨新能,14,2.0,1.8
20240710,688778.SH,厦钨新能,12,1.4,0.66
20240710,688776.SH,国光电气,14,2.58,0.1
20240710,688772.SH,珠海冠宇,14,4.6,4.0
20240710,688772.SH,珠海冠宇,12,1.4,2.65
20240710,688739.SH,成大生物,14,3.3,0.14
20240710,688739.SH,成大生物,12,1.4,0.82
20240710,688728.SH,格科微,14,2.1,0.64
20240710,688711.SH,宏微科技,14,2.58,0.2
20240710,688707.SH,振华新材,14,2.58,0.33
20240710,688707.SH,振华新材,12,1.4,1.2
20240710,688702.SH,盛科通信,12,1.4,0.17
20240710,688700.SH,东威科技,14,2.58,0.2
20240710,688700.SH,东威科技,12,1.4,0.59
20240710,688698.SH,伟创电气,14,1.4,0.16
20240710,688697.SH,纽威数控,14,1.4,0.18
20240710,688696.SH,极米科技,14,2.58,0.1
20240710,688690.SH,纳微科技,14,3.3,0.15
20240710,688690.SH,纳微科技,12,1.4,0.79
20240710,688686.SH,奥普特,14,2.58,0.1
20240710,688686.SH,奥普特,12,1.4,0.15
20240710,688680.SH,海优新材,14,3.6,2.0
20240710,688676.SH,金盘科技,14,2.58,0.25
20240710,688658.SH,悦康药业,14,2.58,0.23
20240710,688639.SH,华恒生物,14,2.6,0.2
20240710,688639.SH,华恒生物,12,1.4,0.38
20240710,688630.SH,芯碁微装,14,2.58,0.1
20240710,688621.SH,阳光诺和,14,3.3,0.74
20240710,688617.SH,惠泰医疗,14,2.0,0.89
20240710,688617.SH,惠泰医疗,12,1.4,0.19
20240710,688612.SH,威迈斯,12,1.4,0.15
20240710,688608.SH,恒玄科技,14,3.3,0.42
20240710,688608.SH,恒玄科技,12,1.4,0.29
20240710,688606.SH,奥泰生物,14,3.3,6.02
20240710,688599.SH,天合光能,14,3.3,5.96
20240710,688598.SH,金博股份,14,2.58,0.2
20240710,688598.SH,金博股份,12,1.4,0.81
20240710,688596.SH,正帆科技,14,2.58,0.25
