trade_date,ts_code,name,ope_inv,lent_qnt,cls_inv,end_bal
20240930,601828.SH,美凯龙,6.49,,,
20240927,688798.SH,艾为电子,1.5,,,
20240927,688789.SH,宏华数科,0.26,,,
20240927,688779.SH,五矿新能,34.82,,,
20240927,688778.SH,厦钨新能,0.49,,,
20240927,688777.SH,中控技术,1.66,,,
20240927,688772.SH,珠海冠宇,3.8,,,
20240927,688766.SH,普冉股份,0.65,,,
20240927,688739.SH,成大生物,1.83,,,
20240927,688702.SH,盛科通信,0.12,,,
20240927,688700.SH,东威科技,0.71,,,
20240927,688690.SH,纳微科技,0.7,,,
20240927,688686.SH,奥普特,0.32,,,
20240927,688639.SH,华恒生物,0.69,,,
20240927,688617.SH,惠泰医疗,0.55,,,
20240927,688612.SH,威迈斯,0.11,,,
20240927,688608.SH,恒玄科技,0.21,,,
20240927,688601.SH,力芯微,0.8,,,
20240927,688598.SH,金博股份,1.49,,,
20240927,688595.SH,芯海科技,1.0,,,
20240927,688582.SH,芯动联科,0.16,,,
20240927,688578.SH,艾力斯,0.66,,,
20240927,688575.SH,亚辉龙,1.87,,,
20240927,688568.SH,中科星图,0.79,,,
20240927,688567.SH,孚能科技,2.13,,,
20240927,688556.SH,高测股份,1.26,,,
20240927,688549.SH,中巨芯,16.27,,,
20240927,688548.SH,广钢气体,0.77,,,
20240927,688536.SH,思瑞浦,0.24,,,
20240927,688526.SH,科前生物,0.41,,,
20240927,688520.SH,神州细胞,0.99,,,
20240927,688516.SH,奥特维,1.66,,,
20240927,688498.SH,源杰科技,0.18,,,
20240927,688484.SH,南芯科技,0.18,,,
20240927,688475.SH,萤石网络,0.12,,,
20240927,688469.SH,芯联集成,783.0,,,
20240927,688439.SH,振华风光,0.18,,,
20240927,688433.SH,华曙高科,0.11,,,
20240927,688432.SH,有研硅,0.73,,,
20240927,688425.SH,铁建重工,8.64,,,
20240927,688409.SH,富创精密,0.45,,,
20240927,688408.SH,中信博,0.36,,,
20240927,688400.SH,凌云光,0.54,,,
20240927,688396.SH,华润微,5.44,,,
20240927,688387.SH,信科移动,4.99,,,
20240927,688383.SH,新益昌,0.22,,,
20240927,688380.SH,中微半导,1.47,,,
20240927,688366.SH,昊海生科,0.23,,,
20240927,688363.SH,华熙生物,0.73,,,
20240927,688361.SH,中科飞测,0.28,,,
20240927,688352.SH,颀中科技,1.32,,,
20240927,688348.SH,昱能科技,0.19,,,
20240927,688347.SH,华虹公司,0.6,,,
20240927,688343.SH,云天励飞,0.31,,,
20240927,688336.SH,XD三生国,0.36,,,
20240927,688333.SH,铂力特,0.66,,,
20240927,688332.SH,中科蓝讯,0.4,,,
20240927,688331.SH,荣昌生物,0.52,,,
20240927,688327.SH,云从科技,2.41,,,
20240927,688326.SH,经纬恒润,0.34,,,
20240927,688322.SH,奥比中光,5.9,,,
20240927,688318.SH,财富趋势,0.16,,,
20240927,688308.SH,欧科亿,9.41,,,
20240927,688301.SH,奕瑞科技,0.53,,,
20240927,688297.SH,中无人机,2.13,,,
20240927,688295.SH,中复神鹰,0.5,,,
20240927,688289.SH,圣湘生物,1.03,,,
20240927,688281.SH,华秦科技,0.17,,,
20240927,688279.SH,峰岹科技,0.42,,,
20240927,688278.SH,特宝生物,1.66,,,
20240927,688276.SH,百克生物,0.36,,,
20240927,688266.SH,泽璟制药,0.54,,,
20240927,688261.SH,东微半导,0.56,,,
20240927,688259.SH,创耀科技,0.78,,,
20240927,688248.SH,南网科技,4.57,,,
20240927,688235.SH,百济神州,5.08,,,
20240927,688234.SH,天岳先进,0.29,,,
20240927,688233.SH,神工股份,1.23,,,
20240927,688232.SH,新点软件,2.86,,,
20240927,688220.SH,翱捷科技,1.0,,,
20240927,688213.SH,思特威,1.7,,,
20240927,688208.SH,道通科技,0.79,,,
20240927,688206.SH,概伦电子,1.87,,,
20240927,688200.SH,华峰测控,0.46,,,
20240927,688198.SH,佰仁医疗,0.12,,,
20240927,688192.SH,迪哲医药,0.88,,,
20240927,688187.SH,时代电气,4.19,,,
20240927,688180.SH,君实生物,3.0,,,
20240927,688177.SH,百奥泰,0.36,,,
20240927,688172.SH,燕东微,2.15,,,
20240927,688166.SH,博瑞医药,0.86,,,
20240927,688161.SH,威高骨科,1.06,,,
20240927,688153.SH,唯捷创芯,1.37,,,
20240927,688147.SH,微导纳米,2.25,,,
20240927,688146.SH,中船特气,3.72,,,
20240927,688141.SH,杰华特,2.18,,,
20240927,688139.SH,海尔生物,2.47,,,
20240927,688133.SH,泰坦科技,1.04,,,
20240927,688110.SH,东芯股份,0.9,,,
20240927,688107.SH,安路科技,1.25,,,
20240927,688106.SH,金宏气体,3.64,,,
20240927,688105.SH,诺唯赞,2.27,,,
20240927,688100.SH,威胜信息,0.44,,,
20240927,688097.SH,博众精工,0.39,,,
20240927,688088.SH,虹软科技,0.83,,,
20240927,688083.SH,中望软件,0.22,,,
20240927,688082.SH,盛美上海,0.23,,,
20240927,688079.SH,美迪凯,4.91,,,
20240927,688066.SH,航天宏图,1.11,,,
20240927,688055.SH,龙腾光电,16.55,,,
20240927,688052.SH,纳芯微,0.49,,,
20240927,688050.SH,爱博医疗,0.39,,,
20240927,688048.SH,长光华芯,0.26,,,
20240927,688037.SH,芯源微,0.47,,,
20240927,688032.SH,禾迈股份,0.15,,,
20240927,688029.SH,南微医学,0.28,,,
20240927,688023.SH,安恒信息,0.2,,,
20240927,688019.SH,安集科技,2.9,,,
20240927,688017.SH,绿的谐波,0.3,,,
20240927,688016.SH,心脉医疗,0.18,,,
20240927,688009.SH,中国通号,3.0,,,
20240927,688007.SH,光峰科技,3.29,,,
20240927,688006.SH,杭可科技,0.7,,,
20240927,688005.SH,容百科技,1.73,,,
20240927,688002.SH,睿创微纳,1.04,,,
20240927,688001.SH,华兴源创,2.34,,,
20240927,603392.SH,万泰生物,10.13,,,
20240927,603288.SH,海天味业,2.21,,,
20240927,603019.SH,中科曙光,3.66,,,
20240927,601933.SH,永辉超市,0.58,,,
20240927,601838.SH,成都银行,41.0,,,
20240927,601828.SH,美凯龙,7.19,,6.49,20.05
20240927,601398.SH,工商银行,9.0,,,
20240927,601238.SH,广汽集团,14.53,,,
20240927,601229.SH,上海银行,16.55,,,
20240927,601088.SH,中国神华,2.0,,,
20240927,601012.SH,隆基绿能,1.34,,,
20240927,601009.SH,南京银行,97.0,,,
20240927,600900.SH,长江电力,5.96,,,
20240927,600887.SH,伊利股份,1.5,,,
20240927,600782.SH,新钢股份,31.4,,,
20240927,600733.SH,北汽蓝谷,52.59,,,
20240927,600732.SH,爱旭股份,1.3,,,
20240927,600660.SH,福耀玻璃,1.0,,,
20240927,600483.SH,福能股份,105.0,,,
20240927,600436.SH,片仔癀,5.67,,,
20240927,600309.SH,万华化学,2.7,,,
20240927,600276.SH,恒瑞医药,31.2,,,
20240927,600259.SH,广晟有色,0.1,,,
20240927,600199.SH,金种子酒,4.8,,,
20240927,301369.SZ,联动科技,0.33,,,
20240927,301316.SZ,慧博云通,1.42,,,
20240927,301205.SZ,联特科技,0.4,,,
20240927,301153.SZ,中科江南,1.0,,,
20240927,301136.SZ,招标股份,37.91,,,
20240927,301062.SZ,上海艾录,4.0,,,
20240927,300956.SZ,英力股份,1.21,,,
20240927,300942.SZ,易瑞生物,0.19,,,
20240927,300896.SZ,爱美客,0.28,,,
20240927,300890.SZ,翔丰华,1.5,,,
20240927,300768.SZ,迪普科技,1.86,,,
20240927,300759.SZ,康龙化成,0.41,,,
20240927,300748.SZ,金力永磁,1.8,,,
20240927,300724.SZ,捷佳伟创,0.21,,,
20240927,300634.SZ,彩讯股份,2.15,,,
20240927,300613.SZ,富瀚微,0.99,,,
20240927,300601.SZ,康泰生物,2.53,,,
20240927,300487.SZ,蓝晓科技,1.48,,,
20240927,300476.SZ,胜宏科技,2.3,,,
20240927,300474.SZ,景嘉微,0.66,,,
20240927,300455.SZ,航天智装,0.55,,,
20240927,300450.SZ,先导智能,2.02,,,
20240927,300443.SZ,金雷股份,0.3,,,
20240927,300433.SZ,蓝思科技,0.16,,,
20240927,300394.SZ,天孚通信,0.2,,,
20240927,300379.SZ,东方通,0.73,,,
20240927,300377.SZ,赢时胜,5.06,,,
20240927,300331.SZ,苏大维格,1.34,,,
20240927,300316.SZ,晶盛机电,1.47,,,
20240927,300267.SZ,尔康制药,16.89,,,
20240927,300251.SZ,光线传媒,3.0,,,
20240927,300244.SZ,迪安诊断,1.79,,,
20240927,300219.SZ,鸿利智汇,3.66,,,
20240927,300183.SZ,东软载波,2.19,,,
