trade_date,ob,auc_amount,repo_amount,repay_amount,cb
20241129,1388.9,,3.0,3.0,1388.9
20241128,1390.9,,,2.0,1388.9
20241127,1393.9,,2.5,5.5,1390.9
20241126,1353.9,50.0,22.1,32.1,1393.9
20241125,1353.9,,2.0,2.0,1353.9
20241122,1353.9,,10.0,10.0,1353.9
20241121,1373.9,,3.5,23.5,1353.9
20241120,1373.9,,4.4,4.4,1373.9
20241119,1329.4,50.0,28.3,33.8,1373.9
20241118,1329.4,,3.0,3.0,1329.4
20241115,1329.4,,,,1329.4
20241114,1329.4,,6.0,6.0,1329.4
20241113,1329.4,,11.8,11.8,1329.4
20241112,1285.8,50.0,36.4,42.8,1329.4
20241111,1293.5,,,7.7,1285.8
20241108,1303.5,,10.0,20.0,1293.5
20241107,1320.5,,0.5,17.5,1303.5
20241106,1323.5,,1.2,4.2,1320.5
20241105,1275.0,50.0,3.0,4.5,1323.5
20241104,1275.0,,5.0,5.0,1275.0
20241101,1275.0,,,,1275.0
20241031,1279.0,,,4.0,1275.0
20241030,1279.0,,1.4,1.4,1279.0
20241029,1241.1,50.0,42.7,54.8,1279.0
20241028,1241.1,,2.0,2.0,1241.1
20241025,1241.1,,2.0,2.0,1241.1
20241024,1254.5,,1.8,15.2,1241.1
20241023,1260.5,,5.1,11.1,1254.5
20241022,1213.5,50.0,16.7,19.7,1260.5
20241021,1213.5,,,,1213.5
20241018,1218.5,,1.5,6.5,1213.5
20241017,1223.5,,0.1,5.1,1218.5
20241016,1224.7,,2.5,3.7,1223.5
20241015,1176.2,50.0,0.3,1.8,1224.7
20241014,1181.2,,1.0,6.0,1176.2
20241011,1181.2,,,,1181.2
20241010,1194.2,,,13.0,1181.2
20241009,1200.2,,,6.0,1194.2
20241008,1163.4,50.0,21.4,34.6,1200.2
20240930,1163.4,,,,1163.4
20240927,1172.9,,,9.5,1163.4
20240926,1172.9,,,,1172.9
20240925,1172.9,,3.0,3.0,1172.9
20240924,1157.0,29.0,35.7,48.8,1172.9
20240923,1157.5,,8.4,8.9,1157.0
20240920,1157.5,,2.3,2.3,1157.5
20240919,1160.9,,3.0,6.4,1157.5
20240918,1175.9,,30.1,45.1,1160.9
20240913,1180.9,,12.9,17.9,1175.9
20240912,1191.4,,1.0,11.5,1180.9
20240911,1191.4,,3.0,3.0,1191.4
20240910,1179.8,44.3,30.7,63.4,1191.4
20240909,1185.4,,4.0,9.6,1179.8
20240906,1185.4,,,,1185.4
20240905,1205.4,,0.8,20.8,1185.4
20240904,1206.4,,1.5,2.5,1205.4
20240903,1213.2,30.0,34.8,71.6,1206.4
20240902,1213.2,,3.7,3.7,1213.2
20240830,1213.2,,,,1213.2
20240829,1213.2,,1.5,1.5,1213.2
20240828,1213.2,,1.5,1.5,1213.2
20240827,1243.0,19.4,11.0,60.2,1213.2
20240826,1248.0,,2.0,7.0,1243.0
20240823,1248.0,,2.0,2.0,1248.0
20240822,1248.0,,2.4,2.4,1248.0
20240821,1251.0,,1.7,4.7,1248.0
20240820,1230.7,30.0,5.0,14.7,1251.0
20240819,1245.7,,,15.0,1230.7
20240816,1245.7,,,,1245.7
20240815,1245.7,,,,1245.7
20240814,1248.7,,4.5,7.5,1245.7
20240813,1249.2,,1.0,1.5,1248.7
20240812,1249.2,,,,1249.2
20240809,1249.2,,0.6,0.6,1249.2
20240808,1249.2,,,,1249.2
20240807,1252.2,,,3.0,1249.2
20240806,1269.3,,27.6,44.7,1252.2
20240805,1285.1,,,15.8,1269.3
20240802,1285.1,,1.0,1.0,1285.1
