ts_code,ann_date,float_date,float_share,float_ratio,holder_name,share_type
301371.SZ,20240730,20290801,35000.0,0.0087,闫天午6,首发原始股
301371.SZ,20240730,20290801,33000.0,0.0082,韩金平6,首发原始股
301371.SZ,20240730,20290801,25000.0,0.0062,王鑫磊6,首发原始股
301371.SZ,20240730,20290801,35000.0,0.0087,闫天午,首发原始股
301371.SZ,20240730,20290801,33000.0,0.0082,韩金平,首发原始股
301371.SZ,20240730,20290801,25000.0,0.0062,王鑫磊,首发原始股
000750.SZ,20231116,20281117,265486725.0,4.1572,广西投资集团有限公司,定增股份
000750.SZ,20231116,20281117,235988200.0,3.6953,广西金融投资集团有限公司,定增股份
000750.SZ,20231116,20281117,88495575.0,1.3857,广西梧州中恒集团股份有限公司,定增股份
873339.BJ,20221220,20280918,400000.0,0.1816,宋琪,首发原始股
873339.BJ,20221220,20280918,100000.0,0.0454,陈尔励,首发原始股
873339.BJ,20221220,20280918,50000.0,0.0227,管园园,首发原始股
301371.SZ,20240730,20280801,35000.0,0.0087,闫天午5,首发原始股
301371.SZ,20240730,20280801,33000.0,0.0082,韩金平5,首发原始股
301371.SZ,20240730,20280801,25000.0,0.0062,王鑫磊5,首发原始股
301371.SZ,20240730,20280801,35000.0,0.0087,闫天午,首发原始股
301371.SZ,20240730,20280801,33000.0,0.0082,韩金平,首发原始股
301371.SZ,20240730,20280801,25000.0,0.0062,王鑫磊,首发原始股
600816.SH,20230426,20280425,4375310335.0,44.4444,上海砥安投资管理有限公司,定增股份
600816.SH,20230426,20280424,4375310335.0,44.4444,上海砥安投资管理有限公司,定增股份
601658.SH,20230330,20280329,6777108433.0,6.8344,中国移动通信集团有限公司,定增股份
601658.SH,20230330,20280329,6777108433.0,6.8344,中国移动通信集团有限公司,定增股份
601658.SH,20230330,20280328,6777108433.0,6.8344,中国移动通信集团有限公司,定增股份
873339.BJ,20221115,20280320,400000.0,0.1816,宋琪,首发原始股
873339.BJ,20221115,20280320,100000.0,0.0454,陈尔励,首发原始股
873339.BJ,20221115,20280320,50000.0,0.0227,管园园,首发原始股
873339.BJ,20221115,20280320,50000.0,0.0227,朱娅,首发原始股
873339.BJ,20221115,20280320,50000.0,0.0227,刘玉茹,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,姜丽娜,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,黄林,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,裔雪娇,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,沈琳琳,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,沈波,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,杨根苗,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,康胜华,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,葛丹,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,张烨,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,陈廷宇,首发原始股
873339.BJ,20221115,20280320,50000.0,0.0227,蒋丽,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,秦飞,首发原始股
873339.BJ,20221115,20280320,250000.0,0.1135,包含,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,石丽洋,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,卞璐,首发原始股
873339.BJ,20221115,20280320,30000.0,0.0136,王彦椿,首发原始股
873339.BJ,20221115,20280320,200000.0,0.0908,王海涛,首发原始股
873339.BJ,20221115,20280320,20000.0,0.0091,卞忠袁,首发原始股
873339.BJ,20221115,20280320,200000.0,0.0908,黄红光,首发原始股
835857.BJ,20230310,20280314,26918400.0,18.7633,刘甲铭,首发原始股
835857.BJ,20230310,20280314,22584992.0,15.7427,刘煜,首发原始股
835857.BJ,20230310,20280314,5806080.0,4.0471,刘洁,首发原始股
835857.BJ,20230310,20280314,4796480.0,3.3433,朱新颖,首发原始股
835857.BJ,20230310,20280314,100000.0,0.0697,刘剑,首发原始股
835857.BJ,20230310,20280314,50000.0,0.0349,刘甲新,首发原始股
688522.SH,20240522,20280301,7308000.0,3.375,刘世良,首发原始股
688522.SH,20240522,20280301,7308000.0,3.375,刘素心,首发原始股
688522.SH,20240522,20280301,23880920.0,11.0287,刘素红,首发原始股
688522.SH,20240522,20280301,90002080.0,41.565,珠海加中通科技有限公司,首发原始股
688522.SH,20230228,20280301,5220000.0,3.375,刘世良,首发原始股
688522.SH,20230228,20280301,5220000.0,3.375,刘素心,首发原始股
688522.SH,20230228,20280301,17057800.0,11.0287,刘素红,首发原始股
688522.SH,20230228,20280301,64287200.0,41.565,珠海加中通科技有限公司,首发原始股
688522.SH,20230228,20280301,5220000.0,3.375,刘世良,首发原始股
688522.SH,20230228,20280301,5220000.0,3.375,刘素心,首发原始股
688522.SH,20230228,20280301,17057800.0,11.0287,刘素红,首发原始股
688522.SH,20230228,20280301,64287200.0,41.565,珠海加中通科技有限公司,首发原始股
603310.SH,20240921,20280214,132180000.0,38.2753,东阳市瀛华控股有限公司,首发原始股
603310.SH,20240921,20280214,7480000.0,2.166,吴江伟,首发原始股
603310.SH,20240921,20280214,7000000.0,2.027,吴顺华,首发原始股
603310.SH,20240921,20280214,3000000.0,0.8687,金茶仙,首发原始股
600908.SH,20230207,20280203,195369030.0,9.0822,无锡市太湖新城资产经营管理有限公司,定增股份
600908.SH,20230207,20280203,195369030.0,9.0822,无锡市太湖新城资产经营管理有限公司,定增股份
600908.SH,20230207,20280203,195369030.0,9.0822,无锡市太湖新城资产经营管理有限公司,定增股份
600908.SH,20230207,20280202,195369030.0,8.9019,无锡市太湖新城资产经营管理有限公司,定增股份
600908.SH,20230207,20280202,195369030.0,9.0819,无锡市太湖新城资产经营管理有限公司,定增股份
600908.SH,20230207,20280202,195369030.0,9.082,无锡市太湖新城资产经营管理有限公司,定增股份
600908.SH,20230207,20280202,195369030.0,9.0822,无锡市太湖新城资产经营管理有限公司,定增股份
603391.SH,20240919,20280201,50000000.0,54.9451,何俊南,首发原始股
603391.SH,20240919,20280201,1023750.0,1.125,吴万丰,首发原始股
603391.SH,20240919,20280201,9750000.0,10.7143,湖州欣然企业管理合伙企业(有限合伙),首发原始股
603391.SH,20240919,20280201,2767000.0,3.0407,王建平,首发原始股
603391.SH,20240919,20280201,3685500.0,4.05,陈国良,首发原始股
603381.SH,20240911,20271227,88118640.0,37.1407,汪献利,首发原始股
603381.SH,20240911,20271227,5000000.0,2.1074,邵东芳,首发原始股
000791.SZ,20241128,20271203,1308202206.0,44.9748,甘肃省电力投资集团有限责任公司,定增股份
688449.SH,20241128,20271129,30263308.0,6.579,方小玲,首发原始股
688449.SH,20241128,20271129,30263308.0,6.579,杭州同进投资管理合伙企业(有限合伙),首发原始股
688449.SH,20241128,20271129,87400432.0,19.0001,杭州弘菱投资合伙企业(有限合伙),首发原始股
688449.SH,20241128,20271129,14868817.0,3.2324,杭州芯享股权投资合伙企业(有限合伙),首发原始股
603395.SH,20241125,20271126,133000000.0,66.5,中盐安徽红四方股份有限公司,首发原始股
603395.SH,20241125,20271126,17000000.0,8.5,合肥弘邦化工投资股份有限公司,首发原始股
301631.SZ,20241121,20271122,1020000.0,1.5621,厦门奔友投资合伙企业(有限合伙),首发原始股
301631.SZ,20241121,20271122,2160000.0,3.31,深圳侨友投资合伙企业(有限合伙),首发原始股
301631.SZ,20241121,20271122,1871214.0,2.8657,深圳奔云投资有限公司,首发原始股
301631.SZ,20241121,20271122,17824169.0,27.2974,深圳市王星实业发展有限公司,首发原始股
301631.SZ,20241121,20271122,5000000.0,7.6574,田奔,首发原始股
301631.SZ,20241121,20271122,12000000.0,18.3778,田王星,首发原始股
301631.SZ,20241121,20271122,231530.0,0.35,卓祥宇1,首发原始股
301631.SZ,20241121,20271122,1006717.0,1.54,程青峰,首发原始股
688768.SH,20241121,20271122,725164.0,0.8294,聂卫华,定增股份
688750.SH,20241119,20271122,1742101.0,0.3767,长沙永科企业管理合伙企业(有限合伙),首发原始股
688750.SH,20241119,20271122,37954272.0,8.2063,湖南湘投军融产业投资基金企业(有限合伙),首发原始股
688750.SH,20241119,20271122,173879820.0,37.5956,湖南湘投金天科技集团有限责任公司,首发原始股
688750.SH,20241119,20271122,2051808.0,0.4436,长沙峰华企业管理合伙企业(有限合伙),首发原始股
688750.SH,20241119,20271122,4703673.0,1.017,长沙新凯源企业管理合伙企业(有限合伙),首发原始股
300143.SZ,20241111,20271112,107897664.0,14.3851,青岛盈康医疗投资有限公司,定增股份
