ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
301585.SZ,301585,蓝宇股份,20241206,,2000.0,0.0,0.0,0.0,0.55,0.0,0.0
688605.SH,787605,先锋精科,20241202,,5060.0,1214.0,11.29,28.64,1.2,5.712,0.0
301617.SZ,301617,博苑股份,20241129,,2570.0,1246.0,27.76,15.86,0.7,7.134,0.02
920098.BJ,920098,科隆新材,20241126,,1725.0,1200.0,14.0,14.86,71.25,2.415,0.05
688708.SH,787708,佳驰科技,20241125,,4001.0,1144.0,27.08,20.72,0.75,10.835,0.04
301622.SZ,301622,英思特,20241122,,2898.0,1406.0,22.36,21.63,0.8,6.481,0.02
688449.SH,787449,联芸科技,20241118,20241129,10000.0,2100.0,11.25,166.67,1.4,11.25,0.04
920128.BJ,920128,胜业电气,20241118,20241129,2070.0,1440.0,9.12,16.51,85.5,1.888,0.05
603395.SH,732395,红四方,20241115,20241126,5000.0,3249.0,7.98,10.62,1.6,3.99,0.03
301631.SZ,301631,壹连科技,20241108,20241122,1633.0,667.0,72.99,19.06,0.35,11.919,0.02
688750.SH,787750,金天钛业,20241108,20241120,9250.0,2498.0,7.16,24.72,1.65,6.623,0.04
920060.BJ,920060,万源通,20241108,20241119,3565.0,2480.0,11.16,15.4,147.25,3.979,0.09
920111.BJ,920111,聚星科技,20241029,20241111,4465.0,3106.0,6.25,13.23,184.44,2.791,0.07
301633.SZ,301633,港迪技术,20241025,20241107,1392.0,1392.0,37.94,26.71,1.35,5.281,0.01
603205.SH,732205,健尔康,20241025,20241107,3000.0,2400.0,14.65,14.59,1.2,4.395,0.03
920066.BJ,920066,科拜尔,20241022,20241031,1244.0,865.0,13.31,14.45,51.38,1.656,0.05
301628.SZ,301628,强达电路,20241021,20241031,1884.0,1884.0,28.18,24.98,1.85,5.31,0.02
920088.BJ,920088,科力股份,20241018,20241029,2415.0,1680.0,7.32,14.79,99.75,1.768,0.06
688726.SH,787726,拉普拉斯,20241018,20241029,4053.0,1052.0,17.58,19.87,0.65,7.126,0.04
301613.SZ,301613,新铝时代,20241016,20241025,2397.0,1163.0,27.7,14.57,0.65,6.641,0.02
301626.SZ,301626,苏州天脉,20241015,20241024,2892.0,1258.0,21.23,16.31,0.7,6.14,0.02
301592.SZ,301592,六九一二,20241011,20241024,1750.0,1750.0,29.49,22.66,1.75,5.161,0.02
301556.SZ,301556,托普云农,20241008,20241017,2132.0,931.0,14.5,11.73,0.5,3.091,0.02
301522.SZ,301522,上大股份,20240930,20241016,9297.0,3719.0,6.88,20.02,2.2,6.396,0.03
001279.SZ,001279,强邦新材,20240925,20241011,4000.0,2945.0,9.68,17.54,1.4,3.872,0.04
301618.SZ,301618,长联科技,20240919,20240930,1611.0,1611.0,21.12,17.0,1.6,3.402,0.02
920019.BJ,920019,铜冠矿建,20240918,20241011,5827.0,3547.0,4.33,15.48,215.33,2.523,0.11
688615.SH,787615,合合信息,20240913,20240926,2500.0,800.0,55.18,18.55,0.6,13.795,0.05
301551.SZ,301551,无线传媒,20240913,20240926,4001.0,1398.0,9.4,13.95,0.6,3.761,0.04
920099.BJ,920099,瑞华技术,20240910,20240925,1840.0,1280.0,19.0,13.54,76.0,3.496,0.5
603091.SH,732091,众鑫股份,20240906,20240920,2556.0,1636.0,26.5,11.86,0.8,6.773,0.04
920016.BJ,920016,中草香料,20240903,20240913,1719.0,1196.0,7.5,15.37,71.01,1.289,0.07
301600.SZ,301600,慧翰股份,20240902,20240911,1755.0,1755.0,39.84,22.57,1.75,6.992,0.02
301607.SZ,301607,富特科技,20240826,20240904,2775.0,1138.0,14.0,16.82,0.65,3.886,0.03
001277.SZ,001277,速达股份,20240823,20240903,1900.0,1900.0,32.0,15.05,1.9,6.08,0.02
688710.SH,787710,益诺思,20240823,20240903,3524.0,1128.0,19.06,15.4,0.8,6.718,0.05
920008.BJ,920008,成电光信,20240820,20240829,1058.0,736.0,10.0,15.15,43.7,1.058,0.06
301586.SZ,301586,佳力奇,20240819,20240828,2074.0,1006.0,18.09,19.15,0.55,3.753,0.03
603207.SH,732207,小方制药,20240815,20240826,4000.0,3200.0,12.47,10.02,1.6,4.988,0.05
920118.BJ,920118,太湖远大,20240813,20240822,730.0,584.0,17.0,11.8,34.67,1.241,0.09
301571.SZ,301571,国科天成,20240812,20240821,4486.0,1794.0,11.14,15.53,1.05,4.997,0.03
603310.SH,732310,巍华新材,20240805,20240814,8634.0,5526.0,17.39,12.26,2.75,15.015,0.06
301611.SZ,301611,珂玛科技,20240805,20240816,7500.0,2400.0,8.0,44.9,1.2,6.0,0.04
688721.SH,787721,龙图光罩,20240726,20240806,3338.0,1068.0,18.5,30.2,0.8,6.174,0.04
301608.SZ,301608,博实结,20240723,20240801,2225.0,890.0,44.5,23.98,0.5,9.902,0.03
603391.SH,732391,力聚热能,20240722,20240731,2275.0,1820.0,40.0,15.56,0.9,9.1,0.04
301606.SZ,301606,绿联科技,20240715,20240726,4150.0,1328.0,21.21,24.0,0.65,8.802,0.03
301552.SZ,301552,科力装备,20240711,20240722,1700.0,698.0,30.0,15.08,0.4,5.1,0.02
301603.SZ,301603,乔锋智能,20240701,20240710,3019.0,1208.0,26.5,19.96,0.7,8.0,0.03
603285.SH,732285,键邦股份,20240626,20240705,4000.0,3200.0,18.65,16.43,1.6,7.46,0.05
603350.SH,732350,安乃达,20240624,20240703,2900.0,2320.0,20.56,18.02,1.15,5.962,0.04
603381.SH,732381,永臻股份,20240617,20240626,5931.0,4271.0,23.35,15.06,2.1,13.85,0.05
301580.SZ,301580,爱迪特,20240617,20240626,1903.0,923.0,44.95,25.49,0.5,8.554,0.03
301565.SZ,301565,中仑新材,20240611,20240620,6001.0,2340.0,11.88,23.63,1.1,7.129,0.04
688692.SH,787692,达梦数据,20240531,20240612,1900.0,608.0,86.96,24.09,0.45,16.522,0.04
300784.SZ,300784,利安科技,20240528,20240607,1406.0,1406.0,28.3,22.4,1.4,3.979,0.02
301392.SZ,301392,汇成真空,20240524,20240605,2500.0,1088.0,12.2,16.31,0.6,3.05,0.03
920002.BJ,920002,万达轴承,20240521,20240530,575.0,400.0,20.74,14.33,23.75,1.193,0.07
301596.SZ,301596,瑞迪智驱,20240429,20240513,1378.0,1378.0,25.92,15.65,1.35,3.572,0.02
688530.SH,787530,欧莱新材,20240425,20240509,4001.0,1280.0,9.6,41.44,0.95,3.841,0.05
301539.SZ,301539,宏鑫科技,20240401,20240415,3700.0,1795.0,10.64,25.0,1.05,3.937,0.02
688691.SH,787691,灿芯股份,20240329,20240411,3000.0,1020.0,19.86,23.14,0.75,5.958,0.04
872931.BJ,889900,无锡鼎邦,20240327,20240408,2875.0,2000.0,6.2,14.58,118.75,1.782,0.08
301587.SZ,301587,中瑞股份,20240325,20240408,3683.0,1495.0,21.73,18.79,0.85,8.004,0.03
001389.SZ,001389,广合科技,20240322,20240402,4230.0,2665.0,17.43,26.28,1.1,7.373,0.04
837023.BJ,889288,芭薇股份,20240320,20240329,920.0,640.0,5.77,14.2,38.0,0.531,0.04
301536.SZ,301536,星宸科技,20240318,20240328,4211.0,1474.0,16.16,15.34,0.7,6.805,0.03
