trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20241129,688605.SH,先锋精科,半导体,江苏,0.0,0.0,0.0,14.14,10.14,2.8,4.76,0.0,0.0,0.0,0.0,0,2.85,0.0,0.0,0.0,34.49,20.15,0
20241129,688708.SH,佳驰科技,化工原料,四川,0.0,0.0,0.0,23.56,19.18,2.24,1.65,0.0,0.0,0.0,0.0,0,13.64,0.0,0.0,0.0,77.25,54.41,0
20241129,301585.SZ,蓝宇股份,染料涂料,浙江,0.0,0.0,0.0,6.47,4.34,1.26,0.64,0.0,0.0,0.0,0.0,0,3.61,0.0,0.0,0.0,38.41,22.93,0
20241129,301622.SZ,英思特,矿物制品,内蒙,0.0,0.0,0.0,16.99,10.62,4.12,1.39,0.0,0.0,0.0,0.0,0,6.05,0.0,0.0,0.0,29.62,16.2,0
20241129,301270.SZ,汉仪股份,软件服务,北京,592.12,0.74,1.0,10.54,5.83,2.03,7.99,7.99,0.05,10.02,3.99,20220831,1.35,1.35,-13.53,-86.26,79.73,2.23,12403
20241129,002718.SZ,友邦吊顶,其他建材,浙江,0.0,0.65,1.31,14.26,4.97,6.44,4.06,3.09,-0.27,7.5,1.87,20140128,3.47,2.64,-32.66,-150.47,24.46,-7.63,6540
20241129,002348.SZ,高乐股份,文教休闲,广东,0.0,8.89,9.47,7.69,2.62,4.66,0.1,0.01,-0.04,0.51,8.36,20100203,-5.47,-0.58,-5.11,-41.35,22.26,-16.71,30722
20241129,002741.SZ,光华科技,化工原料,广东,879.94,3.62,4.65,31.07,15.01,12.43,6.75,1.45,0.02,3.39,5.04,20150216,1.96,0.42,-8.26,102.42,9.98,0.37,25812
20241129,001229.SZ,魅视科技,IT设备,广东,68.67,0.29,1.0,10.16,6.65,0.16,5.76,5.76,0.52,9.65,4.95,20220808,2.6,2.6,-15.99,-13.33,76.02,44.41,11711
20241129,002862.SZ,实丰文化,文教休闲,广东,745.85,0.9,1.2,6.6,3.23,1.92,2.67,2.23,0.04,3.44,10.89,20170411,0.15,0.12,39.92,142.53,34.31,1.42,10746
20241129,603078.SH,江化微,半导体,江苏,68.94,3.86,3.86,27.19,12.83,11.06,6.17,1.6,0.22,4.31,4.77,20170410,5.7,1.48,6.33,-12.45,25.87,8.79,43632
20241129,600641.SH,万业企业,区域地产,上海,0.0,9.31,9.31,103.83,51.2,7.87,4.46,0.48,-0.03,8.94,2.08,19930407,53.81,5.78,-59.63,-119.36,59.3,-36.25,53103
20241129,002469.SZ,三维化学,化工原料,山东,28.71,6.29,6.49,34.58,19.93,4.45,6.46,1.0,0.22,4.02,2.14,20100908,11.51,1.77,-15.01,-26.44,19.75,8.84,34873
20241129,603906.SH,龙蟠科技,电气设备,江苏,0.0,5.65,6.65,162.94,75.59,54.38,23.85,3.59,-0.54,5.23,2.47,20170410,-0.32,-0.05,-12.81,58.33,11.76,-6.58,56076
20241129,831855.BJ,浙江大农,机床制造,浙江,62.14,0.26,0.75,6.63,4.43,1.48,1.76,2.35,0.34,7.26,3.83,20221229,2.64,3.54,5.34,-25.25,28.97,13.21,4205
20241129,002292.SZ,奥飞娱乐,影视音像,广东,144.15,10.18,14.79,47.69,16.2,2.56,24.46,1.65,0.05,2.29,4.05,20090910,-6.8,-0.46,-0.45,-12.5,42.62,3.42,125366
20241129,300703.SZ,创源股份,文教休闲,浙江,28.58,1.7,1.8,17.67,10.82,3.55,2.83,1.57,0.33,4.66,2.7,20170919,3.33,1.85,38.33,-10.46,30.58,5.33,10000
20241129,000590.SZ,启迪药业,中成药,湖南,0.0,2.39,2.39,11.07,4.84,2.7,4.74,1.98,-0.12,2.9,2.67,19960119,-0.64,-0.27,-21.26,-542.51,46.21,-13.06,19808
20241129,300131.SZ,英唐智控,元器件,深圳,145.5,10.42,11.35,36.23,23.0,1.42,0.49,0.04,0.04,1.53,5.17,20101019,5.14,0.45,11.27,19.57,7.84,1.01,83054
20241129,002467.SZ,二六三,互联网,北京,130.02,13.63,13.75,23.55,9.64,0.78,3.8,0.28,0.05,1.36,6.0,20100908,1.35,0.1,1.58,-29.29,44.65,10.69,111791
20241129,603395.SH,C红四方,农药化肥,安徽,89.72,0.4,2.0,21.93,8.53,9.16,0.5,0.25,0.56,7.01,9.55,20241126,7.59,3.79,0.0,0.0,12.32,4.29,70344
20241129,300029.SZ,ST天龙,建筑工程,江苏,0.0,2.0,2.01,2.8,2.55,0.01,8.39,4.18,-0.03,0.08,69.88,20091225,-10.49,-5.23,-43.22,34.23,13.55,-4.2,8140
20241129,600246.SH,万通发展,区域地产,北京,0.0,19.87,19.87,84.12,25.98,0.87,30.82,1.55,-0.06,2.78,3.41,20000922,10.37,0.52,-8.18,31.37,30.78,-38.08,32303
20241129,603706.SH,东方环宇,供气供热,新疆,23.95,1.89,1.89,26.69,12.49,8.24,9.25,4.89,0.64,8.48,2.42,20180709,3.31,1.75,8.42,15.72,26.51,16.35,12631
20241129,300640.SZ,德艺文创,家居用品,福建,137.61,2.22,3.12,9.65,3.35,2.85,3.82,1.22,0.04,2.58,2.57,20170417,0.8,0.26,21.16,-49.01,16.85,1.69,10434
20241129,300117.SZ,*ST嘉寓,电气设备,北京,0.0,7.17,7.17,21.13,11.03,3.01,1.48,0.21,-0.29,-2.36,-0.54,20100902,-26.03,-3.63,-56.07,-67.14,-4.16,-52.81,22533
20241129,870199.BJ,倍益康,家用电器,四川,88.66,0.37,0.68,7.16,4.33,0.36,3.35,4.92,0.3,7.71,4.67,20221201,1.0,1.47,-18.97,-35.48,39.1,10.19,6432
20241129,000801.SZ,四川九洲,家用电器,四川,105.43,10.23,10.23,67.81,49.7,7.37,3.04,0.3,0.12,2.91,5.66,19980506,15.33,1.5,-3.76,-15.1,22.36,5.61,66516
20241129,300942.SZ,易瑞生物,医疗保健,深圳,762.27,4.01,4.01,13.79,7.33,0.51,1.87,0.47,0.01,1.95,5.06,20210209,1.42,0.36,-4.27,103.93,66.09,1.89,17913
