ts_code,hs_type,in_date,out_date,is_new
002910.SZ,SZ,20171114,,1
000016.SZ,SZ,20180102,,1
001872.SZ,SZ,20180102,,1
000040.SZ,SZ,20180102,,1
000401.SZ,SZ,20180102,,1
000429.SZ,SZ,20180102,,1
000553.SZ,SZ,20180102,,1
000560.SZ,SZ,20180102,,1
000710.SZ,SZ,20180102,,1
000723.SZ,SZ,20180102,,1
000951.SZ,SZ,20180102,,1
000968.SZ,SZ,20180102,,1
002061.SZ,SZ,20180102,,1
002507.SZ,SZ,20180102,,1
002530.SZ,SZ,20180102,,1
002537.SZ,SZ,20180102,,1
002545.SZ,SZ,20180102,,1
002611.SZ,SZ,20180102,,1
002648.SZ,SZ,20180102,,1
002747.SZ,SZ,20180102,,1
002812.SZ,SZ,20180102,,1
002839.SZ,SZ,20180102,,1
002841.SZ,SZ,20180102,,1
002859.SZ,SZ,20180102,,1
002867.SZ,SZ,20180102,,1
300308.SZ,SZ,20180102,,1
300457.SZ,SZ,20180102,,1
300616.SZ,SZ,20180102,,1
300618.SZ,SZ,20180102,,1
300628.SZ,SZ,20180102,,1
300666.SZ,SZ,20180102,,1
002936.SZ,SZ,20181011,,1
000301.SZ,SZ,20180703,,1
000537.SZ,SZ,20180703,,1
000546.SZ,SZ,20180703,,1
000789.SZ,SZ,20180703,,1
000831.SZ,SZ,20180703,,1
000932.SZ,SZ,20180703,,1
000935.SZ,SZ,20180703,,1
001965.SZ,SZ,20180703,,1
002258.SZ,SZ,20180703,,1
002382.SZ,SZ,20180703,,1
002409.SZ,SZ,20180703,,1
002430.SZ,SZ,20180703,,1
002511.SZ,SZ,20180703,,1
002677.SZ,SZ,20180703,,1
002807.SZ,SZ,20180703,,1
002901.SZ,SZ,20180703,,1
002907.SZ,SZ,20180703,,1
002911.SZ,SZ,20180703,,1
002912.SZ,SZ,20180703,,1
002913.SZ,SZ,20180703,,1
002916.SZ,SZ,20180703,,1
002920.SZ,SZ,20180703,,1
300232.SZ,SZ,20180703,,1
300298.SZ,SZ,20180703,,1
300349.SZ,SZ,20180703,,1
300357.SZ,SZ,20180703,,1
300482.SZ,SZ,20180703,,1
300529.SZ,SZ,20180703,,1
300567.SZ,SZ,20180703,,1
300601.SZ,SZ,20180703,,1
300676.SZ,SZ,20180703,,1
300679.SZ,SZ,20180703,,1
300685.SZ,SZ,20180703,,1
300699.SZ,SZ,20180703,,1
300725.SZ,SZ,20180703,,1
300726.SZ,SZ,20180703,,1
300735.SZ,SZ,20180703,,1
000025.SZ,SZ,20170703,,1
000617.SZ,SZ,20170703,,1
000717.SZ,SZ,20170703,,1
000818.SZ,SZ,20170703,,1
000877.SZ,SZ,20170703,,1
000933.SZ,SZ,20170703,,1
000976.SZ,SZ,20170703,,1
000980.SZ,SZ,20170703,,1
002110.SZ,SZ,20170703,,1
002506.SZ,SZ,20170703,,1
002558.SZ,SZ,20170703,,1
002597.SZ,SZ,20170703,,1
002815.SZ,SZ,20170703,,1
002818.SZ,SZ,20170703,,1
002821.SZ,SZ,20170703,,1
002831.SZ,SZ,20170703,,1
002120.SZ,SZ,20170703,,1
002608.SZ,SZ,20170703,,1
002490.SZ,SZ,20180416,,1
300398.SZ,SZ,20170703,,1
300180.SZ,SZ,20170703,,1
300038.SZ,SZ,20170703,,1
300450.SZ,SZ,20170703,,1
300527.SZ,SZ,20170703,,1
300558.SZ,SZ,20170703,,1
300762.SZ,SZ,20191216,,1
300765.SZ,SZ,20191216,,1
300766.SZ,SZ,20191216,,1
300768.SZ,SZ,20191216,,1
300770.SZ,SZ,20191216,,1
300773.SZ,SZ,20191216,,1
002948.SZ,SZ,20190130,,1
000019.SZ,SZ,20190617,,1
000049.SZ,SZ,20190617,,1
000070.SZ,SZ,20190617,,1
000629.SZ,SZ,20190617,,1
000667.SZ,SZ,20190617,,1
000861.SZ,SZ,20190617,,1
000936.SZ,SZ,20190617,,1
000950.SZ,SZ,20190617,,1
001696.SZ,SZ,20190617,,1
002063.SZ,SZ,20190617,,1
002100.SZ,SZ,20190617,,1
002115.SZ,SZ,20190617,,1
002124.SZ,SZ,20190617,,1
002318.SZ,SZ,20190617,,1
002364.SZ,SZ,20190617,,1
002446.SZ,SZ,20190617,,1
