ts_code,name,start_date,end_date,ann_date,change_reason
600589.SH,大位科技,20241203,,20241128,改名
688449.SH,联芸科技,20241129,,,其他
688605.SH,先锋精科,20241129,,,其他
920128.BJ,胜业电气,20241129,,,其他
301617.SZ,博苑股份,20241128,,,其他
301585.SZ,蓝宇股份,20241128,,,其他
603395.SH,红四方,20241126,,,其他
301188.SZ,力诺药包,20241125,,20241122,改名
688605.SH,先锋精科,20241122,,,其他
301631.SZ,壹连科技,20241122,,,其他
688708.SH,佳驰科技,20241122,,,其他
300176.SZ,鸿特科技,20241121,,20241120,改名
301622.SZ,英思特,20241121,,,其他
688750.SH,金天钛业,20241120,,,其他
301617.SZ,博苑股份,20241120,,,其他
688750.SH,金天钛业,20241120,,,其他
920060.BJ,万源通,20241119,,,其他
600067.SH,冠城新材,20241119,,20241114,改名
688708.SH,佳驰科技,20241115,,,其他
688449.SH,联芸科技,20241115,,,其他
301622.SZ,英思特,20241114,,,其他
603395.SH,红四方,20241114,,,其他
002388.SZ,ST新亚,20241113,,20241112,ST
300137.SZ,ST先河,20241112,,20241111,ST
920111.BJ,聚星科技,20241111,,,其他
688449.SH,联芸科技,20241108,,,其他
002602.SZ,ST华通,20241108,,20241107,ST
603205.SH,健尔康,20241107,,,其他
301633.SZ,港迪技术,20241107,,,其他
688750.SH,金天钛业,20241107,,,其他
301631.SZ,壹连科技,20241107,,,其他
603395.SH,红四方,20241107,,,其他
603300.SH,海南华铁,20241106,,20241101,改名
688287.SH,ST观典,20241104,,20241101,其他
688287.SH,ST观典,20241104,,20241101,ST
600225.SH,*ST卓朗,20241101,,20241031,*ST
688750.SH,金天钛业,20241031,,,其他
920066.BJ,科拜尔,20241031,,,其他
301628.SZ,强达电路,20241031,,,其他
301631.SZ,壹连科技,20241031,,,其他
688726.SH,拉普拉斯,20241029,,,其他
000796.SZ,凯撒旅业,20241029,,20241026,撤销ST
920088.BJ,科力股份,20241029,,,其他
300419.SZ,ST浩丰,20241029,,20241028,ST
601226.SH,华电科工,20241025,,20241022,改名
301613.SZ,新铝时代,20241025,,,其他
301633.SZ,港迪技术,20241024,,,其他
301626.SZ,苏州天脉,20241024,,,其他
603205.SH,健尔康,20241024,,,其他
301592.SZ,六九一二,20241024,,,其他
301633.SZ,港迪技术,20241023,,,其他
301628.SZ,强达电路,20241018,,,其他
603205.SH,健尔康,20241017,,,其他
301556.SZ,托普云农,20241017,,,其他
688726.SH,拉普拉斯,20241017,,,其他
301628.SZ,强达电路,20241017,,,其他
301522.SZ,上大股份,20241016,,,其他
002251.SZ,ST步步高,20241016,,20241015,ST
301613.SZ,新铝时代,20241015,,,其他
301626.SZ,苏州天脉,20241014,,,其他
001279.SZ,强邦新材,20241011,,,其他
920019.BJ,铜冠矿建,20241011,,,其他
688726.SH,拉普拉斯,20241010,,,其他
301592.SZ,六九一二,20241010,,,其他
300427.SZ,红相股份,20241009,,20241001,撤销*ST
301592.SZ,六九一二,20241009,,,其他
301618.SZ,长联科技,20240930,,,其他
301556.SZ,托普云农,20240930,,,其他
301626.SZ,苏州天脉,20240927,,,其他
301522.SZ,上大股份,20240927,,,其他
301551.SZ,无线传媒,20240926,,,其他
301613.SZ,新铝时代,20240926,,,其他
688615.SH,合合信息,20240926,,,其他
920099.BJ,瑞华技术,20240925,,,其他
001279.SZ,强邦新材,20240924,,,其他
300378.SZ,鼎捷数智,20240923,,20240920,改名
603800.SH,洪田股份,20240920,,20240913,改名
301556.SZ,托普云农,20240920,,,其他
301522.SZ,上大股份,20240920,,,其他
603091.SH,众鑫股份,20240920,,,其他
000525.SZ,*ST红阳,20240919,,20240918,*ST
002168.SZ,ST惠程,20240919,,20240914,ST
002425.SZ,ST凯文,20240919,,20240918,ST
301618.SZ,长联科技,20240913,,,其他
920016.BJ,中草香料,20240913,,,其他
001279.SZ,强邦新材,20240913,,,其他
301551.SZ,无线传媒,20240912,,,其他
688615.SH,合合信息,20240912,,,其他
603007.SH,*ST花王,20240911,,20240910,*ST
301600.SZ,慧翰股份,20240911,,,其他
002816.SZ,和科达,20240910,,20240907,撤销*ST
600208.SH,衢州发展,20240906,,20240903,改名
688615.SH,合合信息,20240905,,,其他
603091.SH,众鑫股份,20240905,,,其他
301551.SZ,无线传媒,20240905,,,其他
301607.SZ,富特科技,20240904,,,其他
688710.SH,益诺思,20240903,,,其他
001277.SZ,速达股份,20240903,,,其他
600603.SH,ST广物,20240903,,20240831,ST
301600.SZ,慧翰股份,20240830,,,其他
603091.SH,众鑫股份,20240829,,,其他
301600.SZ,慧翰股份,20240829,,,其他
920008.BJ,成电光信,20240829,,,其他
301586.SZ,佳力奇,20240828,,,其他
603207.SH,小方制药,20240826,,,其他
301607.SZ,富特科技,20240823,,,其他
920118.BJ,太湖远大,20240822,,,其他
688710.SH,益诺思,20240822,,,其他
301571.SZ,国科天成,20240821,,,其他
001277.SZ,速达股份,20240821,,,其他
603717.SH,天域生物,20240821,,20240816,改名
600666.SH,奥瑞德,20240820,,20240817,撤销ST
301611.SZ,珂玛科技,20240816,,,其他
301607.SZ,富特科技,20240816,,,其他
301586.SZ,佳力奇,20240816,,,其他
688710.SH,益诺思,20240815,,,其他
603310.SH,巍华新材,20240814,,,其他
300237.SZ,美晨科技,20240814,,20240813,改名
603207.SH,小方制药,20240814,,,其他
603222.SH,济民健康,20240813,,20240809,改名
301586.SZ,佳力奇,20240809,,,其他
688779.SH,五矿新能,20240809,,20240806,改名
301571.SZ,国科天成,20240809,,,其他
603207.SH,小方制药,20240807,,,其他
603324.SH,盛剑科技,20240807,,20240802,改名
603324.SH,盛剑科技,20240807,,20240802,改名
000417.SZ,合百集团,20240806,,20240806,改名
688721.SH,龙图光罩,20240806,,,其他
600396.SH,华电辽能,20240806,,20240801,改名
600396.SH,华电辽能,20240806,,20240801,改名
002316.SZ,ST亚联,20240806,,20240805,ST
301571.SZ,国科天成,20240802,,,其他
603310.SH,巍华新材,20240802,,,其他
301611.SZ,珂玛科技,20240802,,,其他
603310.SH,巍华新材,20240802,,,其他
301571.SZ,国科天成,20240802,,,其他
301611.SZ,珂玛科技,20240802,,,其他
301608.SZ,博实结,20240801,,,其他
301608.SZ,博实结,20240801,,,其他
600711.SH,ST盛屯,20240801,,20240731,ST
600711.SH,ST盛屯,20240801,,20240731,ST
603391.SH,力聚热能,20240731,,,其他
603391.SH,力聚热能,20240731,,,其他
603117.SH,万林物流,20240730,,20240727,撤销ST
603117.SH,万林物流,20240730,,20240727,撤销ST
600006.SH,东风股份,20240730,,20240725,其他
600006.SH,东风股份,20240730,,20240725,其他
301606.SZ,绿联科技,20240726,,,其他
603310.SH,巍华新材,20240726,,,其他
301611.SZ,珂玛科技,20240726,,,其他
301606.SZ,绿联科技,20240726,,,其他
688721.SH,龙图光罩,20240725,,,其他
000975.SZ,山金国际,20240725,,20240725,改名
000975.SZ,山金国际,20240725,,20240725,改名
301608.SZ,博实结,20240722,,,其他
301552.SZ,科力装备,20240722,,,其他
301552.SZ,科力装备,20240722,,,其他
603391.SH,力聚热能,20240719,,,其他
603399.SH,永杉锂业,20240719,,20240716,改名
000752.SZ,ST西发,20240719,,20240718,撤销*ST
603399.SH,永杉锂业,20240719,,20240716,改名
000752.SZ,ST西发,20240719,,20240718,撤销*ST
600654.SH,中安科,20240718,,20240713,改名
600654.SH,中安科,20240718,,20240713,改名
600117.SH,西宁特钢,20240718,,20240717,撤销ST
600117.SH,西宁特钢,20240718,,20240717,撤销ST
688721.SH,龙图光罩,20240718,,,其他
603391.SH,力聚热能,20240712,,,其他
301606.SZ,绿联科技,20240712,,,其他
301608.SZ,博实结,20240712,,,其他
300189.SZ,神农种业,20240711,,20240711,改名
300189.SZ,神农种业,20240711,,20240711,改名
603030.SH,全筑股份,20240710,,20240709,撤销ST
301603.SZ,乔锋智能,20240710,,,其他
301552.SZ,科力装备,20240710,,,其他
301603.SZ,乔锋智能,20240710,,,其他
603030.SH,全筑股份,20240710,,20240709,撤销ST
600831.SH,ST广网,20240709,,20240706,ST
002308.SZ,*ST威创,20240709,,20240706,*ST
000040.SZ,ST旭蓝,20240709,,20240705,ST
000413.SZ,ST旭电,20240709,,20240705,ST
000413.SZ,ST旭电,20240709,,20240705,ST
300376.SZ,ST易事特,20240709,,20240705,ST
600831.SH,ST广网,20240709,,20240706,ST
000040.SZ,ST旭蓝,20240709,,20240705,ST
300376.SZ,ST易事特,20240709,,20240705,ST
600287.SH,ST舜天,20240709,,20240706,ST
002308.SZ,*ST威创,20240709,,20240706,*ST
000976.SZ,*ST华铁,20240709,,20240706,*ST
600287.SH,ST舜天,20240709,,20240706,ST
000976.SZ,*ST华铁,20240709,,20240706,*ST
301110.SZ,青木科技,20240708,,20240705,改名
300799.SZ,左江退,20240708,,20240628,终止上市
600543.SH,莫高股份,20240708,,20240705,撤销*ST
300799.SZ,左江退,20240708,,20240628,终止上市
600543.SH,莫高股份,20240708,,20240705,撤销*ST
301110.SZ,青木科技,20240708,,20240705,改名
301606.SZ,绿联科技,20240705,,,其他
603285.SH,键邦股份,20240705,,,其他
603285.SH,键邦股份,20240705,,,其他
600518.SH,康美药业,20240704,,20240703,撤销ST
600518.SH,康美药业,20240704,,20240703,撤销ST
603350.SH,安乃达,20240703,,,其他
603350.SH,安乃达,20240703,,,其他
000007.SZ,全新好,20240702,,20240701,撤销*ST
301556.SZ,托普云农,20240702,,,其他
000007.SZ,全新好,20240702,,20240701,撤销*ST
300742.SZ,越博退,20240701,,20240621,终止上市
300742.SZ,越博退,20240701,,20240621,终止上市
301626.SZ,苏州天脉,20240629,,,其他
301603.SZ,乔锋智能,20240628,,,其他
000615.SZ,ST美谷,20240628,,20240627,摘星
000615.SZ,ST美谷,20240628,,20240627,摘星
300282.SZ,三盛退,20240627,,20240620,终止上市
301552.SZ,科力装备,20240627,,,其他
300282.SZ,三盛退,20240627,,20240620,终止上市
603381.SH,永臻股份,20240626,,,其他
301580.SZ,爱迪特,20240626,,,其他
600759.SH,洲际油气,20240626,,20240625,撤销ST
603381.SH,永臻股份,20240626,,,其他
603001.SH,奥康国际,20240626,,20240625,撤销ST
600136.SH,ST明诚,20240626,,20240625,摘星
600654.SH,中安消,20240626,20240717,20240625,撤销ST
600136.SH,ST明诚,20240626,,20240625,摘星
600654.SH,中安消,20240626,20240717,20240625,撤销ST
000782.SZ,恒申新材,20240626,,20240626,改名
603001.SH,奥康国际,20240626,,20240625,撤销ST
301580.SZ,爱迪特,20240626,,,其他
600759.SH,洲际油气,20240626,,20240625,撤销ST
600654.SH,中安消,20240626,,20240625,撤销ST
603880.SH,南卫股份,20240626,,20240625,撤销ST
603880.SH,南卫股份,20240626,,20240625,撤销ST
000782.SZ,恒申新材,20240626,,20240626,改名
603285.SH,键邦股份,20240625,,,其他
600078.SH,澄星股份,20240624,,20240621,撤销ST
600078.SH,澄星股份,20240624,,20240621,撤销ST
600530.SH,交大昂立,20240621,,20240620,撤销ST
603350.SH,安乃达,20240621,,,其他
301603.SZ,乔锋智能,20240621,,,其他
600530.SH,交大昂立,20240621,,20240620,撤销ST
301565.SZ,中仑新材,20240620,,,其他
301565.SZ,中仑新材,20240620,,,其他
000796.SZ,ST凯撒,20240619,20241028,20240618,摘星
000796.SZ,ST凯撒,20240619,,20240618,摘星
000796.SZ,ST凯撒,20240619,,20240618,摘星
603285.SH,键邦股份,20240618,,,其他
002482.SZ,广田集团,20240618,,20240615,其他
002482.SZ,广田集团,20240618,,20240615,其他
603180.SH,金牌家居,20240618,,20240613,其他
603180.SH,金牌家居,20240618,,20240613,其他
301613.SZ,新铝时代,20240617,,,其他
600073.SH,光明肉业,20240617,,20240613,改名
600073.SH,光明肉业,20240617,,20240613,改名
002433.SZ,太安退,20240614,,20240606,终止上市
600589.SH,广东榕泰,20240614,20241202,20240613,其他
301580.SZ,爱迪特,20240614,,,其他
603381.SH,永臻股份,20240614,,,其他
600671.SH,ST目药,20240614,,20240613,摘星
600589.SH,广东榕泰,20240614,,20240613,其他
600671.SH,ST目药,20240614,,20240613,摘星
002433.SZ,太安退,20240614,,20240606,终止上市
603350.SH,安乃达,20240614,,,其他
600589.SH,广东榕泰,20240614,,20240613,其他
002800.SZ,天顺股份,20240613,,20240612,撤销ST
300823.SZ,建科智能,20240613,,20240612,改名
300010.SZ,豆神教育,20240613,,20240612,其他
002800.SZ,天顺股份,20240613,,20240612,撤销ST
300010.SZ,豆神教育,20240613,,20240612,其他
300823.SZ,建科智能,20240613,,20240612,改名
002086.SZ,东方海洋,20240612,,20240608,其他
002721.SZ,ST金一,20240612,,20240608,撤销*ST
688692.SH,达梦数据,20240612,,,其他
000637.SZ,茂化实华,20240612,,20240611,撤销ST
300220.SZ,金运激光,20240612,,20240611,撤销ST
002086.SZ,东方海洋,20240612,,20240608,其他
688692.SH,达梦数据,20240612,,,其他
002157.SZ,正邦科技,20240612,,20240608,撤销*ST
300220.SZ,金运激光,20240612,,20240611,撤销ST
002157.SZ,正邦科技,20240612,,20240608,撤销*ST
000637.SZ,茂化实华,20240612,,20240611,撤销ST
603551.SH,奥普科技,20240612,,20240606,改名
603551.SH,奥普科技,20240612,,20240606,改名
002721.SZ,ST金一,20240612,,20240608,撤销*ST
688500.SH,慧辰股份,20240611,,20240607,撤销*ST
603026.SH,石大胜华,20240611,,20240605,改名
000839.SZ,中信国安,20240611,,20240607,撤销ST
688500.SH,慧辰股份,20240611,,20240607,撤销*ST
688272.SH,富吉瑞,20240611,,20240607,撤销*ST
600734.SH,实达集团,20240611,,20240607,撤销ST
000839.SZ,中信国安,20240611,,20240607,撤销ST
688272.SH,富吉瑞,20240611,,20240607,撤销*ST
603026.SH,石大胜华,20240611,,20240605,改名
600734.SH,实达集团,20240611,,20240607,撤销ST
300784.SZ,利安科技,20240607,,,其他
301565.SZ,中仑新材,20240607,,,其他
300784.SZ,利安科技,20240607,,,其他
603381.SH,永臻股份,20240606,,,其他
301580.SZ,爱迪特,20240606,,,其他
000996.SZ,中期退,20240606,,20240531,终止上市
000996.SZ,中期退,20240606,,20240531,终止上市
002087.SZ,新纺退,20240606,,20240530,终止上市
002087.SZ,新纺退,20240606,,20240530,终止上市
600766.SH,退市园城,20240605,,20240529,终止上市
600265.SH,景谷林业,20240605,,20240604,撤销ST
600647.SH,退市同达,20240605,,20240529,终止上市
603133.SH,退市碳元,20240605,,20240529,终止上市
600647.SH,退市同达,20240605,,20240529,终止上市
600396.SH,金山股份,20240605,20240805,20240604,其他
600766.SH,退市园城,20240605,,20240529,终止上市
301392.SZ,汇成真空,20240605,,,其他
301392.SZ,汇成真空,20240605,,,其他
600396.SH,金山股份,20240605,,20240604,其他
600396.SH,金山股份,20240605,20240805,20240604,其他
600265.SH,景谷林业,20240605,,20240604,撤销ST
603133.SH,退市碳元,20240605,,20240529,终止上市
600190.SH,ST锦港,20240604,,20240601,ST
600190.SH,ST锦港,20240604,,20240601,ST
688449.SH,联芸科技,20240603,,,其他
002021.SZ,中捷资源,20240603,,20240531,其他
002021.SZ,中捷资源,20240603,,20240531,其他
301565.SZ,中仑新材,20240531,,,其他
000564.SZ,供销大集,20240531,,20240530,撤销ST
000564.SZ,供销大集,20240531,,20240530,撤销ST
920002.BJ,万达轴承,20240530,,,其他
300859.SZ,西域旅游,20240530,,20240529,撤销*ST
688692.SH,达梦数据,20240530,,,其他
920002.BJ,万达轴承,20240530,,,其他
300859.SZ,西域旅游,20240530,,20240529,撤销*ST
600306.SH,退市商城,20240529,,20240522,终止上市
600186.SH,莲花控股,20240529,,20240524,改名
000692.SZ,惠天热电,20240529,,20240528,撤销*ST
600306.SH,退市商城,20240529,,20240522,终止上市
600186.SH,莲花控股,20240529,,20240524,改名
000692.SZ,惠天热电,20240529,,20240528,撤销*ST
301600.SZ,慧翰股份,20240528,,,其他
300313.SZ,ST天山,20240528,,20240525,撤销*ST
300313.SZ,ST天山,20240528,,20240525,摘星
300313.SZ,ST天山,20240528,,20240525,摘星
300784.SZ,利安科技,20240527,,,其他
301571.SZ,国科天成,20240527,,,其他
