trade_date,data_type,ts_code,ts_name,rank,pct_change,current_price,hot,concept,rank_time
20241107,ETF基金,512690.SH,酒ETF,1,9.8,0.706,,,2024-11-07 21:30:06
20241107,ETF基金,510020.SH,超大盘ETF,1,4.76,3.281,,,2024-11-07 21:30:05
20241107,A股市场,603076.SH,乐惠国际,1,10.01,24.29,,,2024-11-07 21:30:05
20241107,美股市场,AAPL,苹果,1,-0.33,222.72,,,2024-11-07 21:30:06
20241107,美股市场,NTRSO,Northern Trust Corp Series E Pf,1,-2.8,22.6,,,2024-11-07 21:30:05
20241107,A股市场,300059.SZ,东方财富,1,13.46,30.0,,,2024-11-07 21:30:06
20241107,港股市场,008198.HK,加幂科技,1,39.24,0.33,,,2024-11-07 21:30:04
20241107,港股市场,000700.HK,腾讯控股,1,2.05,428.4,,,2024-11-07 21:30:05
20241107,ETF基金,159692.SZ,证券ETF东财,2,8.5,1.468,,,2024-11-07 21:30:06
20241107,ETF基金,517200.SH,互联网ETF,2,3.49,0.682,,,2024-11-07 21:30:05
20241107,A股市场,605003.SH,众望布艺,2,10.01,19.23,,,2024-11-07 21:30:05
20241107,美股市场,TSLA,特斯拉,2,14.75,288.53,,,2024-11-07 21:30:06
20241107,美股市场,SSBK,Southern States Bancshares Inc,2,16.33,37.55,,,2024-11-07 21:30:05
20241107,A股市场,601727.SH,上海电气,2,3.71,11.18,,,2024-11-07 21:30:06
20241107,港股市场,001971.HK,弘阳服务,2,14.0,0.57,,,2024-11-07 21:30:04
20241107,港股市场,006099.HK,招商证券,2,18.12,17.34,,,2024-11-07 21:30:05
20241107,ETF基金,588000.SH,科创50ETF,3,3.23,1.087,,,2024-11-07 21:30:06
20241107,ETF基金,159862.SZ,食品ETF,3,8.23,0.776,,,2024-11-07 21:30:05
20241107,A股市场,605089.SH,味知香,3,10.0,23.32,,,2024-11-07 21:30:05
20241107,美股市场,DJT,特朗普媒体科技集团,3,5.94,35.955,,,2024-11-07 21:30:06
20241107,美股市场,SCNX,Scienture Holdings Inc,3,2.94,8.06,,,2024-11-07 21:30:05
20241107,A股市场,600839.SH,四川长虹,3,0.15,13.26,,,2024-11-07 21:30:06
20241107,港股市场,002152.HK,苏新服务,3,-11.29,6.21,,,2024-11-07 21:30:04
20241107,港股市场,006030.HK,中信证券,3,14.53,26.8,,,2024-11-07 21:30:05
20241107,ETF基金,159330.SZ,沪深300ETF基金,4,2.75,1.233,,,2024-11-07 21:30:06
20241107,ETF基金,159672.SZ,主要消费ETF,4,6.93,0.864,,,2024-11-07 21:30:05
20241107,A股市场,002942.SZ,新农股份,4,10.01,15.71,,,2024-11-07 21:30:05
20241107,美股市场,NVDA,英伟达,4,4.07,145.61,,,2024-11-07 21:30:06
20241107,美股市场,AMH,American Homes 4 Rent-A,4,2.74,36.37,,,2024-11-07 21:30:05
20241107,A股市场,600030.SH,中信证券,4,10.01,34.19,,,2024-11-07 21:30:06
20241107,港股市场,000312.HK,岁宝百货,4,9.38,0.035,,,2024-11-07 21:30:04
20241107,港股市场,000981.HK,中芯国际,4,5.02,28.25,,,2024-11-07 21:30:05
20241107,ETF基金,159599.SZ,芯片ETF基金,5,3.31,1.498,,,2024-11-07 21:30:06
20241107,ETF基金,159736.SZ,饮食ETF,5,8.11,0.8,,,2024-11-07 21:30:05
20241107,A股市场,603908.SH,牧高笛,5,9.99,24.01,,,2024-11-07 21:30:05
20241107,美股市场,MSFT,微软,5,2.12,420.18,,,2024-11-07 21:30:06
20241107,美股市场,CNDT,Conduent Inc,5,11.32,4.13,,,2024-11-07 21:30:05
20241107,A股市场,000066.SZ,中国长城,5,10.01,20.33,,,2024-11-07 21:30:06
20241107,港股市场,009978.HK,方圆生活服务,5,17.54,0.067,,,2024-11-07 21:30:04
20241107,港股市场,002727.HK,上海电气,5,-17.87,3.4,,,2024-11-07 21:30:05
20241107,ETF基金,510300.SH,沪深300ETF,6,3.33,4.248,,,2024-11-07 21:30:06
20241107,ETF基金,515630.SH,保险证券ETF,6,9.65,1.556,,,2024-11-07 21:30:05
20241107,A股市场,600333.SH,长春燃气,6,9.98,5.18,,,2024-11-07 21:30:05
20241107,美股市场,BABA,阿里巴巴,6,-2.5,96.73,,,2024-11-07 21:30:06
20241107,美股市场,OMCC,Old Market Capital Corp,6,-0.35,5.76,,,2024-11-07 21:30:05
20241107,A股市场,000158.SZ,常山北明,6,-7.18,30.66,,,2024-11-07 21:30:06
20241107,港股市场,002418.HK,德银天下,6,-13.33,1.3,,,2024-11-07 21:30:04
20241107,港股市场,001918.HK,融创中国,6,11.76,3.61,,,2024-11-07 21:30:05
20241107,ETF基金,512880.SH,证券ETF,7,8.51,1.364,,,2024-11-07 21:30:06
20241107,ETF基金,159568.SZ,港股互联网ETF,7,3.93,1.456,,,2024-11-07 21:30:05
20241107,A股市场,300915.SZ,海融科技,7,9.92,35.0,,,2024-11-07 21:30:05
20241107,美股市场,LI,理想汽车,7,-3.25,24.71,,,2024-11-07 21:30:06
20241107,美股市场,XELA,Exela Technologies Inc,7,-0.5,1.98,,,2024-11-07 21:30:05
20241107,A股市场,000536.SZ,华映科技,7,9.99,8.92,,,2024-11-07 21:30:06
20241107,港股市场,008417.HK,大地教育,7,15.38,0.015,,,2024-11-07 21:30:04
20241107,港股市场,001810.HK,小米集团-W,7,0.91,27.85,,,2024-11-07 21:30:05
20241107,ETF基金,159337.SZ,中证500ETF基金,8,1.7,1.373,,,2024-11-07 21:30:06
20241107,ETF基金,516900.SH,食品饮料ETF基金,8,7.19,0.701,,,2024-11-07 21:30:05
20241107,A股市场,002140.SZ,东华科技,8,10.04,9.21,,,2024-11-07 21:30:05
20241107,美股市场,XPEV,小鹏汽车,8,-3.98,12.3,,,2024-11-07 21:30:06
20241107,美股市场,LOCO,El Pollo Loco Holdings Inc,8,7.05,12.91,,,2024-11-07 21:30:05
20241107,A股市场,002583.SZ,海能达,8,-9.99,20.91,,,2024-11-07 21:30:06
20241107,港股市场,001183.HK,澳能建设,8,8.42,0.206,,,2024-11-07 21:30:04
20241107,港股市场,003690.HK,美团-W,8,5.6,199.9,,,2024-11-07 21:30:05
