trade_date,data_type,ts_code,ts_name,rank,pct_change,current_price,hot,concept,rank_time,rank_reason
20241227,期货,FG2505,玻璃2505,1,-0.45,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881157.TI,证券,1,0.81,0.0,50707.5,,2024-12-27 21:30:06,
20241227,热股,000759.SZ,中百集团,1,9.97,10.81,360702.0,"[""免税店"", ""社区团购""]",2024-12-27 21:30:05,1、公司主要产品是大卖场、社区超市、便利店、电器卖场和百货以及小型购物中心。公司是目前华中地区物流体系最为完善的商业企业。公司属于国有企业，最终控制人为武汉市人民政府国有资产监督管理委员会。\n2、12月23日互动：公司与腾讯智慧零售签订战略合作协议，助力线上线下一体化进程加速。\n3、中百集团官微消息：6月10日，河南胖东来商贸集团董事长于东来应邀来到中百集团交流指导。此前，中百仓储派出的团队仍在郑州沉浸式参与胖东来团队对兄弟单位调改的现场学习。\n4、23年11月29日互动：公司与抖音本地生活服务合作，一是内容营销。通过与抖音平台线上短视频、直播内容营销，团券售卖引导顾客到店实现销售、服务体验。
20241227,港股,001810.HK,小米集团-W,1,4.27,0.0,3621739.0,,2024-12-27 21:30:05,
20241227,热基,013127.OF,汇添富恒生科技ETF联接发起式(QDII)A,1,0.62,0.7654,,,2024-12-27 21:30:06,
20241227,美股,TSLA,特斯拉,1,-1.76,0.0,1239673.0,,2024-12-27 21:30:05,
20241227,概念板块,886030.TI,成飞概念,1,4.81,0.0,61690.5,,2024-12-27 21:30:06,
20241227,期货,SA2505,纯碱2505,2,-0.82,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881101.TI,种植业与林业,2,6.82,0.0,40215.0,,2024-12-27 21:30:06,
20241227,热股,002730.SZ,电光科技,2,10.04,14.36,316111.0,"[""物联网"", ""新能源汽车""]",2024-12-27 21:30:05,1、12月19日互动：公司目前算力达到千卡集群，后续若有扩大项目根据最终用户需求来决定使用哪种服务器。\n2、10月18日公告：收购华夏天信智能物联（大连）有限公司股权司已经完成股权过户的工商变更登记手续，该公司的经营范围包括物联网技术开发等。\n3、23年6月28日互动：公司目前AI主要在高压开关，视频仪产品上运用，后期根据实际客户需求在其他产品上进行开发运用。目前机器人公司主要在进行煤矿巡检机器人、煤矿采样机器人进行运用。\n4、公司的主营业务为防爆电器、电力设备和电机的研发、生产和销售，主要产品为智能化装备及系统类、矿用防爆开关、电力设备、教育培训。
20241227,港股,000981.HK,中芯国际,2,5.15,0.0,1875067.0,,2024-12-27 21:30:05,
20241227,热基,017525.OF,华夏北证50成份指数A,2,-1.15,1.064,,,2024-12-27 21:30:06,
20241227,美股,NVDA,英伟达,2,-0.21,0.0,1070161.0,,2024-12-27 21:30:05,
20241227,概念板块,886067.TI,低空经济,2,0.72,0.0,52390.0,,2024-12-27 21:30:06,
20241227,期货,PS2506,多晶硅2506,3,,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881121.TI,半导体,3,-1.69,0.0,39212.0,,2024-12-27 21:30:06,
20241227,热股,601933.SH,永辉超市,3,1.17,6.89,292768.0,"[""社区团购"", ""预制菜""]",2024-12-27 21:30:05,
20241227,港股,002013.HK,微盟集团,3,3.08,0.0,1862848.0,,2024-12-27 21:30:05,
20241227,热基,017437.OF,华宝纳斯达克精选股票发起式(QDII)C,3,-0.13,1.9675,,,2024-12-27 21:30:06,
20241227,美股,AAPL,苹果,3,0.32,0.0,605142.0,,2024-12-27 21:30:05,
20241227,概念板块,886073.TI,铜缆高速连接,3,-1.23,0.0,44877.5,,2024-12-27 21:30:06,
20241227,期货,M2505,豆粕2505,4,-0.11,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881155.TI,银行,4,0.27,0.0,34257.5,,2024-12-27 21:30:06,
20241227,热股,600580.SH,卧龙电驱,4,6.3,18.9,262953.0,"[""航空发动机"", ""飞行汽车(eVTOL)""]",2024-12-27 21:30:05,
20241227,港股,003896.HK,金山云,4,37.8,0.0,1180024.0,,2024-12-27 21:30:05,
20241227,热基,017436.OF,华宝纳斯达克精选股票发起式(QDII)A,4,-0.13,1.9803,,,2024-12-27 21:30:06,
20241227,美股,YINN,富时中国3倍做多ETF,4,1.01,0.0,523051.0,,2024-12-27 21:30:05,
20241227,概念板块,885877.TI,转基因,4,7.62,0.0,42793.5,,2024-12-27 21:30:06,
20241227,期货,RB2505,螺纹钢2505,5,-0.43,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881166.TI,军工装备,5,2.56,0.0,30062.0,,2024-12-27 21:30:06,
20241227,热股,002449.SZ,国星光电,5,10.04,12.28,247147.0,"[""AI眼镜"", ""MicroLED概念""]",2024-12-27 21:30:06,1、23年11月24日互动：公司开发的0.39寸单绿色Micro LED微显示屏，主要是应用于AR眼镜。\n2、公司业务主要包括LED业务及半导体封测业务，其中LED封装为公司主要业务板块。LED产业链包括上游外延芯片、中游封装、下游应用产品。公司LED业务以LED封装为主，业务涵盖LED全产业链；半导体封装技术可分为基板型封装和晶圆级封装，基板型封装里面产品有IC、MOS、功率器件等封装类型。\n3、公司属于国有企业，最终控制人为广东省人民政府。
20241227,港股,000763.HK,中兴通讯,5,13.18,0.0,990164.0,,2024-12-27 21:30:05,
20241227,热基,000043.OF,嘉实美国成长股票(QDII)-人民币,5,-0.02,5.114,,,2024-12-27 21:30:06,
20241227,美股,AVGO,博通,5,2.37,0.0,384662.0,,2024-12-27 21:30:05,
20241227,概念板块,885728.TI,人工智能,5,0.08,0.0,33741.0,,2024-12-27 21:30:06,
20241227,期货,AO2502,氧化铝2502,6,0.36,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881158.TI,零售,6,1.22,0.0,29630.0,,2024-12-27 21:30:06,
20241227,热股,600255.SH,鑫科材料,6,-3.04,4.15,229053.0,"[""铜缆高速连接"", ""国企改革""]",2024-12-27 21:30:06,
20241227,港股,000700.HK,腾讯控股,6,-0.62,0.0,639341.0,,2024-12-27 21:30:05,
20241227,热基,002112.OF,德邦鑫星价值灵活配置混合C,6,-1.42,1.6995,,,2024-12-27 21:30:06,
20241227,美股,QQQ,纳斯达克100指数ETF,6,-0.07,0.0,320850.0,,2024-12-27 21:30:05,
20241227,概念板块,885700.TI,军工,6,1.04,0.0,26571.0,,2024-12-27 21:30:06,
20241227,期货,MA2505,甲醇2505,7,-0.57,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881273.TI,白酒,7,0.73,0.0,14323.0,,2024-12-27 21:30:06,
20241227,热股,603019.SH,中科曙光,7,-5.28,74.84,220532.0,"[""国产操作系统"", ""芯片概念""]",2024-12-27 21:30:06,
20241227,港股,001797.HK,东方甄选,7,-3.69,0.0,474709.0,,2024-12-27 21:30:05,
20241227,热基,015641.OF,银华数字经济股票发起式A,7,-0.95,1.3213,,,2024-12-27 21:30:06,
20241227,美股,KC,金山云,7,14.35,0.0,318580.0,,2024-12-27 21:30:05,
20241227,概念板块,885957.TI,东数西算(算力),7,-0.46,0.0,21342.0,,2024-12-27 21:30:06,
20241227,期货,RM2505,菜粕2505,8,0.38,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881145.TI,电力,8,1.56,0.0,12357.5,,2024-12-27 21:30:06,
20241227,热股,002137.SZ,实益达,8,-9.98,11.1,219165.0,"[""抖音概念(字节概念)"", ""无线耳机""]",2024-12-27 21:30:06,1、12月27日早盘微信小店概念股调整，实益达跌停，青木科技、凯淳股份、天地在线、三只松鼠等跟跌。\n2、6连板的实益达12月26日晚异动公告称，公司发现市场对“微信小店”概念较为关注，公司（含合并报表范围内的控股公司）目前不涉及“微信小店”的业务。
20241227,港股,002015.HK,理想汽车-W,8,6.13,0.0,469053.0,,2024-12-27 21:30:05,
20241227,热基,017103.OF,大摩数字经济混合C,8,-1.87,1.4138,,,2024-12-27 21:30:06,
20241227,美股,BABA,阿里巴巴,8,0.65,0.0,299000.0,,2024-12-27 21:30:05,
20241227,概念板块,885456.TI,互联网金融,8,1.13,0.0,20904.0,,2024-12-27 21:30:06,
20241227,期货,P2505,棕榈油2505,9,0.36,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881278.TI,电网设备,9,2.08,0.0,10935.0,,2024-12-27 21:30:06,
20241227,热股,002130.SZ,沃尔核材,9,3.0,29.22,217562.0,"[""铜缆高速连接"", ""华为海思概念股""]",2024-12-27 21:30:07,
20241227,港股,000020.HK,商汤-W,9,3.38,0.0,419372.0,,2024-12-27 21:30:05,
20241227,热基,006479.OF,广发纳指100ETF联接(QDII)人民币C,9,-0.09,6.4673,,,2024-12-27 21:30:06,
20241227,美股,LI,理想汽车,9,3.6,0.0,255284.0,,2024-12-27 21:30:05,
20241227,概念板块,886085.TI,AI眼镜,9,-0.13,0.0,18344.0,,2024-12-27 21:30:06,
20241227,期货,AG2502,沪银2502,10,-1.14,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881129.TI,通信设备,10,-1.07,0.0,10389.0,,2024-12-27 21:30:06,
20241227,热股,002055.SZ,得润电子,10,-10.01,8.54,206724.0,"[""铜缆高速连接"", ""EDR概念""]",2024-12-27 21:30:07,12月26日晚间，得润电子公告，公司及实际控制人之一邱建民于2024年12月25日分别收到中国证监会下发的《立案告知书》，因涉嫌信息披露违法违规，中国证监会决定对公司及邱建民立案。
20241227,港股,002228.HK,晶泰控股-P,10,10.02,0.0,414589.0,,2024-12-27 21:30:05,
20241227,热基,040046.OF,华安纳斯达克100ETF联接(QDII)A,10,-0.12,6.6622,,,2024-12-27 21:30:06,
20241227,美股,EH,亿航智能,10,6.59,0.0,192706.0,,2024-12-27 21:30:05,
20241227,概念板块,886044.TI,液冷服务器,10,-0.91,0.0,16277.0,,2024-12-27 21:30:06,
20241227,期货,C2505,玉米2505,11,0.58,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881102.TI,养殖业,11,3.21,0.0,10220.0,,2024-12-27 21:30:06,
20241227,热股,600973.SH,宝胜股份,11,9.97,6.29,203379.0,"[""铜缆高速连接"", ""超导概念""]",2024-12-27 21:30:07,1、公司属于国有企业，最终控制人为中国航空工业集团有限公司。公司主营业务为电线电缆及电缆附件的研发、生产、销售及其服务。主要产品包括电力电缆、裸导体及其制品、电气装备用电缆、通信电缆及光缆。\n2、根据公司官网：公司产品SFP56 50G高速线缆适用于数据中心、高性能计算等高速通信场所，实现服务器与交换机、交换机与交换机之间高速率数据传输。\n3、24年4月10日官微：公司依托既有航空EWIS专业能力与项目经验，积极对接国内eVTOL初创企业，承接了多型eVTOL整机级EWIS系统集成研制项目，并提供整机线束、线缆相关产品及安装、测试、改装服务，得到了客户较高评价。
20241227,港股,009988.HK,阿里巴巴-W,11,-0.96,0.0,410077.0,,2024-12-27 21:30:05,
20241227,热基,508036.OF,平安宁波交投REIT,11,0.0,8.088,,,2024-12-27 21:30:06,
20241227,美股,YANG,富时中国50三倍做空,11,-0.87,0.0,156983.0,,2024-12-27 21:30:05,
20241227,概念板块,885517.TI,机器人概念,11,0.09,0.0,15835.5,,2024-12-27 21:30:06,
20241227,期货,FU2503,燃油2503,12,-0.18,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881124.TI,消费电子,12,-0.31,0.0,9463.5,,2024-12-27 21:30:06,
20241227,热股,300548.SZ,博创科技,12,4.62,45.7,188724.0,"[""铜缆高速连接"", ""F5G概念""]",2024-12-27 21:30:07,
20241227,港股,003690.HK,美团-W,12,-0.26,0.0,347476.0,,2024-12-27 21:30:05,
20241227,热基,017102.OF,大摩数字经济混合A,12,-1.87,1.4292,,,2024-12-27 21:30:06,
20241227,美股,MGIH,禧图集团,12,94.12,0.0,153705.0,,2024-12-27 21:30:05,
20241227,概念板块,886069.TI,人形机器人,12,-1.29,0.0,14918.0,,2024-12-27 21:30:06,
20241227,期货,V2505,PVC2505,13,-0.36,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881153.TI,房地产,13,1.52,0.0,8784.5,,2024-12-27 21:30:06,
20241227,热股,300561.SZ,汇金科技,13,14.3,52.6,175473.0,"[""互联网金融"", ""信创""]",2024-12-27 21:30:07,
20241227,港股,002550.HK,宜搜科技,13,8.6,0.0,346710.0,,2024-12-27 21:30:05,
20241227,热基,013195.OF,招商中证新能源汽车指数A,13,0.02,0.5364,,,2024-12-27 21:30:06,
