trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20250102,000017.SZ,珠宝首饰,深中华A,6.38,10.0,149484808.0,,1933044076.7,4396999840.64,8.0,25545520.0,100357,100357,0,1/1,1.0,U
20250102,000417.SZ,商业百货,合百集团,7.02,10.03,639404128.0,,5468772706.02,5474787140.16,11.95,71327840.0,112912,144048,1,1/1,1.0,U
20250102,000533.SZ,电网设备,顺钠股份,6.67,10.07,1297690672.0,,4568299008.0,4607742720.0,29.26,27000093.0,93651,102024,5,5/5,5.0,U
20250102,000619.SZ,装修建材,海螺新材,6.77,10.08,141581431.0,,2437200000.0,2986712992.64,5.92,51925223.0,94030,94030,0,1/1,1.0,U
20250102,000678.SZ,汽车零部件,襄阳轴承,6.93,6.45,433279056.0,,3185109753.21,3185109718.56,13.43,,103257,,1,0/0,,Z
20250102,000716.SZ,食品饮料,黑芝麻,7.57,10.03,851845520.0,,5304236441.52,5703915908.64,16.47,165975278.0,101609,101609,0,1/1,1.0,U
20250102,000759.SZ,商业百货,中百集团,14.39,10.02,1775926944.0,,9435609699.75,9640892705.44,19.2,157671287.0,93839,132800,5,15/23,6.0,U
20250102,000785.SZ,商业百货,居然智家,3.79,6.16,1009618752.0,,22447283848.73,23694474570.24,4.49,,102327,,1,0/0,,Z
20250102,000882.SZ,商业百货,华联股份,2.29,10.1,632046720.0,,6264327669.14,6268535970.08,10.25,23793777.0,94609,145227,3,1/1,1.0,U
20250102,000886.SZ,房地产开发,海南高速,6.99,-10.04,439038544.0,99514246.0,6835079917.02,6911909844.96,6.26,33348591.0,,132042,4,,1.0,D
20250102,000953.SZ,化学制药,河化股份,5.96,6.62,245796525.0,,2182088282.2,2182088264.32,11.25,,95054,,1,0/0,,Z
20250102,000981.SZ,汽车零部件,山子高科,2.2,10.0,280918672.0,,14355341994.4,21994436147.2,1.96,489861004.0,92500,92500,0,1/1,1.0,U
20250102,001314.SZ,消费电子,亿道信息,57.04,10.01,1513111232.0,,2952598824.16,8070524574.4,52.09,11208360.0,95233,144539,9,1/1,1.0,U
20250102,001378.SZ,塑料制品,德冠新材,24.31,6.06,217919295.0,,1581364819.32,3241339816.0,13.59,,131924,,2,0/0,,Z
20250102,002112.SZ,电网设备,三变科技,12.32,10.0,780954032.0,,3228825600.0,3228825600.0,24.53,6750128.0,101730,144042,11,1/1,1.0,U
20250102,002117.SZ,造纸印刷,东港股份,12.85,10.02,1388729008.0,,6727677638.0,6729814336.0,21.45,50199167.0,105354,143748,5,3/4,1.0,U
