ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price,imp_dg,create_time
688720.SH,艾森股份,20241201,艾森股份：PSPI光刻胶实现小批量量产，收购INOFINE夯实湿电子化学品领先地位,点评,一般报告,华金证券,"孙远峰,王海维,吴家欢",2026Q4,67500.0,,10100.0,10100.0,1.14,40.8,,8.4,29.3,增持,,,,2024-12-01 18:07:18
688720.SH,艾森股份,20241201,艾森股份：PSPI光刻胶实现小批量量产，收购INOFINE夯实湿电子化学品领先地位,点评,一般报告,华金证券,"孙远峰,王海维,吴家欢",2025Q4,56200.0,,7300.0,7300.0,0.83,56.2,,6.6,38.1,增持,,,,2024-12-01 18:07:18
688720.SH,艾森股份,20241201,艾森股份：PSPI光刻胶实现小批量量产，收购INOFINE夯实湿电子化学品领先地位,点评,一般报告,华金证券,"孙远峰,王海维,吴家欢",2024Q4,46000.0,,4700.0,4600.0,0.53,88.4,,4.4,59.5,增持,,,,2024-12-01 18:07:18
600519.SH,贵州茅台,20241201,贵州茅台：持续加强消费者层面的触达和转化，国际化思路清晰,点评,一般报告,国信证券,"张向伟,张未艾",2026Q4,20666900.0,,14142600.0,10226700.0,81.41,18.7,4.9,42.7,14.1,优于大市,,,,2024-12-01 18:07:18
600519.SH,贵州茅台,20241201,贵州茅台：持续加强消费者层面的触达和转化，国际化思路清晰,点评,一般报告,国信证券,"张向伟,张未艾",2025Q4,19159000.0,,13001400.0,9401500.0,74.84,20.4,4.5,40.7,15.4,优于大市,,,,2024-12-01 18:07:18
600519.SH,贵州茅台,20241201,贵州茅台：持续加强消费者层面的触达和转化，国际化思路清晰,点评,一般报告,国信证券,"张向伟,张未艾",2024Q4,17392600.0,,11781000.0,8519000.0,67.82,22.5,4.1,38.2,16.8,优于大市,,,,2024-12-01 18:07:18
600562.SH,国睿科技,20241201,国睿科技深度研究报告：军贸东风起，低空万象新——华创交运｜低空60系列研究（九）,深度,首份报告,华创证券,"吴一凡,欧子兴,梁婉怡",2026Q4,418300.0,,106300.0,92900.0,0.75,27.0,,12.8,23.0,推荐,,,,2024-12-01 18:07:18
600562.SH,国睿科技,20241201,国睿科技深度研究报告：军贸东风起，低空万象新——华创交运｜低空60系列研究（九）,深度,首份报告,华创证券,"吴一凡,欧子兴,梁婉怡",2025Q4,367400.0,,87500.0,76500.0,0.62,33.0,,11.6,28.0,推荐,,,,2024-12-01 18:07:18
600562.SH,国睿科技,20241201,国睿科技深度研究报告：军贸东风起，低空万象新——华创交运｜低空60系列研究（九）,深度,首份报告,华创证券,"吴一凡,欧子兴,梁婉怡",2024Q4,330500.0,,73000.0,63800.0,0.51,39.0,,10.6,33.0,推荐,,,,2024-12-01 18:07:18
300622.SZ,博士眼镜,20241201,博士眼镜：关注智能眼镜进展,点评,一般报告,天风证券,孙海洋,2026Q4,155023.0,,21085.0,16926.0,0.97,49.45,,19.44,33.01,买入,,,,2024-12-01 18:07:18
300622.SZ,博士眼镜,20241201,博士眼镜：关注智能眼镜进展,点评,一般报告,天风证券,孙海洋,2025Q4,136826.0,,17466.0,14021.0,0.8,59.7,,16.81,38.58,买入,,,,2024-12-01 18:07:18
300622.SZ,博士眼镜,20241201,博士眼镜：关注智能眼镜进展,点评,一般报告,天风证券,孙海洋,2024Q4,123936.0,,15028.0,12064.0,0.69,69.38,,15.0,43.54,买入,,,,2024-12-01 18:07:18
600104.SH,上汽集团,20241201,上汽集团：受益于上海国企改革，预计公司有望困境反转,点评,一般报告,东方证券,"姜雪晴,袁俊轩",2026Q4,,,2230100.0,1326900.0,1.15,15.3,,4.2,,买入,,20.14,,2024-12-01 18:07:18
