ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate
002120.SZ,20241227,5.4,11.6,6.1,6.9,7.8,8.5,8.9,7.77,43.39
002120.SZ,20241226,5.4,11.6,6.1,6.9,7.8,8.5,8.9,7.77,42.9
002120.SZ,20241225,5.4,11.6,6.1,6.9,7.9,8.5,8.9,7.77,42.56
002120.SZ,20241224,5.4,11.6,6.1,6.9,7.9,8.5,8.9,7.77,41.99
002120.SZ,20241223,5.4,11.6,6.1,6.9,7.9,8.5,8.9,7.77,30.09
002120.SZ,20241220,5.4,11.6,6.1,6.9,7.9,8.5,8.9,7.77,34.22
002120.SZ,20241219,5.4,11.6,6.1,6.9,7.9,8.5,8.9,7.77,34.06
002120.SZ,20241218,5.4,11.6,6.1,6.9,7.9,8.5,8.9,7.78,38.19
002120.SZ,20241217,5.4,11.6,6.1,6.8,7.9,8.5,8.9,7.77,38.11
002120.SZ,20241216,5.4,11.6,6.0,6.8,7.9,8.5,8.9,7.77,43.84
002120.SZ,20241213,5.4,11.6,6.0,6.8,7.9,8.6,8.9,7.77,51.04
002120.SZ,20241212,5.4,11.6,6.0,6.8,7.9,8.6,8.9,7.77,58.86
002120.SZ,20241211,5.4,11.6,5.9,6.8,7.9,8.6,8.9,7.76,58.82
002120.SZ,20241210,5.4,11.6,5.9,6.8,7.9,8.6,8.9,7.76,52.49
002120.SZ,20241209,5.4,11.6,5.9,6.8,7.9,8.6,9.0,7.75,53.84
002120.SZ,20241206,5.4,11.6,5.8,6.8,7.9,8.6,9.0,7.75,54.0
002120.SZ,20241205,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.74,48.54
002120.SZ,20241204,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.74,48.16
002120.SZ,20241203,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.74,52.8
002120.SZ,20241202,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.74,52.95
002120.SZ,20241129,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.73,53.11
002120.SZ,20241128,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.73,49.94
002120.SZ,20241127,5.4,11.6,5.8,6.7,7.8,8.6,9.0,7.73,50.0
002120.SZ,20241126,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.73,46.31
002120.SZ,20241125,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.73,46.66
002120.SZ,20241122,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.73,46.52
002120.SZ,20241121,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.72,53.14
002120.SZ,20241120,5.4,11.6,5.8,6.7,7.9,8.6,9.0,7.72,55.07
002120.SZ,20241119,5.4,11.6,5.8,6.7,7.8,8.6,9.0,7.72,54.78
002120.SZ,20241118,5.4,11.6,5.8,6.7,7.8,8.6,9.0,7.71,54.67
002120.SZ,20241115,5.4,11.6,5.8,6.6,7.8,8.6,9.0,7.71,55.1
002120.SZ,20241114,5.4,11.6,5.8,6.6,7.8,8.6,9.0,7.7,59.15
002120.SZ,20241113,5.4,11.6,5.8,6.6,7.7,8.6,9.0,7.69,79.9
002120.SZ,20241112,5.4,11.6,5.8,6.6,7.7,8.6,9.0,7.68,80.32
002120.SZ,20241111,5.4,11.6,5.8,6.6,7.7,8.6,9.0,7.66,81.83
002120.SZ,20241108,5.4,11.6,5.8,6.6,7.6,8.6,9.0,7.65,86.07
002120.SZ,20241107,5.4,11.6,5.8,6.6,7.6,8.6,9.0,7.63,89.94
002120.SZ,20241106,5.4,11.6,5.8,6.6,7.6,8.6,9.1,7.6,71.62
002120.SZ,20241105,5.4,11.6,5.8,6.5,7.6,8.6,9.1,7.59,78.4
002120.SZ,20241104,5.4,11.6,5.8,6.5,7.5,8.6,9.1,7.58,72.83
002120.SZ,20241101,5.4,11.6,5.8,6.5,7.5,8.6,9.1,7.57,67.71
002120.SZ,20241031,5.4,11.6,5.8,6.5,7.5,8.6,9.1,7.56,72.71
002120.SZ,20241030,5.4,11.6,5.7,6.5,7.5,8.6,9.1,7.55,77.33
002120.SZ,20241029,5.4,11.6,5.7,6.5,7.5,8.6,9.1,7.54,73.04
002120.SZ,20241028,5.4,11.6,5.7,6.5,7.5,8.6,9.1,7.53,77.47
002120.SZ,20241025,5.4,11.6,5.7,6.4,7.4,8.6,9.1,7.52,82.48
002120.SZ,20241024,5.4,11.6,5.7,6.4,7.4,8.6,9.1,7.51,74.89
002120.SZ,20241023,5.4,11.6,5.7,6.4,7.4,8.6,9.1,7.5,82.64
002120.SZ,20241022,5.4,11.6,5.7,6.4,7.4,8.6,9.1,7.5,79.05
002120.SZ,20241021,5.4,11.6,5.7,6.4,7.4,8.6,9.1,7.49,76.16
002120.SZ,20241018,5.4,11.6,5.7,6.4,7.4,8.6,9.1,7.48,76.12
002120.SZ,20241017,5.4,11.6,5.7,6.4,7.4,8.6,9.1,7.47,74.13
002120.SZ,20241016,5.4,11.6,5.7,6.4,7.4,8.7,9.1,7.46,76.17
002120.SZ,20241015,5.4,11.6,5.7,6.4,7.4,8.7,9.1,7.45,75.11
002120.SZ,20241014,5.4,11.6,5.7,6.3,7.3,8.7,9.1,7.43,81.66
002120.SZ,20241011,5.4,11.6,5.7,6.3,7.3,8.7,9.1,7.42,78.95
002120.SZ,20241010,5.4,11.6,5.7,6.3,7.3,8.7,9.1,7.41,82.03
002120.SZ,20241009,5.4,11.6,5.7,6.3,7.3,8.7,9.1,7.39,80.23
002120.SZ,20241008,5.4,11.6,5.7,6.3,7.3,8.6,9.1,7.36,95.33
002120.SZ,20240930,5.4,11.6,5.7,6.3,7.2,8.3,9.0,7.28,92.91
002120.SZ,20240927,5.4,11.6,5.7,6.2,7.2,8.1,9.0,7.24,86.66
002120.SZ,20240926,5.4,11.6,5.7,6.2,7.2,8.0,9.0,7.22,83.88
002120.SZ,20240925,5.4,11.6,5.7,6.2,7.2,8.0,9.0,7.22,74.72
002120.SZ,20240924,5.4,11.6,5.7,6.2,7.2,8.0,9.0,7.21,78.65
002120.SZ,20240923,5.4,11.6,5.7,6.2,7.2,8.0,9.0,7.21,71.52
002120.SZ,20240920,5.4,11.6,5.7,6.2,7.2,8.0,9.0,7.2,75.89
002120.SZ,20240919,5.4,11.6,5.7,6.2,7.2,8.1,9.0,7.2,67.3
002120.SZ,20240918,5.4,11.6,5.7,6.2,7.1,8.1,9.0,7.2,72.1
002120.SZ,20240913,5.4,11.6,5.7,6.2,7.1,8.1,9.0,7.2,56.84
002120.SZ,20240912,5.4,11.6,5.7,6.2,7.1,8.1,9.0,7.2,62.87
002120.SZ,20240911,5.4,11.6,5.7,6.2,7.1,8.1,9.0,7.19,62.86
002120.SZ,20240910,5.4,11.6,5.7,6.2,7.1,8.1,9.0,7.19,63.09
002120.SZ,20240909,5.4,11.6,5.7,6.2,7.1,8.1,9.0,7.19,62.86
002120.SZ,20240906,5.4,11.6,5.7,6.2,7.1,8.2,9.0,7.19,62.87
002120.SZ,20240905,5.4,11.6,5.7,6.2,7.1,8.2,9.0,7.18,70.67
002120.SZ,20240904,5.4,11.6,5.7,6.2,7.1,8.2,9.0,7.18,70.77
002120.SZ,20240903,5.4,11.6,5.7,6.2,7.1,8.2,9.0,7.18,70.9
002120.SZ,20240902,5.4,11.6,5.7,6.1,7.1,8.2,9.0,7.18,65.46
002120.SZ,20240830,5.4,11.6,5.7,6.1,7.0,8.3,9.0,7.17,50.68
002120.SZ,20240829,5.4,11.6,5.7,6.1,7.0,8.4,9.0,7.17,45.0
002120.SZ,20240828,5.4,11.6,5.7,6.1,7.1,8.4,9.0,7.18,22.09
002120.SZ,20240827,5.4,11.6,5.7,6.1,7.1,8.4,9.0,7.19,19.48
002120.SZ,20240826,5.4,11.6,5.7,6.1,7.1,8.4,9.0,7.19,21.56
002120.SZ,20240823,5.4,11.6,5.7,6.1,7.1,8.5,9.0,7.19,21.46
002120.SZ,20240822,5.4,11.6,5.7,6.1,7.1,8.5,9.0,7.2,19.52
002120.SZ,20240821,5.4,11.6,5.7,6.1,7.1,8.5,9.1,7.2,20.9
002120.SZ,20240820,5.4,11.6,5.7,6.1,7.1,8.5,9.1,7.21,20.67
