ts_code,trade_date,name,pct_change,close,change,open,high,low,pre_close,vol_ratio,turn_over,swing,vol,amount,selling,buying,total_share,float_share,pe,industry,area,float_mv,total_mv,avg_price,strength,activity,avg_turnover,attack,interval_3,interval_6
688605.SH,20241129,先锋精科,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,半导体,江苏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
688708.SH,20241129,佳驰科技,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,化工原料,四川,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
301585.SZ,20241129,蓝宇股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,染料涂料,浙江,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
301622.SZ,20241129,英思特,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,矿物制品,内蒙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
301270.SZ,20241129,汉仪股份,-10.75,40.0,-4.82,40.0,41.66,38.1,44.82,1.4,16.25,7.94,120363.0,47941.67,64083.0,56280.0,1.0,0.74,592.12,软件服务,北京,29.62,40.0,39.83,-12.47,3382.0,0.0,4.99,,
002718.SZ,20241129,友邦吊顶,-10.03,14.0,-1.56,15.15,15.15,14.0,15.56,1.69,18.26,7.39,119088.0,16970.67,71825.0,47263.0,1.31,0.65,0.0,其他建材,浙江,9.13,18.4,14.25,-11.74,2961.0,0.01,0.0,,
002348.SZ,20241129,高乐股份,-10.0,4.23,-0.47,4.23,4.63,4.23,4.7,1.79,27.47,8.51,2441926.0,105255.11,932838.0,1509088.0,9.47,8.89,0.0,文教休闲,广东,37.6,40.07,4.31,-11.72,4035.0,0.01,0.0,,
002741.SZ,20241129,光华科技,-10.0,17.1,-1.9,17.67,18.07,17.1,19.0,1.41,26.98,5.11,975443.0,167905.93,409440.0,566003.0,4.65,3.62,879.94,化工原料,广东,61.82,79.52,17.21,-11.72,4352.0,0.01,0.0,,
001229.SZ,20241129,魅视科技,-9.99,47.73,-5.3,47.73,54.82,47.73,53.03,1.86,70.82,13.37,208261.0,101381.29,69841.0,138420.0,1.0,0.29,68.67,IT设备,广东,14.04,47.73,48.68,-11.71,3183.0,0.02,0.0,,
002862.SZ,20241129,实丰文化,-9.99,37.48,-4.16,37.48,37.48,37.48,41.64,0.25,4.64,0.0,41855.0,15687.25,1756.0,40099.0,1.2,0.9,745.85,文教休闲,广东,33.8,44.98,37.48,-11.71,1910.0,0.0,0.0,,
