ts_code,trade_date,adj_factor
835174.BJ,20241202,1.2467
688132.SH,20241202,1.0
603776.SH,20241202,2.5959
603555.SH,20241202,1.099
603160.SH,20241202,1.03
601258.SH,20241202,5.163
600978.SH,20241202,0.8016
600870.SH,20241202,8.269
600836.SH,20241202,13.65
600823.SH,20241202,37.477
600680.SH,20241202,3.918
600677.SH,20241202,2.083
600656.SH,20241202,17.771
600565.SH,20241202,12.257
600485.SH,20241202,1.1657
600466.SH,20241202,6.751
600401.SH,20241202,18.868
600393.SH,20241202,9.075
600311.SH,20241202,4.499
600290.SH,20241202,5.03
600289.SH,20241202,7.365
600277.SH,20241202,5.577
600260.SH,20241202,6.151
600247.SH,20241202,0.7918
600242.SH,20241202,1.088
600220.SH,20241202,8.717
600213.SH,20241202,1.571
600145.SH,20241202,10.042
600139.SH,20241202,8.959
600122.SH,20241202,5.893
600112.SH,20241202,4.034
600091.SH,20241202,2.575
600077.SH,20241202,8.414
600069.SH,20241202,0.6603
002656.SZ,20241202,5.299
002309.SZ,20241202,3.772
002277.SZ,20241202,6.378
000525.SZ,20241202,8.3784
873833.BJ,20241202,1.132
873806.BJ,20241202,1.0124
873726.BJ,20241202,1.0428
873706.BJ,20241202,1.1319
873703.BJ,20241202,1.436
873693.BJ,20241202,1.0015
873690.BJ,20241202,1.0573
873679.BJ,20241202,1.1067
873665.BJ,20241202,1.1081
873593.BJ,20241202,2.9365
873576.BJ,20241202,1.1455
873570.BJ,20241202,1.4905
873527.BJ,20241202,1.1121
873339.BJ,20241202,8.0771
873305.BJ,20241202,1.5915
873223.BJ,20241202,1.0
873169.BJ,20241202,1.0651
873167.BJ,20241202,1.1328
873152.BJ,20241202,4.3386
873132.BJ,20241202,2.7139
873122.BJ,20241202,1.0916
873001.BJ,20241202,1.0429
872953.BJ,20241202,1.0139
872931.BJ,20241202,1.0371
872925.BJ,20241202,2.0836
872895.BJ,20241202,1.9843
872808.BJ,20241202,5.2013
872541.BJ,20241202,3.8749
872392.BJ,20241202,1.1324
872374.BJ,20241202,5.5484
872351.BJ,20241202,1.0747
872190.BJ,20241202,1.627
871981.BJ,20241202,1.4288
871970.BJ,20241202,2.1729
871857.BJ,20241202,1.1099
871753.BJ,20241202,1.0967
871694.BJ,20241202,1.0244
871642.BJ,20241202,1.4466
871634.BJ,20241202,1.3622
871553.BJ,20241202,1.1566
871478.BJ,20241202,2.5729
871396.BJ,20241202,1.8823
871263.BJ,20241202,1.0211
871245.BJ,20241202,1.0338
870976.BJ,20241202,2.2328
870866.BJ,20241202,1.3061
870726.BJ,20241202,1.5177
870656.BJ,20241202,10.365
870508.BJ,20241202,1.7499
870436.BJ,20241202,1.1535
870357.BJ,20241202,1.4285
870299.BJ,20241202,2.9079
870204.BJ,20241202,3.0943
870199.BJ,20241202,5.7235
839946.BJ,20241202,1.6157
839792.BJ,20241202,1.1663
839790.BJ,20241202,1.1539
839729.BJ,20241202,4.3835
839725.BJ,20241202,2.1479
839719.BJ,20241202,1.0123
839680.BJ,20241202,1.0122
839493.BJ,20241202,1.0
839371.BJ,20241202,1.0532
839273.BJ,20241202,1.2248
839167.BJ,20241202,1.88
838971.BJ,20241202,2.59
838924.BJ,20241202,1.3164
838837.BJ,20241202,1.0997
838810.BJ,20241202,2.0072
838701.BJ,20241202,1.3285
838670.BJ,20241202,2.7133
838402.BJ,20241202,1.3171
838275.BJ,20241202,1.6555
838262.BJ,20241202,1.6663
838227.BJ,20241202,1040.5571
838171.BJ,20241202,1.5215
838163.BJ,20241202,1.7082
838030.BJ,20241202,2.4497
837821.BJ,20241202,2.9417
837748.BJ,20241202,1.0067
837663.BJ,20241202,2.9812
837592.BJ,20241202,1.0406
837403.BJ,20241202,1.9874
837344.BJ,20241202,1.1722
837242.BJ,20241202,7.5378
837212.BJ,20241202,2.1604
837174.BJ,20241202,2.1562
837092.BJ,20241202,2.1234
837046.BJ,20241202,1.5803
837023.BJ,20241202,2.238
837006.BJ,20241202,1.1134
836961.BJ,20241202,1.159
836957.BJ,20241202,20.0438
836942.BJ,20241202,1.8899
836892.BJ,20241202,26.0033
836871.BJ,20241202,1.3759
836826.BJ,20241202,3.3203
836807.BJ,20241202,1.2804
836720.BJ,20241202,5.1089
836717.BJ,20241202,1.0968
836699.BJ,20241202,1.0391
836675.BJ,20241202,1.4273
836547.BJ,20241202,1.3166
836504.BJ,20241202,1.3711
836433.BJ,20241202,3.8959
836422.BJ,20241202,1.0751
836419.BJ,20241202,1.1111
836414.BJ,20241202,5.6137
836395.BJ,20241202,6.1702
836270.BJ,20241202,2.8044
836263.BJ,20241202,2.0457
836260.BJ,20241202,2.7775
836247.BJ,20241202,2.6974
836239.BJ,20241202,1.7651
836221.BJ,20241202,1.0957
836208.BJ,20241202,1.6965
836149.BJ,20241202,1.9635
836077.BJ,20241202,1.7284
835985.BJ,20241202,1.5891
835892.BJ,20241202,1.4871
835857.BJ,20241202,1.0064
835670.BJ,20241202,3.5374
835640.BJ,20241202,3.1516
835579.BJ,20241202,1.0994
835508.BJ,20241202,1.3101
835438.BJ,20241202,1.0243
835368.BJ,20241202,2.2518
835305.BJ,20241202,3.2584
