ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920128.BJ,20241227,30.05,30.58,30.05,30.2,30.29,-0.09,-0.2971,10257.21,31075.55
920118.BJ,20241227,25.07,25.47,24.89,25.1,24.97,0.13,0.5206,3818.53,9589.052
920111.BJ,20241227,24.41,26.34,24.21,25.25,24.89,0.36,1.4464,42608.32,109087.672
920106.BJ,20241227,55.0,56.38,54.5,55.3,54.93,0.37,0.6736,9552.36,52644.579
920099.BJ,20241227,28.8,29.48,28.62,29.19,28.99,0.2,0.6899,8134.65,23730.639
920098.BJ,20241227,32.4,32.88,31.5,31.5,31.77,-0.27,-0.8499,9883.87,31609.126
920088.BJ,20241227,25.9,26.2,25.65,25.78,25.92,-0.14,-0.5401,5884.05,15261.041
920082.BJ,20241227,19.15,19.33,16.0,16.07,21.7,-5.63,-25.9447,215156.22,375882.402
920066.BJ,20241227,38.2,38.98,38.06,38.7,38.42,0.28,0.7288,3785.95,14600.252
920060.BJ,20241227,31.4,32.56,30.8,31.43,31.19,0.24,0.7695,22609.84,71562.422
920019.BJ,20241227,21.24,21.6,21.24,21.32,21.34,-0.02,-0.0937,12751.7,27317.446
920016.BJ,20241227,20.8,21.27,20.8,21.08,21.02,0.06,0.2854,6177.25,13022.977
920008.BJ,20241227,34.6,36.66,32.91,32.91,32.64,0.27,0.8272,34449.0,120298.354
920002.BJ,20241227,73.24,74.98,70.33,70.36,74.4,-4.04,-5.4301,11494.07,83326.678
873833.BJ,20241227,11.85,12.16,11.73,11.81,11.85,-0.04,-0.3376,13622.61,16249.067
873806.BJ,20241227,13.45,13.53,13.19,13.25,13.28,-0.03,-0.2259,37124.25,49682.974
873726.BJ,20241227,23.41,23.88,22.88,22.94,23.67,-0.73,-3.0841,11229.23,26153.889
873706.BJ,20241227,12.8,12.96,12.62,12.75,12.7,0.05,0.3937,6004.18,7663.64
873703.BJ,20241227,21.68,22.0,21.55,21.61,21.63,-0.02,-0.0925,6658.16,14435.808
873693.BJ,20241227,38.92,39.28,37.76,37.83,38.61,-0.78,-2.0202,10172.47,39083.571
873690.BJ,20241227,17.32,17.75,17.2,17.33,17.36,-0.03,-0.1728,5641.08,9822.49
873679.BJ,20241227,17.2,17.47,16.9,17.06,17.28,-0.22,-1.2731,7212.89,12416.289
873665.BJ,20241227,10.73,10.9,10.57,10.68,10.63,0.05,0.4704,7672.28,8214.821
873593.BJ,20241227,41.49,41.49,39.2,39.24,41.56,-2.32,-5.5823,49651.11,199781.951
873576.BJ,20241227,21.2,22.0,20.89,21.35,21.01,0.34,1.6183,8527.38,18261.821
873570.BJ,20241227,32.08,32.99,31.56,31.77,32.2,-0.43,-1.3354,5530.44,17818.906
873527.BJ,20241227,12.35,12.81,12.28,12.55,12.42,0.13,1.0467,17229.95,21639.44
873339.BJ,20241227,7.62,7.82,7.62,7.7,7.62,0.08,1.0499,5368.14,4135.758
873305.BJ,20241227,19.06,20.18,19.06,19.86,19.5,0.36,1.8462,11469.98,22577.544
873223.BJ,20241227,10.79,10.9,10.45,10.49,10.7,-0.21,-1.9626,26128.65,27910.034
873169.BJ,20241227,16.39,17.3,15.0,15.0,14.46,0.54,3.7344,72700.48,118836.591
873167.BJ,20241227,15.5,15.59,14.9,14.9,15.41,-0.51,-3.3095,22369.06,34198.726
873152.BJ,20241227,16.3,16.75,15.92,16.13,16.36,-0.23,-1.4059,26664.39,43614.347
873132.BJ,20241227,12.53,12.85,12.4,12.5,12.53,-0.03,-0.2394,14441.94,18183.776
873122.BJ,20241227,53.37,53.37,51.8,52.02,53.01,-0.99,-1.8676,10308.72,53917.527
873001.BJ,20241227,19.5,21.08,18.8,19.11,19.47,-0.36,-1.849,72752.07,144490.161
872953.BJ,20241227,31.3,32.37,30.88,31.46,31.06,0.4,1.2878,20446.75,64880.427
872931.BJ,20241227,11.1,11.39,11.06,11.09,11.08,0.01,0.0903,10379.73,11621.823
872925.BJ,20241227,12.58,12.72,12.42,12.7,12.61,0.09,0.7137,6961.6,8783.112
872895.BJ,20241227,12.73,13.87,12.42,13.62,12.73,0.89,6.9914,25464.02,33962.371
872808.BJ,20241227,66.02,69.78,63.88,64.81,67.4,-2.59,-3.8427,66802.19,443362.433
872541.BJ,20241227,12.38,12.39,12.06,12.15,12.21,-0.06,-0.4914,19658.95,24012.538
872392.BJ,20241227,17.26,17.47,17.06,17.36,17.29,0.07,0.4049,7865.16,13567.906
872374.BJ,20241227,26.67,28.82,26.66,27.41,26.8,0.61,2.2761,16873.65,47041.118
872351.BJ,20241227,11.09,11.35,10.98,11.15,11.06,0.09,0.8137,19843.77,22030.67
872190.BJ,20241227,28.75,31.3,26.91,26.91,28.62,-1.71,-5.9748,162471.38,470786.267
871981.BJ,20241227,29.9,30.65,28.69,28.76,30.39,-1.63,-5.3636,19918.86,59140.772
