ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
920128.SH,20241129,46.14,52.0,60.0,46.01,9.12,37.02,4.0592,15612317.0,858441057.89
920118.SH,20241129,32.34,28.77,34.0,27.17,29.54,2.8,0.0948,8993776.0,273331541.06
920111.SH,20241129,28.48,29.35,31.6,27.6,30.01,-1.53,-0.051,27077163.0,795749403.78
920099.SH,20241129,33.05,34.52,35.15,31.15,34.5,-1.45,-0.042,6797618.0,223337071.47
920088.SH,20241129,28.97,28.63,29.56,26.82,28.8,0.17,0.0059,10049059.0,286152360.92
920066.SH,20241129,45.88,44.8,48.49,41.08,44.01,1.87,0.0425,7588262.0,339013326.14
920060.SH,20241129,38.82,43.9,45.44,37.71,44.56,-5.74,-0.1288,38829876.0,1580135321.43
920019.SH,20241129,26.58,26.03,27.52,24.66,26.72,-0.14,-0.0052,21882705.0,576267347.44
920016.SH,20241129,27.84,29.83,30.46,25.12,29.6,-1.76,-0.0595,9360305.0,266565928.88
920008.SH,20241129,35.58,38.01,38.3,33.0,39.15,-3.57,-0.0912,7433831.0,266605285.92
920002.SH,20241129,74.98,71.1,76.8,62.9,74.45,0.53,0.0071,4721104.0,329378824.84
900957.SH,20241129,0.389,0.373,0.394,0.362,0.373,0.016,0.0429,4418374.0,1668669.0
900952.SH,20241129,0.122,0.114,0.123,0.111,0.114,0.008,0.0702,4712579.0,558104.0
900948.SH,20241129,2.19,2.195,2.195,2.095,2.174,0.016,0.0074,10077127.0,21676629.0
900947.SH,20241129,0.238,0.241,0.242,0.231,0.24,-0.002,-0.0083,8436490.0,1994595.0
900946.SH,20241129,0.181,0.182,0.183,0.171,0.182,-0.001,-0.0055,2817300.0,503083.0
900945.SH,20241129,0.289,0.289,0.295,0.271,0.288,0.001,0.0035,4136600.0,1175204.0
900943.SH,20241129,0.539,0.523,0.541,0.511,0.518,0.021,0.0405,1285760.0,677200.0
900942.SH,20241129,0.749,0.744,0.752,0.736,0.744,0.005,0.0067,1629364.0,1211365.0
900941.SH,20241129,0.426,0.404,0.442,0.404,0.406,0.02,0.0493,16139923.0,6921425.0
900940.SH,20241129,0.259,0.268,0.268,0.252,0.268,-0.009,-0.0336,1301736.0,337681.0
900939.SH,20241129,0.623,0.595,0.633,0.557,0.595,0.028,0.0471,4464946.0,2684092.0
900938.SH,20241129,0.191,0.19,0.192,0.183,0.189,0.002,0.0106,2949012.0,551852.0
900937.SH,20241129,0.172,0.174,0.175,0.168,0.174,-0.002,-0.0115,6087145.0,1041849.0
900936.SH,20241129,0.879,0.875,0.884,0.865,0.879,0.0,0.0,1556120.0,1360629.0
900934.SH,20241129,1.507,1.494,1.513,1.487,1.494,0.013,0.0087,882206.0,1323393.0
900932.SH,20241129,0.552,0.56,0.563,0.541,0.558,-0.006,-0.0108,5089597.0,2800366.0
900929.SH,20241129,1.358,1.264,1.359,1.229,1.257,0.101,0.0804,1200700.0,1552099.0
900928.SH,20241129,0.642,0.655,0.655,0.625,0.648,-0.006,-0.0093,1025841.0,654075.0
900927.SH,20241129,0.444,0.432,0.449,0.42,0.432,0.012,0.0278,3216498.0,1395157.0
900926.SH,20241129,1.656,1.632,1.677,1.63,1.623,0.033,0.0203,9098823.0,15117152.0
900925.SH,20241129,1.088,1.11,1.112,1.056,1.109,-0.021,-0.0189,4055979.0,4381491.0
900924.SH,20241129,0.425,0.406,0.428,0.397,0.408,0.017,0.0417,15194197.0,6317715.0
900923.SH,20241129,0.709,0.661,0.727,0.656,0.661,0.048,0.0726,7051964.0,4916842.0
900922.SH,20241129,0.496,0.489,0.512,0.473,0.466,0.03,0.0644,4640758.0,2305283.0
900921.SH,20241129,0.145,0.145,0.149,0.14,0.146,-0.001,-0.0068,3822173.0,547420.0
900920.SH,20241129,0.215,0.219,0.221,0.207,0.219,-0.004,-0.0183,4023444.0,859769.0
