ts_code,trade_date,suspend_timing,suspend_type
6388.HK,,,S
300008.SZ,,,S
000595.SZ,,,S
600833.SH,19990504,,S
600788.SH,19990504,,S
600099.SH,19990504,,S
600827.SH,19990504,,S
000508.SZ,19990504,,S
600745.SH,19990504,,S
600762.SH,19990504,,S
000426.SZ,19990504,,S
000559.SZ,19990504,,S
000766.SZ,19990504,,S
000731.SZ,19990504,,S
600704.SH,19990505,,S
600113.SH,19990505,,S
600870.SH,19990505,,S
000587.SZ,19990505,,S
600773.SH,19990505,,S
600656.SH,19990505,,S
600833.SH,19990505,,S
000024.SZ,19990505,,S
000508.SZ,19990505,,S
600181.SH,19990505,,S
600195.SH,19990505,,S
000712.SZ,19990505,,S
000019.SZ,19990505,,S
000861.SZ,19990505,,S
000836.SZ,19990505,,S
600795.SH,19990505,,S
000901.SZ,19990506,,S
600719.SH,19990506,,S
000508.SZ,19990506,,S
600162.SH,19990506,,S
600833.SH,19990506,,S
600699.SH,19990506,,S
600753.SH,19990506,,S
000885.SZ,19990506,,S
600644.SH,19990506,,S
600830.SH,19990506,,S
000856.SZ,19990506,,S
000738.SZ,19990506,,S
600720.SH,19990506,,S
600702.SH,19990506,,S
600160.SH,19990506,,S
000785.SZ,19990506,,S
000833.SZ,19990507,,S
600666.SH,19990507,,S
600694.SH,19990507,,S
600175.SH,19990507,,S
600088.SH,19990507,,S
600133.SH,19990507,,S
600713.SH,19990507,,S
000508.SZ,19990507,,S
600833.SH,19990507,,S
000586.SZ,19990507,,S
600883.SH,19990507,,S
600091.SH,19990507,,S
000832.SZ,19990507,,S
600101.SH,19990510,,S
600686.SH,19990510,,S
000852.SZ,19990510,,S
600884.SH,19990510,,S
600183.SH,19990510,,S
000683.SZ,19990510,,S
600623.SH,19990510,,S
000637.SZ,19990510,,S
000589.SZ,19990510,,S
000762.SZ,19990510,,S
000046.SZ,19990510,,S
000600.SZ,19990510,,S
000508.SZ,19990510,,S
000679.SZ,19990510,,S
600833.SH,19990510,,S
000825.SZ,19990510,,S
000720.SZ,19990510,,S
000733.SZ,19990510,,S
000412.SZ,19990510,,S
600132.SH,19990510,,S
600817.SH,19990510,,S
600882.SH,19990510,,S
000900.SZ,19990510,,S
000661.SZ,19990510,,S
600899.SH,19990510,,S
000557.SZ,19990510,,S
000670.SZ,19990511,,S
600098.SH,19990511,,S
600888.SH,19990511,,S
600074.SH,19990511,,S
600893.SH,19990511,,S
600054.SH,19990511,,S
600623.SH,19990511,,S
000508.SZ,19990511,,S
600697.SH,19990511,,S
600833.SH,19990511,,S
600723.SH,19990511,,S
000542.SZ,19990511,,S
600662.SH,19990511,,S
600825.SH,19990511,,S
600620.SH,19990511,,S
600096.SH,19990511,,S
600616.SH,19990512,,S
600122.SH,19990512,,S
000554.SZ,19990512,,S
600756.SH,19990512,,S
600851.SH,19990512,,S
000523.SZ,19990512,,S
000711.SZ,19990512,,S
600727.SH,19990512,,S
600192.SH,19990512,,S
600828.SH,19990512,,S
600007.SH,19990512,,S
600767.SH,19990512,,S
000882.SZ,19990512,,S
600833.SH,19990512,,S
600148.SH,19990512,,S
000510.SZ,19990512,,S
000508.SZ,19990512,,S
600186.SH,19990513,,S
000508.SZ,19990513,,S
600867.SH,19990513,,S
000407.SZ,19990513,,S
600766.SH,19990513,,S
600861.SH,19990513,,S
600833.SH,19990513,,S
000737.SZ,19990513,,S
000527.SZ,19990513,,S
000605.SZ,19990514,,S
600801.SH,19990514,,S
600833.SH,19990514,,S
000596.SZ,19990514,,S
000501.SZ,19990514,,S
000508.SZ,19990514,,S
600743.SH,19990514,,S
600128.SH,19990517,,S
600059.SH,19990517,,S
000508.SZ,19990517,,S
600709.SH,19990517,,S
600799.SH,19990517,,S
600631.SH,19990517,,S
600060.SH,19990517,,S
000620.SZ,19990517,,S
000528.SZ,19990517,,S
600833.SH,19990517,,S
600874.SH,19990517,,S
000701.SZ,19990517,,S
600081.SH,19990517,,S
600066.SH,19990517,,S
600073.SH,19990518,,S
000810.SZ,19990518,,S
600771.SH,19990518,,S
000681.SZ,19990518,,S
000531.SZ,19990518,,S
600068.SH,19990518,,S
000050.SZ,19990518,,S
000822.SZ,19990518,,S
600854.SH,19990518,,S
600674.SH,19990518,,S
600677.SH,19990518,,S
000892.SZ,19990518,,S
600661.SH,19990518,,S
000816.SZ,19990518,,S
600879.SH,19990518,,S
000508.SZ,19990518,,S
600823.SH,19990518,,S
000829.SZ,19990518,,S
600738.SH,19990518,,S
600630.SH,19990518,,S
600863.SH,19990518,,S
600746.SH,19990518,,S
000786.SZ,19990518,,S
600740.SH,19990518,,S
600228.SH,19990518,,S
600712.SH,19990518,,S
600850.SH,19990518,,S
600725.SH,19990518,,S
600189.SH,19990518,,S
600151.SH,19990518,,S
600829.SH,19990518,,S
000728.SZ,19990518,,S
000883.SZ,19990518,,S
000552.SZ,19990518,,S
600156.SH,19990518,,S
600199.SH,19990518,,S
600632.SH,19990518,,S
600675.SH,19990518,,S
600191.SH,19990518,,S
600138.SH,19990518,,S
000826.SZ,19990518,,S
000890.SZ,19990518,,S
000611.SZ,19990518,,S
000629.SZ,19990518,,S
600051.SH,19990518,,S
000827.SZ,19990518,,S
000621.SZ,19990518,,S
600669.SH,19990518,,S
000878.SZ,19990518,,S
600798.SH,19990518,,S
600150.SH,19990518,,S
000663.SZ,19990518,,S
600094.SH,19990518,,S
600605.SH,19990518,,S
600626.SH,19990518,,S
000572.SZ,19990518,,S
600748.SH,19990518,,S
600866.SH,19990518,,S
000830.SZ,19990519,,S
000672.SZ,19990519,,S
600669.SH,19990519,,S
000605.SZ,19990519,,S
600630.SH,19990519,,S
600661.SH,19990519,,S
000508.SZ,19990519,,S
600865.SH,19990520,,S
