trade_date,ts_code,name,close,change,rank,market_type,amount,net_amount,buy,sell
20241129,601138.SH,工业富联,22.19,0.34,10,1,787366719.0,,,
20241129,000333.SZ,美的集团,70.13,-0.06,10,3,872479137.0,,,
20241129,002241.SZ,歌尔股份,25.48,0.64,9,3,885762506.0,,,
20241129,600276.SH,恒瑞医药,50.69,0.99,9,1,799388364.0,,,
20241129,300339.SZ,润和软件,60.61,0.57,8,3,897239109.0,,,
20241129,600900.SH,长江电力,27.32,-0.11,8,1,845155414.0,,,
20241129,002594.SZ,比亚迪,274.83,0.25,7,3,947234152.0,,,
20241129,601318.SH,中国平安,53.25,0.08,7,1,869531559.0,,,
20241129,002371.SZ,北方华创,415.68,2.71,6,3,971755676.0,,,
20241129,688256.SH,寒武纪,561.0,14.97,6,1,904285125.0,,,
20241129,600036.SH,招商银行,36.34,-0.13,5,1,999533843.0,,,
20241129,002475.SZ,立讯精密,38.68,0.48,5,3,989106611.0,,,
20241129,002230.SZ,科大讯飞,51.31,3.49,4,3,998792016.0,,,
20241129,600418.SH,江淮汽车,35.11,1.41,4,1,1004249206.0,,,
20241129,601127.SH,赛力斯,121.59,2.38,3,1,1265488343.0,,,
20241129,000858.SZ,五粮液,146.77,2.77,3,3,1053904681.0,,,
20241129,600519.SH,贵州茅台,1525.74,7.74,2,1,1482420068.0,,,
20241129,300059.SZ,东方财富,27.26,1.48,2,3,1784077602.0,,,
20241129,600030.SH,中信证券,30.75,0.88,1,1,2399458992.0,,,
20241129,300750.SZ,宁德时代,261.24,6.54,1,3,2098876268.0,,,
20241128,600036.SH,招商银行,36.47,-0.13,10,1,549686668.0,,,
20241128,000977.SZ,浪潮信息,47.21,0.59,10,3,708016036.0,,,
20241128,688041.SH,海光信息,126.0,2.8,9,1,612784263.0,,,
20241128,002475.SZ,立讯精密,38.2,-0.93,9,3,722615851.0,,,
20241128,601318.SH,中国平安,53.17,-0.38,8,1,651430630.0,,,
20241128,002241.SZ,歌尔股份,24.84,-0.05,8,3,737453093.0,,,
20241128,601288.SH,农业银行,4.85,0.02,7,1,666623708.0,,,
20241128,300308.SZ,中际旭创,124.79,-3.9,7,3,847747926.0,,,
20241128,601138.SH,工业富联,21.85,-0.47,6,1,709726738.0,,,
20241128,000858.SZ,五粮液,144.0,-3.05,6,3,971574290.0,,,
20241128,600030.SH,中信证券,29.87,-0.41,5,1,712381666.0,,,
20241128,300760.SZ,迈瑞医疗,260.01,-9.05,5,3,1122961963.0,,,
20241128,688256.SH,寒武纪,546.03,11.48,4,1,838225973.0,,,
20241128,000333.SZ,美的集团,70.19,-1.13,4,3,1224410537.0,,,
20241128,002594.SZ,比亚迪,274.58,-6.42,3,3,1277556634.0,,,
20241128,601127.SH,赛力斯,119.21,-4.68,3,1,877792034.0,,,
20241128,300059.SZ,东方财富,25.78,-0.63,2,3,1478339904.0,,,
20241128,600519.SH,贵州茅台,1518.0,-1.05,2,1,915031586.0,,,
20241128,600418.SH,江淮汽车,33.7,-1.19,1,1,979996719.0,,,
20241128,300750.SZ,宁德时代,254.7,-5.2,1,3,1604222920.0,,,
20241127,688256.SH,寒武纪,534.55,48.65,10,1,632517854.0,,,
20241127,300339.SZ,润和软件,60.78,0.58,10,3,755791782.0,,,
20241127,000333.SZ,美的集团,71.32,0.72,9,3,823035194.0,,,
20241127,600276.SH,恒瑞医药,49.99,1.31,9,1,654452297.0,,,
20241127,002371.SZ,北方华创,415.91,6.41,8,3,836778434.0,,,
20241127,688008.SH,澜起科技,66.69,3.58,8,1,665137513.0,,,
20241127,300274.SZ,阳光电源,81.7,1.61,7,3,843392254.0,,,
20241127,601899.SH,紫金矿业,15.68,0.14,7,1,680866452.0,,,
20241127,002384.SZ,东山精密,26.49,1.87,6,3,902044102.0,,,
20241127,601138.SH,工业富联,22.32,0.23,6,1,790921611.0,,,
20241127,600900.SH,长江电力,27.39,0.39,5,1,837454241.0,,,
20241127,002241.SZ,歌尔股份,24.99,1.93,5,3,971782614.0,,,
20241127,600418.SH,江淮汽车,34.89,-2.3,4,1,888410946.0,,,
20241127,002594.SZ,比亚迪,281.0,-0.01,4,3,971799942.0,,,
20241127,600030.SH,中信证券,30.28,0.56,3,1,1032959135.0,,,
20241127,002475.SZ,立讯精密,39.13,1.97,3,3,1461805769.0,,,
