trade_date,ts_code,name,close,p_change,rank,market_type,amount,net_amount,sh_amount,sh_net_amount,sh_buy,sh_sell,sz_amount,sz_net_amount,sz_buy,sz_sell
20241129,06099.HK,招商证券,14.84,0.92,10,4,,,,,,,382501703.0,15902225.0,199201964.0,183299739.0
20241129,09896.HK,名创优品,38.7,3.0,9,4,,,,,,,399716173.0,6098287.0,202907230.0,196808943.0
20241129,01918.HK,融创中国,2.48,0.19,8,4,,,,,,,483955170.0,1195530.0,242575350.0,241379820.0
20241129,09988.HK,阿里巴巴-W,83.65,0.25,7,4,,,,,,,581893990.0,230592490.0,406243240.0,175650750.0
20241129,00883.HK,中国海洋石油,17.1,0.06,6,4,,,,,,,661848667.0,-61817427.0,300015620.0,361833047.0
20241129,02828.HK,恒生中国企业,70.8,0.26,5,4,,,,,,,718926508.0,615660.0,359771084.0,359155424.0
20241129,00981.HK,中芯国际,26.0,0.85,4,4,,,,,,,731043307.0,145378243.0,438210775.0,292832532.0
20241129,01810.HK,小米集团-W,27.75,-0.1,3,4,,,,,,,748158490.0,83550750.0,415854620.0,332303870.0
20241129,00700.HK,腾讯控股,398.0,-2.0,2,4,,,,,,,962760580.0,88151860.0,525456220.0,437304360.0
20241129,03690.HK,美团-W,168.7,-3.5,1,4,,,,,,,1101443080.0,319302780.0,710372930.0,391070150.0
20241129,01398.HK,工商银行,4.56,0.01,10,2,,,496744630.0,-462230.0,248141200.0,248603430.0,,,,
20241129,00941.HK,中国移动,72.3,0.65,9,2,,,628589319.0,260146431.0,444367875.0,184221444.0,,,,
20241129,09988.HK,阿里巴巴-W,83.65,0.25,8,2,,,688270765.0,189504745.0,438887755.0,249383010.0,,,,
20241129,06099.HK,招商证券,14.84,0.92,7,2,,,820046857.0,-15564537.0,402241160.0,417805697.0,,,,
20241129,01918.HK,融创中国,2.48,0.19,6,2,,,1007051450.0,12141970.0,509596710.0,497454740.0,,,,
20241129,00981.HK,中芯国际,26.0,0.85,5,2,,,1084176100.0,-158085950.0,463045075.0,621131025.0,,,,
20241129,01810.HK,小米集团-W,27.75,-0.1,4,2,,,1110953320.0,-335920680.0,387516320.0,723437000.0,,,,
20241129,03690.HK,美团-W,168.7,-3.5,3,2,,,1305510385.0,509979235.0,907744810.0,397765575.0,,,,
20241129,00700.HK,腾讯控股,398.0,-2.0,2,2,,,1389724328.0,271541392.0,830632860.0,559091468.0,,,,
20241129,02800.HK,盈富基金,19.6,0.1,1,2,,,1533855645.0,-1515777315.0,9039165.0,1524816480.0,,,,
20241128,01952.HK,云顶新耀-B,34.4,-4.85,10,4,,,,,,,295331850.0,22620400.0,158976125.0,136355725.0
20241128,00981.HK,中芯国际,25.15,-0.55,9,4,,,,,,,298028650.0,33947600.0,165988125.0,132040525.0
20241128,02382.HK,舜宇光学科技,61.85,1.35,8,4,,,,,,,306256065.0,196153895.0,251204980.0,55051085.0
20241128,01810.HK,小米集团-W,27.85,-0.45,7,4,,,,,,,415795220.0,-49787380.0,183003920.0,232791300.0
20241128,09926.HK,康方生物,73.5,-4.05,6,4,,,,,,,427932650.0,186713450.0,307323050.0,120609600.0
20241128,00175.HK,吉利汽车,13.78,0.64,5,4,,,,,,,440605537.0,76204743.0,258405140.0,182200397.0
20241128,00883.HK,中国海洋石油,17.04,-0.22,4,4,,,,,,,468457600.0,49479760.0,258968680.0,209488920.0
20241128,00700.HK,腾讯控股,400.0,-2.8,3,4,,,,,,,508360473.0,-25358313.0,241501080.0,266859393.0
