trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20240816,2820.59,1904.89,-2568.22,-4206.77,-6774.99,4725.48
20240815,4473.92,2160.84,8865.01,3340.83,12205.84,6634.76
20240814,-894.54,-146.26,-3060.7,-4105.74,-7166.44,-1040.8
20240813,1262.24,655.52,-862.15,-1665.24,-2527.39,1917.76
20240812,2691.3,1654.69,-288.97,-484.02,-772.99,4345.99
20240809,1328.78,948.76,-3135.41,-4629.52,-7764.93,2277.54
20240808,-2274.98,-3811.6,799.55,303.51,1103.06,-6086.58
20240807,6640.26,5032.69,417.04,-2552.55,-2135.51,11672.95
20240806,3207.79,2778.81,-2885.16,-3365.35,-6250.51,5986.6
20240805,1415.07,-27.52,-394.4,682.35,287.95,1387.55
20240802,-1640.07,-255.81,-2434.89,-794.84,-3229.73,-1895.88
20240801,4375.39,4001.52,-959.34,-4742.0,-5701.34,8376.91
20240731,1612.97,678.13,11363.33,8216.63,19579.96,2291.1
20240730,609.39,-950.23,-1815.94,-628.83,-2444.77,-340.84
20240729,323.92,421.51,-1844.99,-3140.2,-4985.19,745.43
20240726,4881.16,3892.26,-443.32,94.67,-348.65,8773.42
20240725,-1837.93,-2822.55,-4485.67,-2096.1,-6581.77,-4660.48
20240724,511.38,-587.22,-694.84,-1581.62,-2276.46,-75.84
20240723,162.56,-68.29,-1029.88,-3153.17,-4183.05,94.27
20240722,2389.75,1301.94,4502.38,-2529.02,1973.36,3691.69
20240719,4106.26,2017.25,-2028.74,-3950.27,-5979.01,6123.51
20240718,1674.38,722.06,1713.78,-362.05,1351.73,2396.44
20240717,1714.67,-2030.89,-4540.64,-4339.68,-8880.32,-316.22
20240716,3495.85,2630.4,-313.35,-2562.77,-2876.12,6126.25
20240715,2697.81,2173.16,924.05,-3863.57,-2939.52,4870.97
20240712,-224.2,395.31,3300.84,-567.32,2733.52,171.11
20240711,959.81,-486.08,1282.54,1763.25,3045.79,473.73
20240710,823.01,41.81,571.86,-2355.02,-1783.16,864.82
20240709,2172.46,1478.24,8932.98,5177.7,14110.68,3650.7
20240708,2175.33,915.85,-2199.92,1009.31,-3209.23,1259.48
20240705,1156.98,-806.87,-2119.75,-930.0,-3049.75,350.11
20240704,-18.13,963.55,-787.38,-3179.11,-3966.49,945.42
20240703,846.4,2796.23,-119.58,-1283.38,-1402.96,3642.63
20240702,2317.9,3634.63,-1465.3,-4062.41,-5527.71,5952.53
20240628,1427.3,2235.01,4936.58,11.89,4948.47,3662.31
20240627,2040.87,1617.9,-5435.75,-5521.78,-10957.53,3658.77
20240626,2163.57,1644.98,-1406.11,-576.21,-1982.32,3808.55
20240625,503.42,-180.25,-911.89,-2455.51,-3367.4,323.17
20240624,-1150.37,-968.7,-14.26,-388.52,-402.78,-2119.07
20240621,2608.37,1969.91,-229.46,233.45,3.99,4578.28
20240620,3842.51,3687.95,-2060.2,-1210.17,-3270.37,7530.46
20240619,834.2,1534.08,-3498.26,-3737.35,-7235.61,2368.28
20240618,2533.4,3327.91,-2495.75,183.84,-2311.91,5861.31
20240617,1832.76,1947.07,-2585.39,-715.89,-3301.28,3779.83
20240614,3051.38,2755.9,-5881.79,1146.51,-4735.28,5807.28
20240613,1299.16,2698.65,-3469.82,-2835.97,-6305.79,3997.81
20240612,3599.24,3272.46,-955.23,-2380.07,-3335.3,6871.7
20240611,5568.61,4712.45,-6230.72,-1266.25,-7496.97,10281.06
20240607,2150.51,1456.76,805.33,-1510.52,-705.19,3607.27
20240606,2147.02,1521.42,4078.75,2694.48,6773.23,3668.44
20240605,4957.85,2779.61,-2885.51,-2794.97,-5680.48,7737.46
20240604,4701.14,4122.36,2350.77,1027.03,3377.8,8823.5
20240603,1448.88,1951.15,1262.19,277.19,1539.38,3400.03
