trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241129,920128.BJ,N胜业,405.92,46.14,5490.81,6.4,5110.48,5.95,380.33,0.44,-3962.73,-4.62,-1503.48,-1.75
20241129,920118.BJ,太湖远大,7.09,32.34,136.8,1.65,203.64,2.46,-66.83,-0.81,433.68,5.23,0.8,0.01
20241129,920111.BJ,聚星科技,-0.59,28.48,-334.65,-2.3,-20.84,-0.14,-313.81,-2.16,-609.24,-4.18,279.69,1.92
20241129,920099.BJ,瑞华技术,0.76,33.05,-290.39,-6.67,0.0,0.0,-290.39,-6.67,108.74,2.5,118.68,2.73
20241129,920088.BJ,科力股份,1.29,28.97,32.89,0.51,238.86,3.69,-205.98,-3.18,114.79,1.77,-13.03,-0.2
20241129,920066.BJ,科拜尔,-2.07,45.88,-1098.43,-11.95,-669.8,-7.29,-428.64,-4.66,-530.71,-5.77,19.18,0.21
20241129,920060.BJ,万源通,-3.77,38.82,-4833.84,-16.91,-1149.26,-4.02,-3684.58,-12.89,157.3,0.55,272.36,0.95
20241129,920019.BJ,铜冠矿建,0.76,26.58,-429.34,-4.21,0.0,0.0,-429.34,-4.21,-114.46,-1.12,247.69,2.43
20241129,920016.BJ,中草香料,1.24,27.84,-63.56,-1.41,0.0,0.0,-63.56,-1.41,-63.59,-1.41,115.84,2.57
20241129,920008.BJ,成电光信,0.08,35.58,-221.21,-4.45,0.0,0.0,-221.21,-4.45,78.98,1.59,4.28,0.09
20241129,920002.BJ,万达轴承,12.25,74.98,889.41,7.78,133.49,1.17,755.91,6.62,629.99,5.51,178.11,1.56
20241129,873833.BJ,美心翼申,-2.75,17.31,-755.34,-6.62,0.0,0.0,-755.34,-6.62,-799.2,-7.0,-117.18,-1.03
20241129,873806.BJ,云星宇,-0.4,17.5,-1496.99,-6.29,-472.1,-1.98,-1024.89,-4.31,643.58,2.7,211.22,0.89
20241129,873726.BJ,卓兆点胶,7.86,29.08,1029.99,12.28,105.11,1.25,924.89,11.03,192.41,2.29,32.2,0.38
20241129,873706.BJ,铁拓机械,5.74,17.86,912.32,8.49,484.75,4.51,427.57,3.98,100.23,0.93,46.24,0.43
20241129,873703.BJ,广厦环能,-0.23,26.45,-547.49,-7.54,79.26,1.09,-626.75,-8.63,165.9,2.28,56.31,0.78
20241129,873693.BJ,阿为特,2.25,47.81,940.7,7.89,285.91,2.4,654.79,5.49,-117.54,-0.99,101.64,0.85
20241129,873690.BJ,捷众科技,3.22,24.36,-4.0,-0.05,108.9,1.31,-112.9,-1.36,500.15,6.04,350.65,4.23
20241129,873679.BJ,前进科技,0.6,21.9,458.16,5.67,140.72,1.74,317.44,3.93,168.26,2.08,66.49,0.82
20241129,873665.BJ,科强股份,1.83,15.58,454.65,7.6,0.0,0.0,454.65,7.6,-350.97,-5.87,135.06,2.26
20241129,873593.BJ,鼎智科技,28.18,45.67,18420.47,24.52,7921.25,10.54,10499.22,13.98,1741.35,2.32,76.95,0.1
20241129,873576.BJ,天力复合,0.18,27.37,-104.13,-1.35,126.15,1.64,-230.28,-2.99,19.05,0.25,84.2,1.09
20241129,873570.BJ,坤博精工,6.28,41.45,588.6,7.05,0.0,0.0,588.6,7.05,34.25,0.41,102.66,1.23
20241129,873527.BJ,夜光明,-6.68,18.99,-2253.11,-9.85,-494.82,-2.16,-1758.29,-7.68,-757.44,-3.31,-31.49,-0.14
20241129,873339.BJ,恒太照明,-3.74,10.29,334.92,5.57,102.21,1.7,232.71,3.87,-462.29,-7.68,-115.06,-1.91
20241129,873305.BJ,九菱科技,-0.18,27.21,-678.31,-10.98,0.0,0.0,-678.31,-10.98,263.36,4.26,146.36,2.37
20241129,873223.BJ,荣亿精密,0.59,13.73,-259.34,-3.34,-122.63,-1.58,-136.71,-1.76,554.11,7.14,313.71,4.04
20241129,873169.BJ,七丰精工,0.53,17.16,-37.18,-0.42,107.42,1.22,-144.6,-1.65,-340.44,-3.88,281.74,3.21
20241129,873167.BJ,新赣江,2.09,18.54,5.73,0.09,-104.77,-1.65,110.5,1.74,58.49,0.92,-11.8,-0.19
20241129,873152.BJ,天宏锂电,-2.55,21.79,-250.28,-1.03,160.55,0.66,-410.83,-1.69,-471.54,-1.93,60.14,0.25
20241129,873132.BJ,泰鹏智能,30.0,21.06,16057.77,50.45,12738.82,40.03,3318.95,10.43,1433.8,4.51,222.7,0.7
20241129,873122.BJ,XD中纺标,0.46,65.02,202.41,1.49,230.19,1.69,-27.78,-0.2,-389.75,-2.87,-8.3,-0.06
20241129,873001.BJ,纬达光电,-1.36,19.64,-1804.64,-13.77,-373.3,-2.85,-1431.35,-10.92,-615.41,-4.7,1.01,0.01
20241129,872953.BJ,国子软件,4.37,44.4,436.8,1.31,631.81,1.9,-195.01,-0.59,763.0,2.3,178.56,0.54
20241129,872931.BJ,无锡鼎邦,0.85,17.76,-189.13,-1.32,264.94,1.85,-454.07,-3.17,-479.63,-3.35,113.4,0.79
20241129,872925.BJ,锦好医疗,1.33,15.98,-61.47,-1.49,0.0,0.0,-61.47,-1.49,-156.91,-3.81,10.12,0.25
20241129,872895.BJ,花溪科技,-5.47,20.06,-984.92,-9.47,0.0,0.0,-984.92,-9.47,-597.11,-5.74,11.66,0.11
20241129,872808.BJ,曙光数创,2.83,64.05,-119.95,-0.47,520.56,2.05,-640.51,-2.52,464.08,1.83,152.48,0.6
20241129,872541.BJ,铁大科技,2.07,12.85,320.43,4.77,205.37,3.05,115.07,1.71,226.36,3.37,176.6,2.63
20241129,872392.BJ,佳合科技,5.24,24.12,329.72,5.93,0.0,0.0,329.72,5.93,325.54,5.85,87.72,1.58
20241129,872374.BJ,云里物里,2.14,34.87,264.22,3.18,0.0,0.0,264.22,3.18,23.27,0.28,208.59,2.51
20241129,872351.BJ,华光源海,-6.49,17.0,-1703.75,-7.3,-535.39,-2.29,-1168.37,-5.01,-173.22,-0.74,96.7,0.41
20241129,872190.BJ,雷神科技,-4.41,27.95,-2988.9,-7.71,-63.26,-0.16,-2925.64,-7.55,-1828.17,-4.72,-86.98,-0.22
20241129,871981.BJ,晶赛科技,2.1,38.37,-124.57,-1.14,-0.92,-0.01,-123.64,-1.13,-58.88,-0.54,242.2,2.22
20241129,871970.BJ,大禹生物,1.59,8.31,-277.39,-4.95,-103.24,-1.84,-174.15,-3.11,170.54,3.04,216.65,3.87
20241129,871857.BJ,泓禧科技,6.93,20.82,208.76,3.16,162.65,2.46,46.1,0.7,307.23,4.64,-33.22,-0.5
20241129,871753.BJ,天纺标,1.1,36.6,-68.6,-1.09,0.0,0.0,-68.6,-1.09,122.8,1.96,27.66,0.44
20241129,871694.BJ,中裕科技,2.32,18.11,-57.23,-1.88,0.0,0.0,-57.23,-1.88,183.09,6.01,-50.72,-1.66
20241129,871642.BJ,通易航天,1.3,14.06,43.74,0.69,0.0,0.0,43.74,0.69,154.99,2.43,156.81,2.46
20241129,871634.BJ,新威凌,1.81,21.36,4.65,0.12,0.0,0.0,4.65,0.12,58.51,1.55,96.67,2.55
20241129,871553.BJ,凯腾精工,8.43,10.8,722.34,6.43,-109.4,-0.97,831.74,7.4,322.11,2.87,233.27,2.08
20241129,871478.BJ,巨能股份,29.96,30.45,12708.51,43.45,6741.57,23.05,5966.94,20.4,2121.54,7.25,241.44,0.83
20241129,871396.BJ,常辅股份,1.91,21.34,139.14,2.41,219.97,3.8,-80.83,-1.4,-101.07,-1.75,-36.17,-0.63
20241129,871263.BJ,莱赛激光,-0.89,21.21,-707.23,-6.19,17.88,0.16,-725.11,-6.35,-862.11,-7.55,-1.98,-0.02
20241129,871245.BJ,威博液压,0.71,29.88,853.08,7.88,473.64,4.38,379.44,3.51,-682.36,-6.3,-195.92,-1.81
20241129,870976.BJ,视声智能,-0.25,27.42,-758.66,-6.39,0.0,0.0,-758.66,-6.39,-614.11,-5.18,43.99,0.37
20241129,870866.BJ,绿亨科技,-0.91,10.9,-410.57,-4.18,0.0,0.0,-410.57,-4.18,-357.5,-3.64,-44.85,-0.46
20241129,870726.BJ,鸿智科技,4.45,30.99,590.66,2.21,-307.62,-1.15,898.29,3.36,-477.85,-1.79,-76.61,-0.29
20241129,870656.BJ,海昇药业,-5.17,23.29,-657.09,-4.45,523.56,3.54,-1180.65,-7.99,-657.84,-4.45,-24.79,-0.17
20241129,870508.BJ,丰安股份,-3.43,17.75,24.4,0.37,0.0,0.0,24.4,0.37,-608.26,-9.31,-194.13,-2.97
20241129,870436.BJ,大地电气,2.41,27.25,-26.62,-0.21,-266.44,-2.06,239.83,1.85,-115.26,-0.89,131.05,1.01
20241129,870357.BJ,雅葆轩,5.96,27.2,578.61,4.27,233.21,1.72,345.4,2.55,571.53,4.22,191.95,1.42
20241129,870299.BJ,灿能电力,-0.21,14.36,6.47,0.06,391.28,3.54,-384.8,-3.48,-377.98,-3.42,131.1,1.19
20241129,870204.BJ,沪江材料,-0.2,24.85,-699.2,-9.38,0.0,0.0,-699.2,-9.38,6.52,0.09,317.73,4.26
20241129,870199.BJ,倍益康,-7.12,36.0,-1324.8,-2.86,342.11,0.74,-1666.92,-3.6,229.4,0.5,118.99,0.26
20241129,839946.BJ,华阳变速,0.66,9.16,-380.27,-4.97,0.0,0.0,-380.27,-4.97,-18.22,-0.24,289.39,3.78
20241129,839792.BJ,东和新材,-0.52,11.59,-367.16,-5.67,0.0,0.0,-367.16,-5.67,-110.25,-1.7,155.7,2.4
20241129,839790.BJ,联迪信息,24.01,39.93,22045.37,35.74,15322.97,24.84,6722.4,10.9,2417.28,3.92,498.36,0.81
20241129,839729.BJ,永顺生物,2.5,9.02,466.81,10.9,180.8,4.22,286.01,6.68,145.97,3.41,77.74,1.81
20241129,839725.BJ,惠丰钻石,1.09,22.27,30.37,0.48,0.0,0.0,30.37,0.48,82.85,1.3,-106.91,-1.68
20241129,839719.BJ,宁新新材,-1.1,15.25,-413.24,-2.59,-274.26,-1.72,-138.99,-0.87,-80.41,-0.5,280.94,1.76
20241129,839680.BJ,广道数字,8.98,29.86,2760.87,7.49,1273.1,3.45,1487.77,4.03,315.75,0.86,-35.51,-0.1
20241129,839493.BJ,并行科技,2.05,66.63,-353.74,-2.2,36.39,0.23,-390.14,-2.43,210.29,1.31,189.07,1.18
20241129,839371.BJ,欧福蛋业,3.18,10.38,227.89,1.37,199.18,1.2,28.71,0.17,9.31,0.06,1.92,0.01
20241129,839273.BJ,一致魔芋,-0.58,27.3,-211.86,-1.83,166.22,1.44,-378.08,-3.27,40.88,0.35,56.96,0.49
20241129,839167.BJ,同享科技,3.52,26.16,179.32,2.13,0.0,0.0,179.32,2.13,167.47,1.99,145.53,1.73
20241129,838971.BJ,天马新材,4.42,35.66,861.45,4.0,175.88,0.82,685.57,3.18,257.24,1.19,69.0,0.32
20241129,838924.BJ,广脉科技,-0.26,19.05,-726.94,-6.6,0.0,0.0,-726.94,-6.6,-32.14,-0.29,260.09,2.36
20241129,838837.BJ,华原股份,1.51,14.09,114.31,2.84,0.0,0.0,114.31,2.84,-6.33,-0.16,99.07,2.46
20241129,838810.BJ,春光药装,-3.76,13.3,-150.86,-1.94,0.0,0.0,-150.86,-1.94,-88.32,-1.14,-96.09,-1.24
20241129,838701.BJ,豪声电子,0.94,33.33,-156.08,-2.38,0.0,0.0,-156.08,-2.38,30.88,0.47,199.64,3.05
20241129,838670.BJ,恒进感应,4.13,14.37,193.85,2.92,0.0,0.0,193.85,2.92,37.5,0.57,11.7,0.18
20241129,838402.BJ,硅烷科技,0.64,10.97,-297.64,-3.27,-100.35,-1.1,-197.29,-2.17,13.7,0.15,181.65,2.0
20241129,838275.BJ,驱动力,17.63,8.74,1699.72,11.13,973.21,6.37,726.51,4.76,340.44,2.23,36.7,0.24
20241129,838262.BJ,太湖雪,3.18,26.63,-81.09,-0.53,-109.76,-0.71,28.67,0.19,314.69,2.05,62.7,0.41
20241129,838227.BJ,美登科技,1.95,54.9,45.58,0.36,-344.36,-2.69,389.94,3.05,190.62,1.49,-37.15,-0.29
20241129,838171.BJ,邦德股份,1.81,17.39,-97.38,-3.54,0.0,0.0,-97.38,-3.54,158.22,5.74,-3.93,-0.14
20241129,838163.BJ,方大新材,-0.59,18.48,-412.65,-7.58,0.0,0.0,-412.65,-7.58,-116.01,-2.13,34.92,0.64
20241129,838030.BJ,德众汽车,1.75,8.14,171.33,1.88,0.0,0.0,171.33,1.88,195.65,2.15,410.91,4.51
20241129,837821.BJ,则成电子,0.21,33.2,-644.14,-7.27,0.0,0.0,-644.14,-7.27,364.11,4.11,273.57,3.09
20241129,837748.BJ,路桥信息,4.26,26.9,972.32,15.37,246.79,3.9,725.53,11.47,65.17,1.03,189.0,2.99
20241129,837663.BJ,明阳科技,2.62,20.38,557.53,8.28,113.48,1.69,444.05,6.6,179.76,2.67,18.04,0.27
20241129,837592.BJ,华信永道,9.82,82.32,3379.28,5.08,2812.75,4.22,566.53,0.85,-695.7,-1.04,78.11,0.12
20241129,837403.BJ,康农种业,4.61,24.73,358.29,1.96,61.3,0.33,296.99,1.62,-253.92,-1.39,256.15,1.4
20241129,837344.BJ,三元基因,2.17,23.06,172.0,6.22,0.0,0.0,172.0,6.22,-0.58,-0.02,10.39,0.38
20241129,837242.BJ,建邦科技,1.92,30.27,181.57,2.95,-105.61,-1.72,287.19,4.67,-140.14,-2.28,15.49,0.25
20241129,837212.BJ,智新电子,0.8,18.91,-461.11,-5.74,0.0,0.0,-461.11,-5.74,153.17,1.91,210.07,2.62
20241129,837174.BJ,宏裕包材,-0.57,17.5,-328.38,-4.85,0.0,0.0,-328.38,-4.85,-353.72,-5.22,226.59,3.35
20241129,837092.BJ,汉鑫科技,0.84,44.5,500.26,4.25,0.0,0.0,500.26,4.25,203.74,1.73,51.26,0.44
20241129,837046.BJ,亿能电力,-0.12,16.64,-638.2,-6.04,-107.76,-1.02,-530.44,-5.02,-570.73,-5.4,-53.44,-0.51
20241129,837023.BJ,芭薇股份,2.7,19.01,932.7,6.8,0.0,0.0,932.7,6.8,-333.97,-2.43,-3.08,-0.02
20241129,837006.BJ,晟楠科技,1.1,29.33,-809.64,-6.12,-443.84,-3.35,-365.79,-2.76,502.7,3.8,371.71,2.81
20241129,836961.BJ,西磁科技,-1.34,41.32,-340.16,-1.5,-1106.29,-4.89,766.13,3.38,85.53,0.38,-55.27,-0.24
20241129,836957.BJ,汉维科技,0.83,14.65,-401.2,-8.13,0.0,0.0,-401.2,-8.13,-435.46,-8.82,-2.3,-0.05
