trade_date,ts_code,name,pct_change,latest,net_amount,net_d5_amount,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241129,002298.SZ,中电兴发,0.18,5.44,-2318.09,-1411.58,-355.5,1.88,-1339.85,7.1,-622.74,3.3
20241129,601139.SH,深圳燃气,0.96,7.23,-3008.57,-2673.73,-1312.92,8.63,-1041.48,6.84,-654.17,4.3
20241129,002885.SZ,京泉华,1.11,13.35,-344.48,270.77,-268.98,14.52,-181.06,9.78,105.56,5.7
20241129,002643.SZ,万润股份,1.03,10.53,-521.56,-342.65,-178.18,6.88,-256.87,9.91,-86.51,3.34
20241129,000553.SZ,安道麦A,0.45,6.68,-436.65,-423.83,-36.13,0.82,-314.35,7.12,-86.17,1.95
20241129,001268.SZ,联合精密,0.1,19.45,105.99,111.76,98.4,1.61,-140.64,2.3,148.23,2.42
20241129,003041.SZ,真爱美家,10.01,20.0,-2129.18,-5720.54,1131.15,11.34,-1474.32,14.78,-1786.01,17.9
20241129,002021.SZ,中捷资源,2.65,2.71,4406.57,2463.24,1176.55,2.62,2853.64,6.34,376.38,0.84
20241129,603797.SH,联泰环保,0.47,4.28,140.38,666.34,64.97,4.46,11.92,0.82,63.49,4.36
20241129,605589.SH,圣泉集团,0.25,23.75,144.84,-2266.33,-154.1,4.86,114.66,3.61,184.28,5.81
20241129,601899.SH,紫金矿业,2.38,15.9,25109.88,-2847.54,14179.25,11.2,8842.18,6.98,2088.45,1.65
20241129,301377.SZ,鼎泰高科,2.84,19.92,278.78,313.74,56.7,1.13,90.45,1.8,131.63,2.62
20241129,600909.SH,华安证券,3.27,6.32,5593.1,-794.05,2525.33,6.78,2003.53,5.38,1064.24,2.86
20241129,600085.SH,同仁堂,4.9,41.32,10496.52,2299.98,5408.92,14.41,4366.7,11.64,720.9,1.92
20241129,688338.SH,赛科希德,1.72,27.84,-216.0,-335.76,-16.02,0.76,-143.53,6.8,-56.45,2.67
20241129,600805.SH,悦达投资,0.63,4.73,-585.86,789.62,-247.43,3.55,-321.94,4.61,-16.49,0.24
20241129,300610.SZ,晨化股份,1.25,10.54,313.36,-939.98,-142.03,2.7,55.72,1.06,399.67,7.59
20241129,600611.SH,大众交通,0.12,8.19,-8046.9,-64521.01,-2869.54,3.1,-3774.29,4.08,-1403.07,1.52
20241129,600727.SH,鲁北化工,0.64,7.88,-774.04,315.64,-90.81,0.85,-697.47,6.54,14.24,0.13
20241129,600839.SH,四川长虹,0.46,10.81,-5938.3,-97097.62,4636.61,1.0,-8605.23,1.85,-1969.68,0.42
20241129,002238.SZ,天威视讯,2.35,10.03,-2246.56,2897.34,-917.46,3.14,-980.47,3.36,-348.63,1.19
20241129,002076.SZ,星光股份,4.85,2.55,-8496.07,-16246.67,-7848.55,12.37,-1579.9,2.49,932.38,1.47
20241129,002654.SZ,万润科技,9.98,16.09,37828.47,-25896.22,36071.88,23.49,2222.28,1.45,-465.69,0.3
20241129,601777.SH,力帆科技,2.77,7.01,-3062.43,-3073.94,-1652.61,14.14,-1027.4,8.79,-382.42,3.27
20241129,300917.SZ,特发服务,1.35,58.51,251.3,4649.1,-440.35,3.91,506.67,4.5,184.98,1.64
