trade_date,close_sh,ptc_change_sh,close_sz,pct_change_sz,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241129,3326.45,0.93,10611.72,1.72,13868638208.0,0.81,23966793728.0,1.4,-10098155520.0,-0.59,-24951074816.0,-1.46,11082436608.0,0.65
20241128,3295.7,-0.43,10432.54,-1.26,-41113413888.0,-2.76,-16937916672.0,-1.14,-24175497216.0,-1.62,3668914176.0,0.25,37444501504.0,2.51
20241127,3309.78,1.53,10566.1,2.25,2131228416.0,0.15,11614742272.0,0.8,-9483513856.0,-0.65,-13683171328.0,-0.94,11551940608.0,0.79
20241126,3259.76,-0.12,10333.23,-0.84,-52173992960.0,-4.0,-26482508800.0,-2.03,-25691484160.0,-1.97,6375931904.0,0.49,45798060032.0,3.51
20241125,3263.76,-0.1,10420.52,-0.17,-41448057600.0,-2.78,-20471470848.0,-1.37,-20976586752.0,-1.41,-136904704.0,-0.01,41584967680.0,2.79
20241122,3267.19,-3.06,10438.72,-3.52,-111458627584.0,-6.23,-52999626752.0,-2.96,-58459000832.0,-3.27,11606552576.0,0.65,99852079104.0,5.58
20241121,3370.4,0.07,10819.88,-0.07,-41715650560.0,-2.59,-13568954368.0,-0.84,-28146696192.0,-1.75,487800832.0,0.03,41227845632.0,2.56
20241120,3367.99,0.66,10827.19,0.78,9320333312.0,0.58,17814151168.0,1.1,-8493817856.0,-0.53,-4878135296.0,-0.3,-4442202112.0,-0.28
20241119,3346.01,0.67,10743.84,1.9,-27608530944.0,-1.77,-15317762048.0,-0.98,-12290768896.0,-0.79,-2387640320.0,-0.15,29996163072.0,1.93
20241118,3323.85,-0.21,10544.02,-1.91,-80988352512.0,-4.61,-43878440960.0,-2.5,-37109911552.0,-2.11,10282561536.0,0.59,70705790976.0,4.02
