trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank
20241129,BK0539,综合行业,-0.19,10335.37,-429426032.0,-3.88,-244428480.0,-2.21,-184997552.0,-1.67,-100222496.0,-0.9,529648544.0,4.78,粤桂股份,74
20241129,BK1046,游戏,0.03,1161.35,-1222942224.0,-5.22,-412101136.0,-1.76,-810841088.0,-3.46,-25721344.0,-0.11,1248663552.0,5.32,恺英网络,86
20241129,BK0730,农药兽药,1.37,1003.93,-141484244.0,-2.8,13718316.0,0.27,-155202560.0,-3.07,-83204528.0,-1.65,225652176.0,4.47,驱动力,56
20241129,BK1043,专业服务,1.8,1188.43,-63940141.0,-1.47,40178147.0,0.92,-104118288.0,-2.39,18251568.0,0.42,55302656.0,1.27,电科院,45
20241129,BK1030,电机,4.83,1838.39,1214415984.0,12.69,1085292880.0,11.34,129123104.0,1.35,-437431568.0,-4.57,-574596848.0,-6.01,科力尔,6
20241129,BK0737,软件开发,3.3,1095.41,5930019584.0,4.15,6522588928.0,4.56,-592569344.0,-0.41,-3802060032.0,-2.66,-1597266944.0,-1.12,科大讯飞,1
20241129,BK0440,家用轻工,1.13,40485.27,-122469424.0,-1.41,37059216.0,0.43,-159528640.0,-1.84,-68777200.0,-0.79,369442944.0,4.26,泰鹏智能,54
20241129,BK0480,航天航空,1.15,44645.61,-49939440.0,-0.35,194886336.0,1.36,-244825776.0,-1.71,-285757952.0,-2.0,336344928.0,2.35,光启技术,44
20241129,BK0436,纺织服装,2.05,10806.72,400050000.0,2.35,519339696.0,3.06,-119289696.0,-0.7,-241330176.0,-1.42,-155757056.0,-0.92,美邦服饰,14
20241129,BK0477,酿酒行业,2.03,54596.47,1471788496.0,6.43,1039051984.0,4.54,432736512.0,1.89,-918341632.0,-4.01,-553446656.0,-2.42,五 粮 液,5
20241129,BK0545,通用设备,2.82,30906.45,2294977328.0,5.09,1924771632.0,4.27,370205696.0,0.82,-786515712.0,-1.74,-1314784768.0,-2.92,机器人,4
20241129,BK1038,光学光电子,0.99,1459.74,-185566352.0,-0.51,228892528.0,0.63,-414458880.0,-1.14,-367101952.0,-1.01,528477696.0,1.45,TCL科技,57
20241129,BK0910,专用设备,1.98,2444.29,975342336.0,1.71,1410675968.0,2.47,-435333632.0,-0.76,-994384896.0,-1.74,149333760.0,0.26,三丰智能,9
20241129,BK0481,汽车零部件,2.48,34011.81,932570464.0,2.14,857480288.0,1.97,75090176.0,0.17,-501717504.0,-1.15,-330267648.0,-0.76,拓普集团,10
20241129,BK0473,证券,2.41,150516.9,2596910336.0,4.01,2775704576.0,4.29,-178794240.0,-0.28,-825230336.0,-1.28,-1771679488.0,-2.74,太平洋,3
20241129,BK0447,互联网服务,3.11,23638.18,3369894912.0,2.99,3317884928.0,2.94,52009984.0,0.05,-2309699328.0,-2.05,-1062452480.0,-0.94,东方财富,2
