日期,当日资金流入,当日余额,历史资金累计流入,当日成交净买入额,买入成交额,卖出成交额,深圳指数,涨跌幅
2024-03-06 00:00:00,-3.82540000000001,523.8254000000001,8191.5797999999995,-13.3419,347.139,360.48089999999996,9395.65,-0.22
2024-03-05 00:00:00,26.541900000000002,493.4581,8204.9217,11.0632,419.6257,408.5625,9416.8,-0.23
2024-03-04 00:00:00,-34.2848,554.2848,8193.8585,-47.4821999999999,370.14300000000003,417.62519999999995,9438.24,0.04
2024-03-01 00:00:00,-21.3019,541.3019,8241.340699999999,-36.232600000000005,382.8647,419.0973,9434.75,1.12
2024-02-29 00:00:00,103.84360000000001,416.1564,8277.5733,79.61880000000001,504.3717,424.7529,9330.44,3.13
2024-02-28 00:00:00,5.353700000000029,514.6463,8197.9545,-3.52220000000001,479.911,483.4332,9047.1,-2.4
2024-02-27 00:00:00,77.9212,442.0788,8201.476700000001,60.345699999999994,369.0572,308.7115,9269.57,2.24
2024-02-26 00:00:00,-11.5647,531.5647,8141.130999999999,-21.4179,332.57559999999995,353.9935,9066.09,-0.04
2024-02-23 00:00:00,-16.9374,536.9374,8162.5489,-29.2905,308.183,337.4735,9069.42,0.28
2024-02-22 00:00:00,20.7124,499.2876,8191.8394,11.385,315.367,303.982,9043.75,0.76
2024-02-21 00:00:00,47.5572,472.4428,8180.4544,39.5407,394.8631,355.32239999999996,8975.97,0.79
2024-02-20 00:00:00,-7.04029999999999,527.0403,8140.9137,-16.5935,292.7361,309.32959999999997,8905.96,0.04
2024-02-19 00:00:00,-55.8467,575.8466999999999,8157.5072,-65.528,323.1395,388.6675,8902.33,0.93
2024-02-08 00:00:00,15.433,504.56699999999995,8223.0352,5.51269999999997,437.3932,431.88050000000004,8820.6,1.29
2024-02-07 00:00:00,15.7294,504.2706,8217.5225,7.25010000000002,419.39529999999996,412.1452,8708.24,2.93
2024-02-06 00:00:00,76.8585,443.1415,8210.2724,65.9154,481.9607,416.0453,8460.38,6.22
2024-02-05 00:00:00,0.78290000000001,519.2171,8144.357,-4.033000000000031,435.9543,439.9873,7964.71,-1.13
2024-02-02 00:00:00,15.307,504.69300000000004,8148.39,10.6732,398.8351,388.1619,8055.77,-2.24
2024-02-01 00:00:00,23.7636,496.2364,8137.7168,16.0049,328.1814,312.17650000000003,8240.48,0.34
2024-01-31 00:00:00,36.3005,483.69949999999994,8121.711899999999,29.433699999999998,368.816,339.38230000000004,8212.84,-1.95
2024-01-30 00:00:00,-0.83540000000001,520.8354,8092.2782,-7.59650000000001,285.89709999999997,293.4936,8375.98,-2.4
2024-01-29 00:00:00,-9.34870000000003,529.3487,8099.874699999999,-15.2801,300.5798,315.85990000000004,8581.76,-2.06
2024-01-26 00:00:00,7.2255000000000305,512.7745,8115.1548,-4.0532,321.4744,325.5276,8762.33,-1.06
2024-01-25 00:00:00,28.9648,491.0352,8119.2080000000005,14.593,324.7165,310.1235,8856.22,2.0
2024-01-24 00:00:00,-0.35669999999998,520.3566999999999,8104.615,-14.3972,342.74339999999995,357.14059999999995,8682.19,1.0
2024-01-23 00:00:00,16.842,503.158,8119.0122,8.879299999999999,331.4229,322.5436,8596.28,1.38
2024-01-22 00:00:00,7.71959999999999,512.2804,8110.1329000000005,3.08849999999999,366.4774,363.3889,8479.55,-3.5
