trade_datetime,now,涨跌(%),量比,均价
2024-12-06 14:47:38.611293,25.63,-4.01,1.09,25.7
2024-12-06 14:47:53.645799,25.66,-3.9,1.09,25.7
2024-12-06 14:48:08.678467,25.66,-3.9,1.09,25.7
2024-12-06 14:48:23.711796,25.63,-4.01,1.09,25.7
2024-12-06 14:48:38.743722,25.63,-4.01,1.09,25.7
2024-12-06 14:48:53.777265,25.64,-3.97,1.09,25.7
2024-12-06 14:49:08.811417,25.61,-4.08,1.09,25.7
2024-12-06 14:49:23.843991,25.61,-4.08,1.09,25.7
2024-12-06 14:49:38.877072,25.63,-4.01,1.09,25.7
2024-12-06 14:49:53.910488,25.6,-4.12,1.09,25.7
2024-12-06 14:50:08.942916,25.6,-4.12,1.09,25.7
2024-12-06 14:50:23.975642,25.6,-4.12,1.09,25.7
2024-12-06 14:50:39.008606,25.61,-4.08,1.09,25.7
2024-12-06 14:50:54.040454,25.59,-4.16,1.09,25.7
2024-12-06 14:51:09.072553,25.6,-4.12,1.09,25.7
2024-12-06 14:51:24.104891,25.59,-4.16,1.09,25.7
2024-12-06 14:51:39.172858,25.59,-4.16,1.09,25.7
2024-12-06 14:51:54.206472,25.58,-4.19,1.09,25.7
2024-12-06 14:52:09.240293,25.56,-4.27,1.09,25.7
2024-12-06 14:52:24.273508,25.56,-4.27,1.09,25.7
2024-12-06 14:52:39.306194,25.58,-4.19,1.09,25.7
2024-12-06 14:52:54.340188,25.56,-4.27,1.09,25.7
2024-12-06 14:53:09.374316,25.56,-4.27,1.09,25.7
2024-12-06 14:53:24.408234,25.57,-4.23,1.09,25.7
2024-12-06 14:53:39.441602,25.56,-4.27,1.09,25.7
2024-12-06 14:53:54.475949,25.56,-4.27,1.09,25.69
2024-12-06 14:54:09.508832,25.62,-4.04,1.09,25.69
2024-12-06 14:54:24.543309,25.63,-4.01,1.09,25.69
2024-12-06 14:54:39.576943,25.63,-4.01,1.09,25.69
2024-12-06 14:54:54.610576,25.62,-4.04,1.09,25.69
2024-12-06 14:55:09.644218,25.6,-4.12,1.09,25.69
2024-12-06 14:55:24.676594,25.61,-4.08,1.09,25.69
2024-12-06 14:55:39.709536,25.62,-4.04,1.09,25.69
2024-12-06 14:55:54.742467,25.59,-4.16,1.09,25.69
2024-12-06 14:56:09.775894,25.57,-4.23,1.09,25.69
2024-12-06 14:56:24.808685,25.59,-4.16,1.09,25.69
2024-12-06 14:56:39.840846,25.57,-4.23,1.09,25.69
2024-12-06 14:56:54.875177,25.57,-4.23,1.09,25.69
2024-12-06 14:57:09.908242,25.57,-4.23,1.09,25.69
2024-12-06 14:57:24.940861,25.57,-4.23,1.09,25.69
2024-12-06 14:57:39.973674,25.57,-4.23,1.09,25.69
2024-12-06 14:57:55.005820,25.57,-4.23,1.09,25.69
2024-12-06 14:58:10.039738,25.57,-4.23,1.08,25.69
2024-12-06 14:58:25.072674,25.57,-4.23,1.08,25.69
2024-12-06 14:58:40.105481,25.57,-4.23,1.08,25.69
2024-12-06 14:58:55.142445,25.57,-4.23,1.08,25.69
2024-12-06 14:59:10.177473,25.57,-4.23,1.08,25.69
2024-12-06 14:59:25.211035,25.57,-4.23,1.08,25.69
2024-12-06 14:59:40.243663,25.57,-4.23,1.08,25.69
2024-12-06 14:59:55.276210,25.57,-4.23,1.08,25.69
2024-12-06 15:00:10.308927,25.56,-4.27,1.09,25.69
2024-12-06 15:00:25.341584,25.56,-4.27,1.09,25.69
2024-12-06 15:00:40.374695,25.56,-4.27,1.09,25.69
2024-12-06 15:00:55.406983,25.56,-4.27,1.09,25.69
2024-12-06 15:01:10.439931,25.56,-4.27,1.09,25.69
2024-12-06 15:01:25.481972,25.56,-4.27,1.09,25.69
