trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241113,920118.BJ,太湖远大,14.56,31.95,2683.6,15.61,872.18,5.07,1811.42,10.54,972.39,5.66,261.61,1.52
20241113,920111.BJ,聚星科技,30.0,40.17,10892.35,18.24,6534.22,10.94,4358.13,7.3,955.24,1.6,303.09,0.51
20241113,920099.BJ,瑞华技术,12.71,39.02,4113.36,13.96,684.47,2.32,3428.89,11.64,1012.17,3.44,40.66,0.14
20241113,920088.BJ,科力股份,20.98,36.38,1775.77,4.28,1068.38,2.57,707.39,1.7,1042.12,2.51,49.61,0.12
20241113,920066.BJ,科拜尔,29.98,57.1,14843.59,40.16,9179.18,24.83,5664.41,15.32,1998.62,5.41,215.68,0.58
20241113,920019.BJ,铜冠矿建,14.78,30.37,7497.38,13.53,3531.88,6.37,3965.5,7.15,1148.93,2.07,22.14,0.04
20241113,920016.BJ,中草香料,17.74,32.85,3372.05,13.39,792.84,3.15,2579.21,10.24,719.22,2.86,-2.49,-0.01
20241113,920008.BJ,成电光信,9.0,45.9,5296.73,20.84,1908.13,7.51,3388.6,13.34,823.3,3.24,174.54,0.69
20241113,920002.BJ,万达轴承,11.83,75.99,1836.0,15.2,304.57,2.52,1531.43,12.68,625.16,5.18,37.36,0.31
20241113,873833.BJ,美心翼申,0.0,14.06,-50.02,-1.61,0.0,0.0,-50.02,-1.61,-251.1,-8.1,168.4,5.43
20241113,873806.BJ,云星宇,5.06,18.47,1075.47,4.85,2.11,0.01,1073.36,4.84,694.74,3.13,62.24,0.28
20241113,873726.BJ,卓兆点胶,-6.41,30.5,-1651.47,-13.53,-299.31,-2.45,-1352.16,-11.07,-699.9,-5.73,-123.91,-1.01
20241113,873706.BJ,铁拓机械,4.01,15.56,199.91,4.44,0.0,0.0,199.91,4.44,192.84,4.29,69.94,1.55
20241113,873703.BJ,广厦环能,7.74,29.1,449.15,3.61,144.77,1.16,304.38,2.45,422.36,3.4,295.09,2.37
20241113,873693.BJ,阿为特,1.06,57.24,-1995.25,-10.83,20.09,0.11,-2015.34,-10.94,-457.06,-2.48,472.28,2.56
20241113,873690.BJ,捷众科技,1.68,23.6,-399.95,-6.06,-108.52,-1.64,-291.43,-4.41,-99.97,-1.51,120.09,1.82
20241113,873679.BJ,前进科技,4.8,19.65,67.72,1.6,112.22,2.65,-44.51,-1.05,95.78,2.26,213.05,5.03
20241113,873665.BJ,科强股份,0.36,13.83,-57.39,-1.29,0.0,0.0,-57.39,-1.29,66.18,1.48,124.84,2.8
20241113,873593.BJ,鼎智科技,4.25,40.5,-163.69,-0.53,-313.34,-1.01,149.65,0.48,796.2,2.57,401.97,1.3
20241113,873576.BJ,天力复合,2.3,27.54,-57.82,-1.0,0.0,0.0,-57.82,-1.0,13.47,0.23,153.45,2.65
20241113,873570.BJ,坤博精工,2.68,42.48,-540.45,-7.35,0.0,0.0,-540.45,-7.35,436.52,5.94,509.23,6.93
20241113,873527.BJ,夜光明,4.97,14.15,55.48,1.69,0.0,0.0,55.48,1.69,69.91,2.13,-0.03,0.0
20241113,873339.BJ,恒太照明,-4.34,8.16,-88.27,-5.21,0.0,0.0,-88.27,-5.21,-155.0,-9.14,-3.07,-0.18
20241113,873305.BJ,九菱科技,2.01,31.49,804.55,9.51,0.0,0.0,804.55,9.51,492.33,5.82,151.73,1.79
20241113,873223.BJ,荣亿精密,-5.71,15.18,-1465.68,-10.17,-264.28,-1.83,-1201.4,-8.33,-491.65,-3.41,59.73,0.41
20241113,873169.BJ,七丰精工,2.0,19.36,-58.04,-0.43,105.94,0.79,-163.98,-1.22,-31.07,-0.23,43.94,0.33
20241113,873167.BJ,新赣江,-1.83,17.17,-542.24,-11.05,-107.01,-2.18,-435.23,-8.87,-341.82,-6.97,66.38,1.35
20241113,873152.BJ,天宏锂电,4.41,16.82,-180.53,-0.88,-649.86,-3.17,469.33,2.29,298.53,1.46,105.79,0.52
20241113,873132.BJ,泰鹏智能,3.33,14.29,-36.37,-1.08,0.0,0.0,-36.37,-1.08,87.16,2.58,79.54,2.35
20241113,873122.BJ,中纺标,4.08,60.99,4659.42,14.04,2856.4,8.61,1803.02,5.43,376.79,1.14,30.94,0.09
20241113,873001.BJ,纬达光电,-2.16,21.25,-784.96,-8.16,112.29,1.17,-897.25,-9.32,-539.12,-5.6,-16.74,-0.17
20241113,872953.BJ,国子软件,13.13,44.55,2729.35,7.48,738.89,2.02,1990.46,5.45,669.76,1.83,-61.81,-0.17
20241113,872931.BJ,无锡鼎邦,7.79,14.12,391.08,5.22,0.0,0.0,391.08,5.22,396.61,5.29,150.44,2.01
20241113,872925.BJ,锦好医疗,-6.09,17.27,-1062.72,-13.12,-139.42,-1.72,-923.3,-11.39,-853.31,-10.53,54.97,0.68
20241113,872895.BJ,花溪科技,0.0,15.35,-154.8,-4.52,0.0,0.0,-154.8,-4.52,61.1,1.78,155.62,4.54
20241113,872808.BJ,曙光数创,-3.3,74.4,-1182.79,-3.68,-103.17,-0.32,-1079.62,-3.36,-380.75,-1.18,144.96,0.45
20241113,872541.BJ,铁大科技,6.4,12.97,949.66,5.49,67.27,0.39,882.39,5.1,298.32,1.72,162.94,0.94
20241113,872392.BJ,佳合科技,-1.65,24.46,-502.68,-9.44,103.98,1.95,-606.66,-11.39,-388.29,-7.29,119.82,2.25
20241113,872374.BJ,云里物里,4.1,39.4,121.59,0.83,0.0,0.0,121.59,0.83,303.1,2.08,315.61,2.17
20241113,872351.BJ,华光源海,5.03,12.33,442.53,6.31,108.12,1.54,334.4,4.77,87.9,1.25,-186.93,-2.67
20241113,872190.BJ,雷神科技,-2.57,24.66,-1823.93,-9.8,259.92,1.4,-2083.85,-11.2,-235.7,-1.27,225.46,1.21
20241113,871981.BJ,晶赛科技,8.91,47.3,1398.94,3.73,427.68,1.14,971.26,2.59,1175.46,3.14,356.76,0.95
20241113,871970.BJ,大禹生物,-0.14,7.37,-127.4,-3.65,0.0,0.0,-127.4,-3.65,-211.76,-6.07,118.4,3.4
20241113,871857.BJ,泓禧科技,-1.82,18.36,-51.96,-1.54,0.0,0.0,-51.96,-1.54,-230.45,-6.83,-113.32,-3.36
20241113,871753.BJ,天纺标,3.39,40.3,2689.72,11.68,689.49,2.99,2000.22,8.69,590.74,2.57,184.66,0.8
20241113,871694.BJ,中裕科技,7.04,19.47,712.1,11.47,0.0,0.0,712.1,11.47,402.42,6.48,108.48,1.75
20241113,871642.BJ,通易航天,-1.02,15.58,-750.33,-8.79,111.88,1.31,-862.21,-10.1,-493.49,-5.78,300.11,3.52
20241113,871634.BJ,新威凌,3.03,23.12,95.71,2.25,0.0,0.0,95.71,2.25,70.66,1.66,68.27,1.6
20241113,871553.BJ,凯腾精工,-0.69,8.65,-187.2,-5.84,0.0,0.0,-187.2,-5.84,58.98,1.84,87.45,2.73
20241113,871478.BJ,巨能股份,1.48,23.28,167.33,2.02,108.99,1.32,58.33,0.7,-1.82,-0.02,93.41,1.13
20241113,871396.BJ,常辅股份,-3.52,19.21,-371.03,-7.49,-107.07,-2.16,-263.96,-5.33,-726.37,-14.67,-38.16,-0.77
20241113,871263.BJ,莱赛激光,3.72,22.3,183.51,2.22,-215.07,-2.61,398.58,4.83,459.22,5.56,-42.14,-0.51
20241113,871245.BJ,威博液压,2.51,19.16,-88.42,-3.62,0.0,0.0,-88.42,-3.62,-68.11,-2.79,153.96,6.3
20241113,870976.BJ,视声智能,5.58,20.99,-41.65,-0.39,644.46,5.97,-686.11,-6.36,109.38,1.01,-23.36,-0.22
20241113,870866.BJ,绿亨科技,-0.11,8.79,-220.94,-6.26,0.0,0.0,-220.94,-6.26,-102.31,-2.9,-71.62,-2.03
20241113,870726.BJ,鸿智科技,2.05,21.38,-297.9,-7.09,0.0,0.0,-297.9,-7.09,-40.01,-0.95,218.81,5.21
20241113,870656.BJ,海昇药业,-3.24,20.88,-552.03,-9.37,0.0,0.0,-552.03,-9.37,-92.28,-1.57,213.73,3.63
20241113,870508.BJ,丰安股份,1.71,14.84,63.02,3.85,0.0,0.0,63.02,3.85,-94.71,-5.78,50.24,3.07
20241113,870436.BJ,大地电气,29.99,22.84,3392.61,13.78,2101.77,8.54,1290.84,5.24,1022.39,4.15,322.0,1.31
20241113,870357.BJ,雅葆轩,2.13,25.92,106.17,1.39,130.51,1.71,-24.35,-0.32,-21.37,-0.28,-73.08,-0.95
