trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241113,002120.SZ,韵达股份,-0.35,8.57,200.93,0.66,-517.98,-1.69,718.9,2.35,1290.35,4.22,-1491.28,-4.88
20241112,002120.SZ,韵达股份,1.06,8.6,842.26,1.71,-1592.53,-3.23,2434.79,4.95,-1709.94,-3.47,867.68,1.76
20241111,002120.SZ,韵达股份,-1.16,8.51,-764.59,-2.2,-1668.61,-4.81,904.01,2.61,1730.13,4.99,-965.54,-2.78
20241108,002120.SZ,韵达股份,-1.26,8.61,-1514.09,-3.34,-1413.61,-3.12,-100.48,-0.22,3767.48,8.31,-2253.39,-4.97
20241107,002120.SZ,韵达股份,4.18,8.72,3873.68,7.75,3578.01,7.16,295.67,0.59,-1760.45,-3.52,-2113.23,-4.23
20241106,002120.SZ,韵达股份,-0.59,8.37,-2460.78,-6.3,-2185.51,-5.59,-275.28,-0.7,2276.08,5.82,184.7,0.47
20241105,002120.SZ,韵达股份,1.32,8.42,-352.71,-1.03,-189.73,-0.56,-162.98,-0.48,183.04,0.54,169.67,0.5
20241104,002120.SZ,韵达股份,0.36,8.31,1473.3,5.44,797.62,2.94,675.68,2.49,-1250.41,-4.62,-222.89,-0.82
20241101,002120.SZ,韵达股份,-0.6,8.28,-1435.93,-4.94,-1536.8,-5.28,100.87,0.35,1300.62,4.47,135.31,0.47
20241031,002120.SZ,韵达股份,-0.95,8.33,2847.25,8.61,1067.58,3.23,1779.67,5.38,-603.01,-1.82,-2244.24,-6.79
20241030,002120.SZ,韵达股份,0.84,8.41,2327.25,6.84,546.97,1.61,1780.27,5.24,-1477.91,-4.35,-849.33,-2.5
20241029,002120.SZ,韵达股份,-1.88,8.34,-774.75,-3.08,1133.88,4.5,-1908.62,-7.58,1250.46,4.96,-475.72,-1.89
20241028,002120.SZ,韵达股份,-0.35,8.5,721.93,3.15,-461.48,-2.01,1183.41,5.17,855.24,3.73,-1577.17,-6.89
20241025,002120.SZ,韵达股份,1.55,8.53,38.18,0.16,-212.1,-0.9,250.28,1.06,-1176.24,-5.0,1138.05,4.84
20241024,002120.SZ,韵达股份,-1.52,8.4,-1110.42,-6.83,-759.33,-4.67,-351.09,-2.16,1215.31,7.48,-104.89,-0.65
20241023,002120.SZ,韵达股份,1.07,8.53,425.57,1.98,938.98,4.36,-513.41,-2.39,-70.7,-0.33,-354.87,-1.65
20241022,002120.SZ,韵达股份,1.44,8.44,711.65,3.56,694.14,3.47,17.51,0.09,-991.17,-4.96,279.52,1.4
20241021,002120.SZ,韵达股份,0.0,8.32,2888.4,9.03,593.05,1.85,2295.35,7.17,1044.19,3.26,-3932.59,-12.29
20241018,002120.SZ,韵达股份,1.09,8.32,-1240.05,-4.02,615.4,1.99,-1855.45,-6.01,-842.21,-2.73,2082.26,6.75
20241017,002120.SZ,韵达股份,-1.32,8.23,247.43,1.21,-191.73,-0.94,439.16,2.15,1386.67,6.79,-1634.11,-8.0
20241016,002120.SZ,韵达股份,0.72,8.34,-561.25,-2.77,171.84,0.85,-733.09,-3.61,-1196.01,-5.9,1757.27,8.66
20241015,002120.SZ,韵达股份,-3.5,8.28,-2869.43,-8.73,-2106.91,-6.41,-762.52,-2.32,1564.55,4.76,1304.88,3.97
