,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,920128.BJ,20241129,52.0,60.0,46.01,46.14,9.12,37.02,405.9211,156123.17,858441.057
1,920118.BJ,20241129,30.25,34.0,30.02,32.34,30.2,2.14,7.0861,26067.97,82912.028
2,920111.BJ,20241129,28.8,29.27,27.6,28.48,28.65,-0.17,-0.5934,51063.19,145591.255
3,920099.BJ,20241129,33.14,33.48,31.58,33.05,32.8,0.25,0.7622,13322.48,43538.664
4,920088.BJ,20241129,28.8,29.26,28.1,28.97,28.6,0.37,1.2937,22547.22,64790.514
5,920066.BJ,20241129,48.0,48.49,45.01,45.88,46.85,-0.97,-2.0704,19873.56,91933.808
6,920060.BJ,20241129,40.2,40.32,37.99,38.82,40.34,-1.52,-3.768,73169.4,285788.857
7,920019.BJ,20241129,26.45,26.91,25.6,26.58,26.38,0.2,0.7582,38549.66,101948.834
8,920016.BJ,20241129,27.6,28.25,26.6,27.84,27.5,0.34,1.2364,16358.64,45158.258
9,920008.BJ,20241129,35.9,36.62,33.65,35.58,35.55,0.03,0.0844,14058.15,49725.738
10,920002.BJ,20241129,67.0,76.8,66.18,74.98,66.8,8.18,12.2455,15846.52,114247.014
11,873833.BJ,20241129,17.09,18.18,16.7,17.31,17.8,-0.49,-2.7528,65820.67,114137.411
12,873806.BJ,20241129,17.35,18.02,16.54,17.5,17.57,-0.07,-0.3984,136820.5,237980.156
13,873726.BJ,20241129,26.51,29.49,25.64,29.08,26.96,2.12,7.8635,30426.73,83874.741
14,873706.BJ,20241129,16.74,18.5,16.58,17.86,16.89,0.97,5.743,61070.19,107407.504
15,873703.BJ,20241129,25.6,26.98,25.41,26.45,26.51,-0.06,-0.2263,27740.59,72631.894
16,873693.BJ,20241129,46.18,48.68,45.08,47.81,46.76,1.05,2.2455,25243.75,119229.173
17,873690.BJ,20241129,23.4,24.58,22.35,24.36,23.6,0.76,3.2203,35143.36,82873.18
18,873679.BJ,20241129,22.1,23.52,21.6,21.9,21.77,0.13,0.5972,36192.83,80779.514
19,873665.BJ,20241129,15.28,15.88,14.54,15.58,15.3,0.28,1.8301,39158.83,59809.116
20,873593.BJ,20241129,36.64,46.3,36.12,45.67,35.63,10.04,28.1785,177547.24,751261.648
21,873576.BJ,20241129,27.02,27.9,26.38,27.37,27.32,0.05,0.183,28271.96,76903.015
22,873570.BJ,20241129,38.97,41.96,37.5,41.45,39.0,2.45,6.2821,20801.48,83508.661
23,873527.BJ,20241129,19.3,20.44,18.38,18.99,20.35,-1.36,-6.683,118900.65,228822.373
24,873339.BJ,20241129,10.59,11.16,10.01,10.29,10.69,-0.4,-3.7418,57628.29,60161.443
25,873305.BJ,20241129,27.01,27.79,26.2,27.21,27.26,-0.05,-0.1834,22786.23,61776.027
26,873223.BJ,20241129,13.22,13.96,13.0,13.73,13.65,0.08,0.5861,57447.2,77563.692
27,873169.BJ,20241129,17.0,17.47,16.0,17.16,17.07,0.09,0.5272,52030.04,87751.457
28,873167.BJ,20241129,18.3,18.95,17.31,18.54,18.16,0.38,2.0925,34662.36,63576.592
29,873152.BJ,20241129,21.47,23.19,21.18,21.79,22.36,-0.57,-2.5492,110998.85,243811.982
30,873132.BJ,20241129,16.0,21.06,15.75,21.06,16.2,4.86,30.0,158119.47,318259.475
