股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
平安银行,000001,2025-01-14,11.2,11.38,11.4,11.19,824629,934467766.39,1.88,1.61,0.18,0.42
平安银行,000001,2025-01-15,11.38,11.48,11.58,11.36,1031631,1185403653.43,1.93,0.88,0.1,0.53
平安银行,000001,2025-01-16,11.55,11.57,11.59,11.47,872964,1007689273.66,1.05,0.78,0.09,0.45
平安银行,000001,2025-01-17,11.53,11.45,11.55,11.42,689765,791230418.64,1.12,-1.04,-0.12,0.36
平安银行,000001,2025-01-20,11.5,11.42,11.52,11.4,832029,953092179.17,1.05,-0.26,-0.03,0.43
平安银行,000001,2025-01-21,11.45,11.33,11.45,11.32,902069,1024879174.22,1.14,-0.79,-0.09,0.46
平安银行,000001,2025-01-22,11.32,11.09,11.33,11.08,1347129,1504818607.18,2.21,-2.12,-0.24,0.69
平安银行,000001,2025-01-23,11.17,11.32,11.4,11.17,1514920,1715172472.47,2.07,2.07,0.23,0.78
平安银行,000001,2025-01-24,11.32,11.34,11.39,11.22,944944,1069899088.28,1.5,0.18,0.02,0.49
平安银行,000001,2025-01-27,11.38,11.47,11.55,11.38,1151935,1324270606.55,1.5,1.15,0.13,0.59
平安银行,000001,2025-02-05,11.5,11.37,11.52,11.33,843434,961193578.9,1.66,-0.87,-0.1,0.43
平安银行,000001,2025-02-06,11.35,11.36,11.45,11.3,955603,1084793176.26,1.32,-0.09,-0.01,0.49
平安银行,000001,2025-02-07,11.36,11.38,11.45,11.31,1407493,1601621979.76,1.23,0.18,0.02,0.73
平安银行,000001,2025-02-10,11.38,11.43,11.5,11.36,1026591,1174044624.14,1.23,0.44,0.05,0.53
平安银行,000001,2025-02-11,11.4,11.42,11.47,11.37,844520,963865614.95,0.87,-0.09,-0.01,0.44
平安银行,000001,2025-02-12,11.41,11.42,11.43,11.34,988807,1125323632.69,0.79,0.0,0.0,0.51
平安银行,000001,2025-02-13,11.42,11.5,11.55,11.4,1358639,1560709510.83,1.31,0.7,0.08,0.7
平安银行,000001,2025-02-14,11.49,11.55,11.55,11.43,973058,1118355996.56,1.04,0.43,0.05,0.5
平安银行,000001,2025-02-17,11.6,11.78,11.8,11.55,2061965,2413146066.57,2.16,1.99,0.23,1.06
平安银行,000001,2025-02-18,11.76,11.81,11.96,11.76,1996610,2371071466.89,1.7,0.25,0.03,1.03
平安银行,000001,2025-02-19,11.8,11.71,11.81,11.68,1177749,1382467174.27,1.1,-0.85,-0.1,0.61
平安银行,000001,2025-02-20,11.71,11.66,11.76,11.65,784396,917231443.37,0.94,-0.43,-0.05,0.4
